Year,Dive No,Stock Assessment Year,Vehicle,Submersible Type,Area Description,Management Area,Dive Start Time,Dive End Time,Dive Comments,Observer First Name,Observer Last Name,Pilot First Name,Pilot Last Name,Transect Type,Transect No,Transect Date,Transect Start Time,Transect End Time,Transect Fix Method,Transect Comment,Vehicle,Line Length Meters,Stage,Specimen No,Length Direction Deg,Length Mid X Mm,Length Mid Y Mm,Length Mid Z Mm,Length Mm,Length Obs Time,Length Precision Mm,Length Range Mm,Length Rms Mm,Length Comment,Horizontal Direction Deg,Vertical Direction Deg
1989,1338,,Delta,manned,"West Crawfish, offshore",CSEO,6/17/1989,6/17/1989,,Tory,O'Connell,Richard,Slater,Experimental,1,6/17/1989,,,5  minute,"Site 617A, test dive, saw Primnoa, ROV",Delta,1200,,,,,,,,,,,,,,
1989,1339,,Delta,manned,"Whale Bay, offshore",CSEO,6/18/1989,6/18/1989,,Gary,Gundstrom,Richard,Slater,Experimental,1,6/18/1989,,,,"Site 618D, minimal fix data, ROV and LL set here",Delta,,,,,,,,,,,,,,,
1989,1340,,Delta,manned,Triangle off Necker,CSEO,6/18/1989,6/18/1989,,Tory,O'Connell,Robert,Wicklund,Experimental,1,6/18/1989,,,,"Site 618C, set LL gear, one fix only for sub",Delta,,,,,,,,,,,,,,,
1989,1341,,Delta,manned,Triangle off Biorka,CSEO,6/18/1989,6/18/1989,,Dave,Gordon,Richard,Slater,Experimental,1,6/18/1989,,,,"Site 618A, minimal fix data, set LL gear",Delta,,,,,,,,,,,,,,,
1989,1342,,Delta,manned,Triangle off Necker,CSEO,6/18/1989,6/18/1989,,Tory,O'Connell,Robert,Wicklund,Experimental,1,6/18/1989,,,,"Site 618B, transect 5, ROV and LL set here",Delta,,,,,,,,,,,,,,,
1989,1343,,Delta,manned,"Pinnacle, 19 fa.",CSEO,6/19/1989,6/19/1989,,Tory,O'Connell,Richard,Slater,Pinnacles,1,6/19/1989,,,,"Site 619A, transect 6,  no fix data for sub, set LL gear here",Delta,,,,,,,,,,,,,,,
1989,1344,,Delta,manned,"Pinnacle, 34 fa",CSEO,6/19/1989,6/19/1989,,Tory,O'Connell,Richard,Slater,Pinnacles,1,6/19/1989,,,,"Transect 7, used hand held camera",Delta,,,,,,,,,,,,,,,
1989,1347,,Delta,manned,"Pinnacle, 34 fa.",CSEO,6/19/1989,6/19/1989,,Gordon,Kruse,Robert,Wicklund,Pinnacles,1,6/19/1989,,,,"Transect 8, 36 fathom repeat",Delta,,,,,,,,,,,,,,,
1989,1348,,Delta,manned,"Cape Edgecumbe, 8 fa hump",CSEO,6/19/1989,6/19/1989,,Dave,Barto,Richard,Slater,Experimental,1,6/19/1989,,,,"Site 621A, transect 9, ROV and LL set here",Delta,,,,,,,,,,,,,,,
1989,1349,,Delta,manned,"Pinnacle, 19 and 34 fa, edge in front of.",CSEO,6/20/1989,6/20/1989,,Dave,Carlile,Richard,Slater,Pinnacles,1,6/20/1989,,,,"Site 619C, transect 10, ROV and LL set here",Delta,,,,,,,,,,,,,,,
1989,1351,,Delta,manned,Cape Edgecumbe,CSEO,6/20/1989,6/20/1989,,Dave,Carlile,Robert,Wicklund,Experimental,1,6/20/1989,,,,"Site 620B, ROV and LL set here",Delta,,,,,,,,,,,,,,,
1989,1352,,Delta,manned,Cape Edgecumbe,CSEO,6/20/1989,6/20/1989,,Dave,Carlile,Richard,Slater,Experimental,1,6/20/1989,,,,"Site 619D, ROV and LL set here",Delta,,,,,,,,,,,,,,,
1989,1353,,Delta,manned,Cape Edgecumbe,CSEO,6/20/1989,6/20/1989,,Gary,Gundstrom,Robert,Wicklund,Experimental,1,6/20/1989,,,,"Site 620D, ROV and LL set here",Delta,,,,,,,,,,,,,,,
1989,1354,,Delta,manned,"Sitka Sound, western channel",CSEO,6/21/1989,6/21/1989,,Tory,O'Connell,Richard,Slater,Experimental,1,6/21/1989,,,,Site 621A,Delta,,,,,,,,,,,,,,,
1989,1355,,Delta,manned,Sitka Sound,CSEO,6/21/1989,6/21/1989,,Tory,O'Connell,Richard,Slater,Experimental,1,6/21/1989,,,,"Site 621B, ROV",Delta,,,,,,,,,,,,,,,
1989,1356,,Delta,manned,"Sitka Sound, N of Biorka Is.",CSEO,6/21/1989,6/21/1989,,Dave,Carlile,Robert,Wicklund,Experimental,1,6/21/1989,,,,Site 621D,Delta,,,,,,,,,,,,,,,
1989,1357,,Delta,manned,"Biorka Island, N of.",CSEO,6/21/1989,6/21/1989,,Gordon,Kruse,Robert,Wicklund,Experimental,1,6/21/1989,,,,"Site 621C, ROV",Delta,,,,,,,,,,,,,,,
1989,1358,,Delta,manned,"Biorka Island, N of.",CSEO,6/21/1989,6/21/1989,,Tory,O'Connell,Robert,Wicklund,Experimental,1,6/21/1989,,,,,Delta,,,,,,,,,,,,,,,
1990,2033,,Delta,manned,Bieli Rocks,CSEO,8/18/1990,8/18/1990,,Dave,Carlile,Richard,Slater,Reconnaissance,1,8/18/1990,,,5 minute,Transect T1,Delta,1450,,,,,,,,,,,,,,
1990,2034,,Delta,manned,"Pinnacle, 19 fa, east of",CSEO,8/18/1990,8/18/1990,,Tory,O'Connell,Richard,Slater,Line Transect,2,8/18/1990,11:41:00,,5  minute,"Transect T3, on flats E of pinnacle",Delta,1198,,,,,,,,,,,,,,
1990,2034,,Delta,manned,"Pinnacle, 19fa",CSEO,8/18/1990,8/18/1990,,Tory,O'Connell,Richard,Slater,Pinnacles,1,8/18/1990,,,5 minute,Transect T2,Delta,173,,,,,,,,,,,,,,
1990,2035,,Delta,manned,"Biorka Island, off Symonds Bay",CSEO,8/19/1990,8/19/1990,,Dave,Carlile,Richard,Slater,Line Transect,1,8/19/1990,,15:20:34,5  minute,Transect T4,Delta,1301,,,,,,,,,,,,,,
1990,2035,,Delta,manned,"Biorka Island, off Symonds Bay",CSEO,8/19/1990,8/19/1990,,Dave,Carlile,Richard,Slater,Line Transect,2,8/19/1990,,,5  minute,Transect T5,Delta,1766,,,,,,,,,,,,,,
1990,2036,,Delta,manned,"Biorka Island, N.",CSEO,8/19/1990,8/19/1990,,Tory,O'Connell,Robert,Wicklund,Line Transect,1,8/19/1990,,,5  minute,Transect T6,Delta,223,,,,,,,,,,,,,,
1990,2036,,Delta,manned,"Biorka Island, N.",CSEO,8/19/1990,8/19/1990,,Tory,O'Connell,Robert,Wicklund,Line Transect,2,8/19/1990,,,5  minute,Transect T7,Delta,1845,,,,,,,,,,,,,,
1990,2037,,Delta,manned,Sika Sound,CSEO,8/20/1990,8/20/1990,,Dave,Carlile,Richard,Slater,Line Transect,1,8/20/1990,,10:21:00,5  minute,Transect T8,Delta,1615,,,,,,,,,,,,,,
1990,2037,,Delta,manned,Sitka Sound,CSEO,8/20/1990,8/20/1990,,Dave,Carlile,Richard,Slater,Line Transect,2,8/20/1990,10:28:50,,5  minute,Transect T9,Delta,1260,,,,,,,,,,,,,,
1990,2038,,Delta,manned,Cape Edgecumbe,CSEO,8/20/1990,8/20/1990,,Tory,O'Connell,Richard,Slater,Line Transect,1,8/20/1990,,,5  minute,Transect T10,Delta,1465,,,,,,,,,,,,,,
1990,2038,,Delta,manned,Cape Edgecumbe,CSEO,8/20/1990,8/20/1990,,Tory,O'Connell,Richard,Slater,Line Transect,2,8/20/1990,,,5  minute,Transect T11,Delta,1786,,,,,,,,,,,,,,
1990,2039,,Delta,manned,Fairweather Grounds,EYKT,8/21/1990,8/21/1990,,Dave,Carlile,Richard,Slater,Line Transect,1,8/21/1990,,,5  minute,Transect T12,Delta,2005,,,,,,,,,,,,,,
1990,2039,,Delta,manned,Fairweather Grounds,EYKT,8/21/1990,8/21/1990,,Dave,Carlile,Richard,Slater,Line Transect,2,8/21/1990,,,5  minute,Transect T13,Delta,1548,,,,,,,,,,,,,,
1990,2040,,Delta,manned,Fairweather Grounds,EYKT,8/21/1990,8/21/1990,,Barry,Bracken,Robert,Wicklund,Line Transect,2,8/21/1990,,,5  minute,Transect T15,Delta,1347,,,,,,,,,,,,,,
1990,2040,,Delta,manned,Fairweather grounds,EYKT,8/21/1990,8/21/1990,,Barry,Bracken,Robert,Wicklund,Line Transect,1,8/21/1990,11:41:00,12:30:00,5  minute,Transect T14,Delta,1511,,,,,,,,,,,,,,
1990,2041,,Delta,manned,Fairweather Grounds,EYKT,8/21/1990,8/21/1990,,Tory,O'Connell,Richard,Slater,Line Transect,1,8/21/1990,,,5  minute,Transect T16,Delta,1650,,,,,,,,,,,,,,
1990,2041,,Delta,manned,Fairweather Grounds,EYKT,8/21/1990,8/21/1990,,Tory,O'Connell,Richard,Slater,Line Transect,2,8/21/1990,,,5  minute,Transect T17,Delta,1243,,,,,,,,,,,,,,
1990,2043,,Delta,manned,"Fairweather Grounds, 16 fa pinnacle.",EYKT,8/22/1990,8/22/1990,,Dave,Carlile,Richard,Slater,Line Transect,1,8/22/1990,,,5  minute,Transect T18,Delta,2029,,,,,,,,,,,,,,
1990,2045,,Delta,manned,"Fairweather Grounds, 13 fa pinnacle.",EYKT,8/22/1990,8/22/1990,,Tory,O'Connell,Robert,Wicklund,Line Transect,1,8/22/1990,,,5  minute,Transect T19,Delta,669,,,,,,,,,,,,,,
1990,2045,,Delta,manned,"Fairweather Grounds, N of 13 fa pinnacle.",EYKT,8/22/1990,8/22/1990,,Tory,O'Connell,Robert,Wicklund,Line Transect,3,8/22/1990,,,5  minute,Transect T21,Delta,1050,,,,,,,,,,,,,,
1990,2045,,Delta,manned,"Fairweather Grounds, near 13 fa pinnacle.",EYKT,8/22/1990,8/22/1990,,Tory,O'Connell,Robert,Wicklund,Line Transect,2,8/22/1990,,,5  minute,Transect T20,Delta,879,,,,,,,,,,,,,,
1990,2046,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/23/1990,8/23/1990,,Dave,Carlile,Richard,Slater,Line Transect,1,8/23/1990,,,5  minute,Transect T22,Delta,1156,,,,,,,,,,,,,,
1990,2046,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/23/1990,8/23/1990,,Dave,Carlile,Richard,Slater,Line Transect,2,8/23/1990,,,5  minute,Transect T23,Delta,1330,,,,,,,,,,,,,,
1990,2046,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/23/1990,8/23/1990,,Dave,Carlile,Richard,Slater,Line Transect,3,8/23/1990,,,5  minute,Transect T24,Delta,1229,,,,,,,,,,,,,,
1990,2047,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/23/1990,8/23/1990,,Tory,O'Connell,Robert,Wicklund,Line Transect,1,8/23/1990,,,5  minute,Transect T25,Delta,910,,,,,,,,,,,,,,
1990,2047,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/23/1990,8/23/1990,,Tory,O'Connell,Robert,Wicklund,Line Transect,2,8/23/1990,,,5  minute,Transect T26,Delta,976,,,,,,,,,,,,,,
1990,2047,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/23/1990,8/23/1990,,Tory,O'Connell,Robert,Wicklund,Line Transect,3,8/23/1990,,,5  minute,Transect T27,Delta,991,,,,,,,,,,,,,,
1990,2048,,Delta,manned,"Fairweather Grounds, NW end of east bank",EYKT,8/23/1990,8/23/1990,,Dave,Carlile,Richard,Slater,Line Transect,1,8/23/1990,,,5  minute,Transect T28,Delta,1243,,,,,,,,,,,,,,
1990,2048,,Delta,manned,"Fairweather Grounds, NW end of east bank",EYKT,8/23/1990,8/23/1990,,Dave,Carlile,Richard,Slater,Line Transect,2,8/23/1990,,,5  minute,Transect T29,Delta,1416,,,,,,,,,,,,,,
1990,2048,,Delta,manned,"Fairweather Grounds, NW end of east bank",EYKT,8/23/1990,8/23/1990,,Dave,Carlile,Richard,Slater,Line Transect,3,8/23/1990,,,5  minute,Transect T30,Delta,432,,,,,,,,,,,,,,
1990,2050,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/24/1990,8/24/1990,,Tory,O'Connell,Richard,Slater,Line Transect,1,8/24/1990,,,5  minute,Transect T31,Delta,1119,,,,,,,,,,,,,,
1990,2050,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/24/1990,8/24/1990,,Tory,O'Connell,Richard,Slater,Line Transect,2,8/24/1990,,,5  minute,Transect T32,Delta,1241,,,,,,,,,,,,,,
1990,2050,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/24/1990,8/24/1990,,Tory,O'Connell,Richard,Slater,Line Transect,3,8/24/1990,,,5  minute,Transect T33,Delta,1354,,,,,,,,,,,,,,
1990,2051,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/24/1990,8/24/1990,,Dave,Carlile,Robert,Wicklund,Line Transect,1,8/24/1990,,12:44:07,5  minute,Transect T34,Delta,945,,,,,,,,,,,,,,
1990,2051,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/24/1990,8/24/1990,,Dave,Carlile,Robert,Wicklund,Line Transect,2,8/24/1990,12:49:05,13:21:59,5  minute,Transect T35,Delta,1277,,,,,,,,,,,,,,
1990,2051,,Delta,manned,"Fairweather Grounds, west bank",EYKT,8/24/1990,8/24/1990,,Dave,Carlile,Robert,Wicklund,Line Transect,3,8/24/1990,13:26:57,13:57:43,5  minute,Transect T36,Delta,1304,,,,,,,,,,,,,,
1990,2052,,Delta,manned,Icy Point 70 fathom shelf,EYKT,8/24/1990,8/24/1990,,Barry,Bracken,Robert,Wicklund,Line Transect,1,8/24/1990,18:58:12,19:28:06,5  minute,Transect T37,Delta,299,,,,,,,,,,,,,,
1990,2054,,Delta,manned,Cape Edgecumbe,CSEO,8/25/1990,8/25/1990,,Tory,O'Connell,Richard,Slater,Line Transect,1,8/25/1990,8:11:30,8:41:02,5  minute,Transect T-38,Delta,1232,,,,,,,,,,,,,,
1990,2054,,Delta,manned,Cape Edgecumbe,CSEO,8/25/1990,8/25/1990,,Tory,O'Connell,Richard,Slater,Line Transect,2,8/25/1990,8:51:00,9:20:19,5  minute,Transect T39,Delta,1452,,,,,,,,,,,,,,
1990,2054,,Delta,manned,Cape Edgecumbe,CSEO,8/25/1990,8/25/1990,,Tory,O'Connell,Richard,Slater,Line Transect,3,8/25/1990,9:33:55,,5  minute,Transect T40,Delta,1269,,,,,,,,,,,,,,
1990,2055,,Delta,manned,Cape Edgecumbe,CSEO,8/25/1990,8/25/1990,,Dave,Carlile,Robert,Wicklund,Line Transect,1,8/25/1990,,11:52:11,5  minute,Transect T41,Delta,1155,,,,,,,,,,,,,,
1990,2055,,Delta,manned,Cape Edgecumbe,CSEO,8/25/1990,8/25/1990,,Dave,Carlile,Robert,Wicklund,Line Transect,2,8/25/1990,,12:32:18,5  minute,Transect T42,Delta,1227,,,,,,,,,,,,,,
1990,2055,,Delta,manned,Cape Edgecumbe,CSEO,8/25/1990,8/25/1990,,Dave,Carlile,Robert,Wicklund,Line Transect,3,8/25/1990,,,5  minute,Transect T43,Delta,1122,,,,,,,,,,,,,,
