Trip Number,Vessel Name,Target Species Code,Trip Comments,Trip Fix Method,Dive Number,Management Area,Submersible Type,Vehicle,Dive Comments,Transect Type,Transect Number,Line Length Meters,Transect Area Description,Transect Fix Method,Transect Comment,Year,Transect Date,Observation Time,Common Name,Species Class,Species Code,Stage,Activity,Obs Number,Density Estimate,Distance Feet,Depth Meters,Quantity,Check ID,Species Comment,Video Path,Camera,Observation Source,Observation Type,Number of Fish
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5918,NSEI,manned,Delta,,Bounce,1,,Port Lucy,,"Check dive to test trackpoint, trim and crane",2003,5/30/2003,,,,,,,0,,,,,,,,,,,0
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:37:39,unknown,sponge,10043,,,1,,,169,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:39:15,redstripe,rockfish,158,,,2,,,167,,,gravid,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:39:25,dusky,rockfish,172,,,3,,,167,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:39:25,redstripe,rockfish,158,,,4,,,167,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:39:56,yelloweye,rockfish,145,juvenile,,5,,11,167,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:40:00,darkblotched,rockfish,159,,,6,,,167,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:40:00,sharpchin,rockfish,166,,,7,,,167,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:40:00,unknown,sponge,10043,,,8,,,167,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:40:32,coral,coral,899,,,9,,,168,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
