YEAR,DIVE_NO,TRANSECT_NO,Dive_trans,DiveTrans,HP_line,Event_ID,Event_ID,Date,UTC time,Date_time,AST,Sec,QUALITY_CODE,START_END,COMMENTS,Segment
2012,6736,1,67361,67361,1,1_208_o,1_208_o_1,8/18/2012,01:10:56,8/18/12 1:10,17:10:56,61856,GGF,START,,1
2012,6736,1,67361,67361,1,1_208_o,1_208_o_,8/18/2012,01:12:33,8/18/12 1:12,17:12:33,61953,BPV,,,
2012,6736,1,67361,67361,1,1_208_o,1_208_o_2,8/18/2012,01:12:47,8/18/12 1:12,17:12:47,61967,GGF,,,2
2012,6736,1,67361,67361,1,1_208_o,1_208_o_,8/18/2012,01:15:30,8/18/12 1:15,17:15:30,62130,BPV,,,
2012,6736,1,67361,67361,1,1_208_o,1_208_o_3,8/18/2012,01:15:49,8/18/12 1:15,17:15:49,62149,GGF,,,3
2012,6736,1,67361,67361,1,1_208_o,1_208_o_,8/18/2012,01:16:39,8/18/12 1:16,17:16:39,62199,BPV,,,
2012,6736,1,67361,67361,1,1_208_o,1_208_o_4,8/18/2012,01:16:47,8/18/12 1:16,17:16:47,62207,GGF,,,4
2012,6736,1,67361,67361,1,1_208_o,1_208_o_,8/18/2012,01:21:28,8/18/12 1:21,17:21:28,62488,BPV,,,
2012,6736,1,67361,67361,1,1_208_o,1_208_o_5,8/18/2012,01:21:49,8/18/12 1:21,17:21:49,62509,GGF,,,5
2012,6736,1,67361,67361,1,1_208_o,1_208_o_,8/18/2012,01:25:05,8/18/12 1:25,17:25:05,62705,BPV,,,
2012,6736,1,67361,67361,1,1_208_o,1_208_o_6,8/18/2012,01:25:18,8/18/12 1:25,17:25:18,62718,GGF,,,6
2012,6736,1,67361,67361,1,1_208_o,1_208_o_,8/18/2012,01:26:24,8/18/12 1:26,17:26:24,62784,BPV,,,
2012,6736,1,67361,67361,1,1_208_o,1_208_o_7,8/18/2012,01:26:34,8/18/12 1:26,17:26:34,62794,GGF,,,7
2012,6736,1,67361,67361,1,1_208_o,1_208_o_,8/18/2012,01:30:13,8/18/12 1:30,17:30:13,63013,BPV,,,
2012,6736,1,67361,67361,1,1_208_o,1_208_o_8,8/18/2012,01:30:22,8/18/12 1:30,17:30:22,63022,GGF,,,8
2012,6736,1,67361,67361,1,1_208_o,1_208_o_,8/18/2012,01:31:37,8/18/12 1:31,17:31:37,63097,BPV,,,
