Event_ID,DIVE_NO,TRANSECT_NO,HORITA_CODE,TIME_UTC,Time_AK,DROP_FRAME,QUALITY_CODE,SEGMENT_NO,START_END,COMMENTS
4_135,4,1,02:02:55:04,02:02:55,18:02:55,04,GGF,1,Start,
4_135,4,1,02:05:41:10,02:05:41,18:05:41,10,GRB,,,
4_135,4,1,02:06:06:17,02:06:06,18:06:06,17,GGF,2,,
4_135,4,1,02:11:14:20,02:11:14,18:11:14,20,GRB,,,
4_135,4,1,02:11:21:12,02:11:21,18:11:21,12,GGF,3,,
4_135,4,1,02:13:45:07,02:13:45,18:13:45,07,BLA,,,
4_135,4,1,02:13:56:26,02:13:56,18:13:56,26,GGF,4,,
4_135,4,1,02:34:42:11,02:34:42,18:34:42,11,GGF,4,End,
5_135,5,1,00:40:19:16,00:40:19,16:40:19,16,GGF,1,Start,
5_135,5,1,01:12:21:00,01:12:21,17:12:21,00,GGF,1,End,
6_135,6,1,23:19:40:21,23:19:40,15:19:40,21,GGF,1,Start,
6_135,6,1,23:31:17:22,23:31:17,15:31:17,22,BPV,,,
6_135,6,1,23:31:31:09,23:31:31,15:31:31,09,GGF,2,,
6_135,6,1,23:33:39:11,23:33:39,15:33:39,11,BGB,,,
6_135,6,1,23:33:45:02,23:33:45,15:33:45,02,GGF,3,,
6_135,6,1,23:38:42:14,23:38:42,15:38:42,14,BPV,,,
6_135,6,1,23:38:53:11,23:38:53,15:38:53,11,GGF,4,,
6_135,6,1,23:39:01:02,23:39:01,15:39:01,02,BPV,,,
6_135,6,1,23:39:05:14,23:39:05,15:39:05,14,GGF,5,,
6_135,6,1,23:58:43:10,23:58:43,15:58:43,10,GGF,5,End,
9_135,9,1,21:24:13:01,21:24:13,13:24:13,01,GGF,1,Start,
9_135,9,1,21:37:21:04,21:37:21,13:37:21,04,BLB,,,
9_135,9,1,21:37:26:15,21:37:26,13:37:26,15,GGF,2,,
9_135,9,1,21:47:03:18,21:47:03,13:47:03,18,BLA,,,
9_135,9,1,21:47:23:15,21:47:23,13:47:23,15,GGF,3,,
9_135,9,1,21:58:59:24,21:58:59,13:58:59,24,BLB,,,
9_135,9,1,21:59:13:21,21:59:13,13:59:13,21,BRB,,,
9_135,9,1,21:59:57;25,21:59:57,13:59:57,25,GGF,4,,
9_135,9,1,22:07:48:14,22:07:48,14:07:48,14,GGF,4,End,
11_135,11,1,14:34:16:12,14:34:16,06:34:16,12,GGF,1,Start,
11_135,11,1,14:36:26:28,14:36:26,06:36:26,28,BLB,,,
11_135,11,1,14:37:31:01,14:37:31,06:37:31,01,GGF,2,,
11_135,11,1,14:44:29:19,14:44:29,06:44:29,19,BLB,,,hard to tell if can see bottom in clamshell. Check on computer
11_135,11,1,14:44:41:04,14:44:41,06:44:41,04,GGF,3,,
11_135,11,1,14:53:30:26,14:53:30,06:53:30,26,BLB,,,
11_135,11,1,14:53:48:28,14:53:48,06:53:48,28,GGF,4,,
11_135,11,1,15:10:08:27,15:10:08,07:10:08,27,GGF,4,End,
13_135,13,1,16:00:37:14,16:00:37,08:00:37,14,GGF,1,Start,pause and restart
