Filename,Frame,Time (HMS),Time (AKST),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Start/End,Comments,Event Time HH:MM:SS
SL_2016CSEO_Dive_46_18-53-30.000.avi,106,2:55:17,18:55:17,68117,,,565,825,QC,Asia,0,,2016,46,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,
SL_2016CSEO_Dive_46_18-53-30.000.avi,67349,3:32:38,19:32:38,70358,,,564,716,QC,Asia,0,,2016,46,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,ROV being tugged,
SL_2016CSEO_Dive_46_18-53-30.000.avi,68106,3:33:03,19:33:03,70383,,,497,746,QC,Asia,0,,2016,46,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,,
SL_2016CSEO_Dive_46_18-53-30.000.avi,72459,3:35:28,19:35:28,70528,,,551,799,QC,Asia,0,,2016,46,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,End,,
SL_2016CSEO_Dive_47_20-15-27.000.avi,253,4:17:20,20:17:20,73040,,,426,879,QC,Asia,0,,2016,47,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,
SL_2016CSEO_Dive_47_20-15-27.000.avi,3594,4:19:12,20:19:12,73152,,,560,802,QC,Asia,0,,2016,47,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,ROV getting tugged,
SL_2016CSEO_Dive_47_20-15-27.000.avi,4400,4:19:39,20:19:39,73179,,,614,854,QC,Asia,0,,2016,47,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,headshake,
SL_2016CSEO_Dive_47_20-15-27.000.avi,5700,4:20:22,20:20:22,73222,,,577,776,QC,Asia,0,,2016,47,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,headshake,
SL_2016CSEO_Dive_47_20-15-27.000.avi,14849,4:25:27,20:25:27,73527,,,587,828,QC,Asia,0,,2016,47,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,,
SL_2016CSEO_Dive_47_20-15-27.000.avi,15544,4:25:50,20:25:50,73550,,,670,779,QC,Asia,0,,2016,47,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,headshake; ROV getting tugged,
SL_2016CSEO_Dive_47_20-15-27.000.avi,16279,4:26:15,20:26:15,73575,,,474,805,QC,Asia,0,,2016,47,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,headshake,
SL_2016CSEO_Dive_47_20-15-27.000.avi,27364,4:32:24,20:32:24,73944,,,603,865,QC,Asia,0,,2016,47,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,ROV getting tugged,
SL_2016CSEO_Dive_47_20-15-27.000.avi,28007,4:32:46,20:32:46,73966,,,543,786,QC,Asia,0,,2016,47,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,headshake,
SL_2016CSEO_Dive_47_20-15-27.000.avi,29039,4:33:20,20:33:20,74000,,,544,753,QC,Asia,0,,2016,47,1,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,,headshake,
SL_2016CSEO_Dive_47_20-15-27.000.avi,36143,4:37:17,20:37:17,74237,,,551,799,QC,Asia,0,,2016,47,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,ROV getting tugged,
SL_2016CSEO_Dive_47_20-15-27.000.avi,36520,4:37:29,20:37:29,74249,,,551,799,QC,Asia,0,,2016,47,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,headshake,
SL_2016CSEO_Dive_47_20-15-27.000.avi,37098,4:37:49,20:37:49,74269,,,551,799,QC,Asia,0,,2016,47,1,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,headshake,
SL_2016CSEO_Dive_47_20-15-27.000.avi,54633,4:47:33,20:47:33,74853,,,665,764,QC,Asia,0,,2016,47,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,ROV getting tugged,
SL_2016CSEO_Dive_47_20-15-27.000.avi,55531,4:48:03,20:48:03,74883,,,551,799,QC,Asia,0,,2016,47,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,headshake,
SL_2016CSEO_Dive_47_20-15-27.000.avi,56347,4:48:30,20:48:30,74910,,,551,799,QC,Asia,0,,2016,47,1,,,,,,Good,Good Going Forward,GGF,GGF,6,AD,Passing,,headshake,
SL_2016CSEO_Dive_47_20-15-27.000.avi,67035,4:54:27,20:54:26,75266,,,551,799,QC,Asia,0,,2016,47,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,possible hang up on longline,
SL_2016CSEO_Dive_47_20-15-27.000.avi,68445,4:55:14,20:55:13,75313,,,582,780,QC,Asia,0,,2016,47,1,,,,,,Good,Good Going Forward,GGF,GGF,7,AD,Passing,,,
SL_2016CSEO_Dive_47_20-15-27.000.avi,71356,4:56:51,20:56:50,75410,,,551,799,QC,Asia,0,,2016,47,1,,,,,,Good,Good Going Forward,GGF,GGF,7,AD,Passing,End,,
SL_2016CSEO_Dive_48_08-21-25.000.avi,268,16:21:36,8:21:36,30096,,,654,906,QC,Asia,0,,2016,48,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,
SL_2016CSEO_Dive_48_08-21-25.000.avi,39924,16:43:38,8:43:38,31418,,,527,759,QC,Asia,0,,2016,48,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,hit rock,
SL_2016CSEO_Dive_48_08-21-25.000.avi,40223,16:43:48,8:43:48,31428,,,336,846,QC,Asia,0,,2016,48,1,,,,,,Good,bad camera focus,GGF,GGF,2,AD,Passing,,BLB in SL but not in belly,
SL_2016CSEO_Dive_48_08-21-25.000.avi,40437,16:43:55,8:43:55,31435,,,551,799,QC,Asia,0,,2016,48,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,SL good,
SL_2016CSEO_Dive_48_08-21-25.000.avi,51097,16:49:50,8:49:50,31790,,,553,769,QC,Asia,0,,2016,48,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,BLB in SL but not in belly,
