Filename,Year,Management_Area,Frame,Time_UTC,TIME_AK,Seconds,Period,Period time (HMS),Image row,Image col,OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Start/End,Comment,Event Time HH:MM:SS
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,86333,17:37:25,9:37:24,34644,,,476,790,QC,Asia,0,,2016,2,1,,,,,,Bad,lost bottom visual,BLB,BLB,,AD,Passing,End,,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,85369,17:36:52,9:36:52,34612,,,485,663,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,80977,17:34:26,9:34:26,34466,,,613,976,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,79563,17:33:39,9:33:39,34419,,,551,799,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,77906,17:32:44,9:32:44,34364,,,498,996,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,76179,17:31:46,9:31:46,34306,,,455,776,QC,Asia,0,,2016,2,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,39043,17:11:08,9:11:08,33068,,,596,1012,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,SL good,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,38574,17:10:53,9:10:52,33052,,,541,729,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,37159,17:10:05,9:10:05,33005,,,562,840,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,SL good,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,35841,17:09:21,9:09:21,32961,,,493,789,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,29525,17:05:51,9:05:51,32751,,,453,639,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,SL good,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,29341,17:05:45,9:05:45,32745,,,627,771,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,264,16:49:36,8:49:35,31775,,,669,863,QC,Asia,0,,2016,2,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,,17:33:47,9:33:47,34427,,,,,QC,Asia,0,,2016,2,1,,,,,,Bad,lost bottom visual,BLB,BLB,,AD,Passing,,BLB both cameras,
SL_2016NSEO_Dive_02_08-49-19.000.avi,2016,NSEO ,,17:37:08,9:37:08,34628,,,,,QC,Asia,0,,2016,2,1,,,,,,Bad,lost bottom visual,BLB,BLB,,AD,Passing,,BLB both cameras,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,98965,20:50:27,12:50:27,46227,,,681,894,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,End,,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,93824,20:47:36,12:47:36,46056,,,550,565,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,,,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,92660,20:46:57,12:46:57,46017,,,259,449,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,87672,20:44:11,12:44:11,45851,,,506,742,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,87470,20:44:04,12:44:04,45844,,,476,804,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,76066,20:37:44,12:37:44,45464,,,530,813,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,75805,20:37:35,12:37:35,45455,,,551,799,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,69781,20:34:14,12:34:14,45254,,,550,794,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,69575,20:34:07,12:34:07,45247,,,665,818,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,66584,20:32:28,12:32:28,45148,,,655,896,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,66103,20:32:12,12:32:12,45132,,,551,780,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,59448,20:28:30,12:28:30,44910,,,549,796,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,58866,20:28:10,12:28:10,44890,,,604,775,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,50397,20:23:28,12:23:28,44608,,,550,798,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
