Filename,Frame,Time (HMS),Period,Period time (HMS),Image row,Image col,OpCode,Tape Reader,Depth,Comment,Year,Dive,Transect Number,Family,Genus,Species,Code,Number,Stage,Activity,Start_End,Comment,Event Time HH:MM:SS
SL_2017EYKT_Dive_01_13-26-38.000.avi,1669,13:27:41,,,454,888,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,1,,,START,,
SL_2017EYKT_Dive_01_13-26-38.000.avi,24001,13:40:05,,,542,712,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,climbing wall,
SL_2017EYKT_Dive_01_13-26-38.000.avi,25847,13:41:07,,,538,850,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,4,AD,Passing,,,
SL_2017EYKT_Dive_01_13-26-38.000.avi,27015,13:41:46,,,646,857,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,can see bottom in belly,
SL_2017EYKT_Dive_01_13-26-38.000.avi,27526,13:42:03,,,542,788,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,6,AD,Passing,,,
SL_2017EYKT_Dive_01_13-26-38.000.avi,27850,13:42:13,,,519,764,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,20,AD,Passing,,can see bottom in belly,
SL_2017EYKT_Dive_01_13-26-38.000.avi,27951,13:42:17,,,483,576,QC,Amy,,,2017,1,1,Bad,lost bottom visual,BLB,BLB,14,AD,Passing,,,
SL_2017EYKT_Dive_01_13-26-38.000.avi,28511,13:42:35,,,543,799,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,21,AD,Passing,,can see bottom in belly,
SL_2017EYKT_Dive_01_13-26-38.000.avi,28886,13:42:48,,,530,835,QC,Amy,,,2017,1,1,Bad,lost bottom visual,BLB,BLB,22,AD,Passing,,,
SL_2017EYKT_Dive_01_13-26-38.000.avi,29186,13:42:58,,,654,913,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,17,AD,Passing,,can see in belly,
SL_2017EYKT_Dive_01_13-26-38.000.avi,29407,13:43:05,,,522,796,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,8,AD,Passing,,,
SL_2017EYKT_Dive_01_13-26-38.000.avi,73415,14:07:32,,,605,804,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,18,AD,Passing,,can see in belly,
SL_2017EYKT_Dive_01_13-26-38.000.avi,74062,14:07:54,,,557,806,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,10,AD,Passing,,,
SL_2017EYKT_Dive_01_13-26-38.000.avi,76456,14:09:14,,,623,839,QC,Amy,,,2017,1,1,Bad,loitering in same area,BLA,BLA,11,AD,Passing,,,
SL_2017EYKT_Dive_01_13-26-38.000.avi,76928,14:09:29,,,589,866,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,12,AD,Passing,,,
SL_2017EYKT_Dive_01_13-26-38.000.avi,80878,14:11:41,,,559,816,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,13,AD,Passing,,can see bottom in belly,
SL_2017EYKT_Dive_01_13-26-38.000.avi,81116,14:11:49,,,631,816,QC,Amy,,,2017,1,1,Good,Good Going Forward,GGF,GGF,2,AD,Passing,END,,
