Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Start_End,Comment,Event Time HH:MM:SS
SL_2018CSEO_Dive_01_12-15-33.000.avi,771,12:16:01,44161,,,771,12:16:01,QC,amy,,,2018,1,90,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,12:16:01
SL_2018CSEO_Dive_01_12-15-33.000.avi,6122,12:18:59,44339,,,6122,12:18:59,QC,amy,,,2018,1,90,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,can see in belly,
SL_2018CSEO_Dive_01_12-15-33.000.avi,6332,12:19:06,44346,,,6332,12:19:06,QC,amy,,,2018,1,90,,,,,,Bad,loitering in same area,BLA,BLA,3,AD,Passing,,,12:19:06
SL_2018CSEO_Dive_01_12-15-33.000.avi,6613,12:19:15,44355,,,6613,12:19:15,QC,amy,,,2018,1,90,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,,,12:19:15
SL_2018CSEO_Dive_01_12-15-33.000.avi,65755,12:52:07,46327,,,65755,12:52:07,QC,amy,,,2018,1,90,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,End,,12:52:07
SL_2018CSEO_Dive_02_13-59-42.000.avi,156,13:59:50,50390,,,156,13:59:50,QC,amy,,,2018,2,89,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,13:59:50
SL_2018CSEO_Dive_02_13-59-42.000.avi,68607,14:37:52,52672,,,68607,14:37:52,QC,amy,,,2018,2,89,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,End,,14:37:52
SL_2018CSEO_Dive_03_15-56-49.000.avi,491,15:57:10,57430,,,491,15:57:10,QC,amy,,,2018,3,92,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,15:57:11
SL_2018CSEO_Dive_03_15-56-49.000.avi,70159,16:35:53,59753,,,70159,16:35:53,QC,amy,,,2018,3,92,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,End,,16:35:53
SL_2018CSEO_Dive_04_17-09-04.000.avi,148,17:09:13,61753,,,148,17:09:13,QC,amy,,,2018,4,93,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,17:09:13
