Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Start_End,Comment,Event Time HH:MM:SS
SL_2018SSEO_Dive_01_09-06-32.000.avi,646,9:07:14,32834,,,665,805,QC,amy,,,2018,1,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,9:07:14
SL_2018SSEO_Dive_01_09-06-32.000.avi,90621,9:57:13,35833,,,661,906,QC,amy,,,2018,1,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,END,,9:57:13
SL_2018SSEO_Dive_02_10-28-44.000.avi,83,10:28:51,37731,,,551,799,QC,amy,,,2018,2,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,10:28:51
SL_2018SSEO_Dive_02_10-28-44.000.avi,73835,11:09:49,40189,,,529,798,QC,amy,,,2018,2,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,END,,11:09:49
SL_2018SSEO_Dive_03_12-02-36.000.avi,173,12:02:49,43369,,,679,536,QC,amy,,,2018,3,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,12:02:49
SL_2018SSEO_Dive_03_12-02-36.000.avi,80087,12:47:13,46033,,,631,741,QC,amy,,,2018,3,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,END,,12:47:13
SL_2018SSEO_Dive_04_13-18-19.000.avi,430,13:19:16,47956,,,620,762,QC,amy,,,2018,4,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,13:19:16
SL_2018SSEO_Dive_04_13-18-19.000.avi,72461,13:59:17,50357,,,706,879,QC,amy,,,2018,4,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,END,,13:59:17
SL_2018SSEO_Dive_05_14-55-21.000.avi,132,14:55:28,53728,,,715,732,QC,amy,,,2018,5,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,14:55:28
SL_2018SSEO_Dive_05_14-55-21.000.avi,73961,15:36:29,56189,,,605,745,QC,amy,,,2018,5,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,END,,15:36:29
SL_2018SSEO_Dive_06_17-02-30.000.avi,120,17:02:40,61360,,,551,799,QC,amy,,,2018,6,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,17:02:40
SL_2018SSEO_Dive_06_17-02-30.000.avi,71362,17:42:15,63735,,,551,799,QC,amy,,,2018,6,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,END,,17:42:15
SL_2018SSEO_Dive_07_18-16-03.000.avi,545,18:16:26,65786,,,556,701,QC,amy,,,2018,7,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,18:16:26
SL_2018SSEO_Dive_07_18-16-03.000.avi,65212,18:52:22,67942,,,551,799,QC,amy,,,2018,7,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,END,,18:52:21
SL_2018SSEO_Dive_08_06-16-32.000.avi,128,6:16:49,22609,,,513,551,QC,amy,,,2018,8,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,
SL_2018SSEO_Dive_08_06-16-32.000.avi,7681,6:21:01,22861,,,551,799,QC,amy,,,2018,8,,,,,,,Bad,loitering in same area,BLA,BLA,2,AD,Passing,,,6:21:01
SL_2018SSEO_Dive_08_06-16-32.000.avi,8295,6:21:22,22882,,,393,670,QC,amy,,,2018,8,,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,
SL_2018SSEO_Dive_08_06-16-32.000.avi,12138,6:23:30,23010,,,553,799,QC,amy,,,2018,8,,,,,,,Bad,loitering in same area,BLA,BLA,4,AD,Passing,,,6:23:29
SL_2018SSEO_Dive_08_06-16-32.000.avi,12698,6:23:48,23028,,,629,818,QC,amy,,,2018,8,,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,END,,6:23:48
SL_2018SSEO_Dive_09_07-57-18.000.avi,356,7:57:35,28655,,,501,506,QC,amy,,,2018,9,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,7:57:35
SL_2018SSEO_Dive_09_07-57-18.000.avi,81170,8:42:29,31349,,,500,921,QC,amy,,,2018,9,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,END,,8:42:29
SL_2018SSEO_Dive_10_09-25-54.000.avi,247,9:26:05,33965,,,765,903,QC,amy,,,2018,10,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,9:26:05
SL_2018SSEO_Dive_10_09-25-54.000.avi,21408,9:37:51,34671,,,561,790,QC,amy,,,2018,10,,,,,,,Bad,loitering in same area,BLA,BLA,2,AD,Passing,,,9:37:50
SL_2018SSEO_Dive_10_09-25-54.000.avi,22025,9:38:11,34691,,,551,812,QC,amy,,,2018,10,,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,
SL_2018SSEO_Dive_10_09-25-54.000.avi,23276,9:38:53,34733,,,631,819,QC,amy,,,2018,10,,,,,,,Bad,loitering in same area,BLA,BLA,4,AD,Passing,,,
SL_2018SSEO_Dive_10_09-25-54.000.avi,25598,9:40:10,34810,,,588,809,QC,amy,,,2018,10,,,,,,,Bad,repositioned,BRP,BRP,5,AD,Passing,,,
SL_2018SSEO_Dive_10_09-25-54.000.avi,27747,9:41:22,34882,,,513,806,QC,amy,,,2018,10,,,,,,,Good,Good Going Forward,GGF,GGF,6,AD,Passing,,,9:41:21
SL_2018SSEO_Dive_10_09-25-54.000.avi,79052,10:09:52,36592,,,627,667,QC,amy,,,2018,10,,,,,,,Good,Good Going Forward,GGF,GGF,7,AD,Passing,END,,10:09:52
SL_2018SSEO_Dive_11_10-51-24.000.avi,342,10:51:40,39100,,,551,799,QC,amy,,,2018,11,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,10:51:40
SL_2018SSEO_Dive_11_10-51-24.000.avi,7487,10:55:39,39339,,,852,772,QC,amy,,,2018,11,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,can see in belly,10:55:38
SL_2018SSEO_Dive_11_10-51-24.000.avi,7765,10:55:48,39348,,,559,803,QC,amy,,,2018,11,,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,10:55:47
SL_2018SSEO_Dive_11_10-51-24.000.avi,20099,11:02:39,39759,,,551,799,QC,amy,,,2018,11,,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,,can see in belly,11:02:38
SL_2018SSEO_Dive_11_10-51-24.000.avi,20360,11:02:48,39768,,,477,786,QC,amy,,,2018,11,,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,,
SL_2018SSEO_Dive_11_10-51-24.000.avi,61917,11:25:53,41153,,,551,799,QC,amy,,,2018,11,,,,,,,Good,Good Going Forward,GGF,GGF,6,AD,Passing,,can see in belly,11:25:52
SL_2018SSEO_Dive_11_10-51-24.000.avi,62314,11:26:06,41166,,,665,868,QC,amy,,,2018,11,,,,,,,Good,Good Going Forward,GGF,GGF,7,AD,Passing,,,
SL_2018SSEO_Dive_11_10-51-24.000.avi,74517,11:32:53,41573,,,482,776,QC,amy,,,2018,11,,,,,,,Good,Good Going Forward,GGF,GGF,8,AD,Passing,END,,11:32:52
SL_2018SSEO_Dive_12_12-58-50.000.avi,96,12:58:58,46738,,,306,831,QC,amy,,,2018,12,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,
SL_2018SSEO_Dive_12_12-58-50.000.avi,61286,13:32:58,48778,,,389,603,QC,amy,,,2018,12,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,can see in belly,
