Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2019_EYKT_Dive_01_07-36-31.000.avi,265,7:36:41,27401,,,570,837,QC,EricaEbert,45,N/A,2019,1,5,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,83182,8:22:45,30165,,,570,835,QC,EricaEbert,45,N/A,2019,1,5,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_02_08-45-18.000.avi,178,8:45:30,31530,,,574,847,QC,EricaEbert,50,N/A,2019,2,6,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_02_08-45-18.000.avi,27660,9:00:46,32446,,,569,846,QC,EricaEbert,50,N/A,2019,2,6,Line,,,,,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
SL_2019_EYKT_Dive_02_08-45-18.000.avi,27940,9:00:55,32455,,,523,803,QC,EricaEbert,50,N/A,2019,2,6,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_02_08-45-18.000.avi,79400,9:29:31,34171,,,582,854,QC,EricaEbert,50,N/A,2019,2,6,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_03_10-05-43.000.avi,247,10:05:53,36353,,,579,850,QC,EricaEbert,65,N/A,2019,3,7,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_03_10-05-43.000.avi,29415,10:22:05,37325,,,586,858,QC,EricaEbert,65,N/A,2019,3,7,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_03_10-05-43.000.avi,29611,10:22:12,37332,,,548,820,QC,EricaEbert,65,N/A,2019,3,7,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_03_10-05-43.000.avi,77494,10:48:48,38928,,,573,770,QC,EricaEbert,65,N/A,2019,3,7,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_04_11-21-19.000.avi,134,11:21:29,40889,,,563,834,QC,EricaEbert,45,N/A,2019,4,8,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_04_11-21-19.000.avi,47034,11:47:33,42453,,,579,850,QC,EricaEbert,45,N/A,2019,4,8,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_04_11-21-19.000.avi,47306,11:47:42,42462,,,582,855,QC,EricaEbert,45,N/A,2019,4,8,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_04_11-21-19.000.avi,72459,12:01:40,43300,,,586,851,QC,EricaEbert,45,N/A,2019,4,8,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_05_12-55-58.000.avi,182,12:56:16,46576,,,571,841,QC,EricaEbert,80,N/A,2019,5,9,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_05_12-55-58.000.avi,5723,12:59:21,46761,,,586,851,QC,EricaEbert,80,N/A,2019,5,9,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2019_EYKT_Dive_05_12-55-58.000.avi,6955,13:00:02,46802,,,596,854,QC,EricaEbert,80,N/A,2019,5,9,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_05_12-55-58.000.avi,8478,13:00:53,46853,,,588,848,QC,EricaEbert,80,N/A,2019,5,9,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_05_12-55-58.000.avi,8689,13:01:00,46860,,,588,859,QC,EricaEbert,80,N/A,2019,5,9,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_05_12-55-58.000.avi,57956,13:28:22,48502,,,582,838,QC,EricaEbert,80,N/A,2019,5,9,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2019_EYKT_Dive_05_12-55-58.000.avi,58455,13:28:38,48518,,,578,846,QC,EricaEbert,80,N/A,2019,5,9,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_05_12-55-58.000.avi,62364,13:30:49,48649,,,576,834,QC,EricaEbert,80,N/A,2019,5,9,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2019_EYKT_Dive_05_12-55-58.000.avi,62579,13:30:56,48656,,,561,839,QC,EricaEbert,80,N/A,2019,5,9,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_05_12-55-58.000.avi,67705,13:33:47,48827,,,582,850,QC,EricaEbert,80,N/A,2019,5,9,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_06_14-03-14.000.avi,170,14:03:22,50602,,,584,850,QC,EricaEbert,60,N/A,2019,6,10,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_06_14-03-14.000.avi,70341,14:42:21,52941,,,586,846,QC,EricaEbert,60,N/A,2019,6,10,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_07_15-41-45.000.avi,131,15:41:50,56510,,,592,859,QC,EricaEbert,98,N/A,2019,7,6,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_07_15-41-45.000.avi,69494,16:20:22,58822,,,580,847,QC,EricaEbert,98,N/A,2019,7,6,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_08_16-52-49.000.avi,1396,16:53:40,60820,,,571,839,QC,EricaEbert,90,N/A,2019,8,12,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_08_16-52-49.000.avi,69416,17:31:27,63087,,,575,839,QC,EricaEbert,90,N/A,2019,8,12,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_09_18-08-56.000.avi,349,18:09:13,65353,,,579,847,QC,EricaEbert,110,N/A,2019,9,13,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_09_18-08-56.000.avi,43317,18:33:05,66785,,,575,844,QC,EricaEbert,110,N/A,2019,9,13,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_09_18-08-56.000.avi,44153,18:33:33,66813,,,580,852,QC,EricaEbert,110,N/A,2019,9,13,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_09_18-08-56.000.avi,56837,18:40:36,67236,,,571,834,QC,EricaEbert,110,N/A,2019,9,13,Line,,,,,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
