Dive_Id,Date,Time_AKDT,TC (UTC),UTC time,,Start_End,Comments,YE cnt,Jenny comments
eykt_1,5/10/2017,13:27:41,21:27:41:29,21:27:41,,S,,,
,,13:28:46,21:28:46:01,21:28:46,,,dogfish shark,,
,,13:36:41,21:36:41:11,21:36:41,,,longline,,
,,13:38:16,21:38:16:26,21:38:16,,,"coral, longline, ye?",,Don’t see this ye
,,13:38:52,21:38:52:24,21:38:52,,,ye,1,
,,13:39:46,21:39:46:21,21:39:46,,,ye,1,This is a canary
,,13:41:43,21:41:43:07,21:41:43,,,red tree coral,,
,,13:57:05,21:57:05:24,21:57:05,,,dogfish shark,,
,,13:59:28,21:59:28:29,21:59:28,,,ye,1,
,,14:05:18,22:05:18:09,22:05:18,,,dusky ,,
,,14:11:49,22:11:49:02,22:11:49,,E,,,
,,,,,,,,,
eykt_2,5/10/2017,19:08:30,03:08:30:07,03:08:30,,S,,,
,,19:10:51,03:10:51:19,03:10:51,,,ye,1,
,,19:11:54,03:11:54:04,03:11:54,,,ye,1,
,,19:12:11,03:12:11:04,03:12:11,,,jye,,
,,19:12:54,03:12:54:12,03:12:54,,,jye,,This is an adult
,,19:14:54,03:14:54:10,03:14:54,,,jye,,
,,19:15:09,03:15:09:17,03:15:09,,,2 lc,,
,,19:33:31,03:33:31:20,03:33:31,,,lc,,
,,19:38:03,03:38:03:15,03:38:03,,,tiger,,
,,19:38:29,03:38:29:11,03:38:29,,,ye,1,
,,19:39:14,03:39:14:04,03:39:14,,,lc,,
,,19:39:26,03:39:26:18,03:39:26,,,lc,,
,,19:41:09,03:41:09:14,03:41:09,,,lc,,
,,19:41:20,03:41:20:08,03:41:20,,,jye,,
,,19:41:51,03:41:51:27,03:41:51,,,lc,,
,,19:42:18,03:42:18:01,03:42:18,,,lc,,can't find this fish
,,19:42:36,03:42:36:12,03:42:36,,,ye,1,
,,19:47:29,03:47:29:13,03:47:29,,,ye,1,
,,19:47:55,03:47:55:29,03:47:55,,,lc,,can't find this fish
,,19:49:22,03:49:22:20,03:49:22,,,jye,,
,,19:49:59,03:49:59:01,03:49:59,,,ye,1,
,,19:50:15,03:50:15:27,03:50:15,,E,,,
,,,,,,,,,
eykt_3,5/11/2017,6:15:51,14:15:51:05,14:15:51,,S,,,
,,6:24:49,14:24:49:12,14:24:49,,,jye,,
,,6:25:50,14:25:50:23,14:25:50,,,lc,,
,,6:29:24,14:29:24:06,14:29:24,,,ye,1,
,,6:40:55,14:40:55:15,14:40:55,,,lc,,
,,6:44:11,14:44:11:17,14:44:11,,,wolf eel,,
,,6:44:56,14:44:56:08,14:44:56,,,wolf eel,,
,,6:45:50,14:45:50:18,14:45:50,,,ye,1,
,,6:48:22,14:48:22:03,14:48:22,,,ye,1,
,,6:49:08,14:49:08:04,14:49:08,,,ye,1,
,,6:49:43,14:49:43:26,14:49:43,,,tiger,,
,,6:50:41,14:50:41:04,14:50:41,,,tiger,,
,,6:52:25,14:52:25:17,14:52:25,,,ye,1,
,,6:54:25,14:54:25:25,14:54:25,,E,,,
,,,,,,,,,
eykt_4,5/11/2017,7:53:46,15:53:46:20,15:53:46,,S,,,
,,8:18:17,16:18:17:05,16:18:17,,,jye,,This is a subadult
,,8:19:50,16:19:50:27,16:19:50,,,lc,,can only see this in DOE on right edge. Didn't include
,,8:27:23,16:27:23:04,16:27:23,,,left side light blows,,
,,8:28:09,16:28:09:14,16:28:09,,E,,,
,,,,,,,,,
eykt_5,5/11/2017,10:02:48,18:02:48:06,18:02:48,,S,,,
,,10:15:47,18:15:47:11,18:15:47,,,ye feeding ,1,
,,10:28:00,18:28:00:16,18:28:00,,,lc,,
,,10:29:10,18:29:10:29,18:29:10,,,ye? Far upper right,,can't confirm
,,10:34:11,18:34:11:07,18:34:11,,,lc,,
,,10:36:49,18:36:49:14,18:36:49,,E,,,
,,,,,,,,,
eykt_6,5/11/2017,11:14:28,19:14:28:00,19:14:28,,S,,,
,,11:26:16,19:26:16:01,19:26:16,,,lc,,
,,11:28:36,19:28:36:17,19:28:36,,,ye,1,
,,11:30:20,19:30:20:17,19:30:20,,,tiger,,
,,11:37:49,19:37:49:10,19:37:49,,,ye,1,
,,11:44:24,19:44:24:08,19:44:24,,,box crab,,
,,11:48:41,19:48:41:07,19:48:41,,E,,,
,,,,,,,,,
eykt_7,5/11/2017,12:24:27,20:24:27:15,20:24:27,,S,,,
,,12:28:10,20:28:10:08,20:28:10,,,ye,1,
,,12:29:16,20:29:16:16,20:29:16,,,harlequin?,,
,,12:42:57,20:42:57:25,20:42:57,,,ye,1,
,,12:49:20,20:49:20:24,20:49:20,,,silver greys,,
,,12:49:29,20:49:29:12,20:49:29,,,jye?,,only see rosethorn at this tim
,,12:59:15,20:59:15:26,20:59:15,,,halibut,,cant confirm not arrowtooth
,,13:00:02,21:00:02:04,21:00:02,,E,,,
,,,,,,,,,
eykt_8,5/11/2017,13:36:55,21:36:55:21,21:36:55,,S,,,
,,13:42:58,21:42:58:10,21:42:58,,,halibut,,can't confirm not arrowtooth
,,13:47:46,21:47:46:00,21:47:46,,,ye,1,
,,13:50:25,21:50:25:02,21:50:25,,,ye,1,
,,13:57:17,21:57:17:27,21:57:17,,,ye,1,
,,13:57:47,21:57:47:27,21:57:47,,,ye? Under rock,,can't confirm
,,14:06:58,22:06:58:22,22:06:58,,,ye,1,can't confirm too blurry
,,14:08:27,22:08:27:25,22:08:27,,,ye,1,
,,14:08:52,22:08:52:16,22:08:52,,,prowfish,,
,,14:18:36,22:18:36:01,22:18:36,,E,,,
,,,,,,,,,
eykt_9,5/11/2017,14:56:35,22:56:35:19,22:56:35,,S,,,
,,15:27:28,23:27:28:15,23:27:28,,,longnose,,
,,15:29:56,23:29:56:26,23:29:56,,E,,,
,,,,,,,,,
eykt_10,5/11/2017,16:15:04,00:15:04:05,00:15:04,,S,,,
,,16:22:42,00:22:42:16,00:22:42,,,jye,,
,,16:23:43,00:23:43:13,00:23:43,,,jye,,
,,16:26:02,00:26:02:13,00:26:02,,,lc,,
,,16:26:22,00:26:22:07,00:26:22,,,tiger in bel ,,
,,16:28:38,00:28:38:01,00:28:38,,,jye,,
,,16:28:52,00:28:52:27,00:28:52,,,tiger ,,
,,16:35:18,00:35:18:23,00:35:18,,,jye,,
,,16:38:57,00:38:57:21,00:38:57,,,lc,,
,,16:39:19,00:39:19:15,00:39:19,,,jye in bel,,
,,16:40:43,00:40:43:29,00:40:43,,,ye feeding from behind,1,
,,16:44:57,00:44:57:09,00:44:57,,,jye?,,
,,16:50:21,00:50:21:18,00:50:21,,,2 jye,2,
,,16:53:06,00:53:06:08,00:53:06,,,"tiger, ye",1,
,,16:54:24,00:54:24:03,00:54:24,,,jye,,
,,16:56:05,00:56:05:18,00:56:05,,E,,,
,,,,,,,,,
eykt_11,5/11/2017,17:24:37,01:24:37:26,01:24:37,,S,,,
,,17:26:01,01:26:01:22,01:26:01,,,tiger,,only in belly
,,17:30:57,01:30:57:09,01:30:57,,,jye,,
,,17:31:48,01:31:48:14,01:31:48,,,jye,,
,,17:32:01,01:32:01:04,01:32:01,,,"jye, repeat?",,
,,17:33:44,01:33:44:01,01:33:44,,pause,pause to investigate ubilicle tangle,,
,,17:37:43,01:37:43:23,01:37:43,,restart,likely repeating some of transect. ,,
,,17:39:38,01:39:38:24,01:39:38,,,jye,,
,,17:41:16,01:41:16:27,01:41:16,,,jye?,,confirmed in belly
,,17:41:33,01:41:33:19,01:41:33,,,jye,,
,,17:42:19,01:42:19:26,01:42:19,,,tiger,,
,,17:46:39,01:46:39:05,01:46:39,,,quillback,,
,,17:52:32,01:52:32:15,01:52:32,,,ye,1,
,,17:53:26,01:53:26:10,01:53:26,,,box crab? In bel. ,,
,,17:55:23,01:55:23:27,01:55:23,,,tiger,,
,,17:55:40,01:55:40:23,01:55:40,,,ye,1,
,,17:58:21,01:58:21:23,01:58:21,,,jye,,
,,18:01:45,02:01:45:13,02:01:45,,,jye,,
,,18:02:31,02:02:31:27,02:02:31,,,ye,1,
,,18:04:05,02:04:05:18,02:04:05,,,ye,1,likely ye but can't confirm weird angle
,,18:09:08,02:09:08:07,02:09:08,,,jye,,
,,18:11:27,02:11:27:09,02:11:27,,,jye,,
,,18:13:29,02:13:29:13,02:13:29,,E,,,
,,,,,,,,,
eykt_12,5/11/2017,19:20:53,03:20:53:10,03:20:53,,S,,,
,,19:21:44,03:21:44:24,03:21:44,,pause,pause to investigate umbilicle tangle,,
,,19:28:16,03:28:16:00,03:28:16,,resume,,,
,,19:29:49,03:29:49:01,03:29:49,,,halibut,,This is an arrowtooth
,,19:31:19,03:31:19:09,03:31:19,,,box crab,,
,,19:31:47,03:31:47:08,03:31:47,,,box crab,,
,,19:43:39,03:43:39:01,03:43:39,,,box crab,,
,,19:49:36,03:49:36:14,03:49:36,,,box crab,,
,,20:00:56,04:00:56:08,04:00:56,,E,,,
,,,,,,,,,
eykt_13,5/12/2017,6:31:46,14:31:46:21,14:31:46,,S,,,
,,6:38:56,14:38:56:28,14:38:56,,,ye,1,
,,6:41:05,14:41:05:17,14:41:05,,,ye,1,
,,6:44:12,14:44:12:20,14:44:12,,,ye,1,
,,6:46:25,14:46:25:28,14:46:25,,,ye,1,
,,6:49:35,14:49:35:03,14:49:35,,,lc,,
