Event,DIVE_NO,SECONDS,VESSEL_X,VESSEL_Y,Vessel_heading,VESSEL_PITCH,VESSEL_ROLL,ROV_X,ROV_Y,ROV_Z,ROV_Heading,ROV_CMG,Alt,ROV_pitch
1,cseo_1,44132,467453.23,6287800.23,33.1,-2.29,-8.02,467494.44,6287757.63,123,66,172.21,2.11,-41.83
2,cseo_1,44133,467453.14,6287801.35,34.2,-5.16,-9.17,467494.44,6287757.63,123,66,172.21,1.69,-40.11
3,cseo_1,44134,467453.65,6287802.09,38.3,-6.88,-0.57,467491.17,6287757.82,118.5,65,165.67,1.58,-37.82
4,cseo_1,44135,467454.67,6287802.26,43.4,-4.58,10.89,467491.17,6287757.82,124,55,165.67,1.41,-33.23
5,cseo_1,44136,467455.49,6287802.63,46.8,-0.57,16.04,467491.17,6287757.82,124,49,165.67,1.35,-37.82
6,cseo_1,44137,467456.01,6287803.55,46.9,-1.15,12.03,467501,6287758,124,46,133.68,1.44,-34.95
7,cseo_1,44138,467456.12,6287804.85,45.1,-2.86,2.29,467501,6287758,123,43,133.68,1.63,-33.23
8,cseo_1,44139,467455.93,6287805.96,43.5,-2.86,-6.88,467501,6287758,123,43,133.68,1.63,-33.23
9,cseo_1,44140,467456.04,6287806.89,43.8,-4.58,-8.02,467495.34,6287762.56,119,41,183.65,1.86,-29.79
10,cseo_1,44141,467456.75,6287807.26,47.6,-5.73,1.15,467495.34,6287762.56,123,36,183.65,2.2,-28.07
11,cseo_1,44142,467457.77,6287807.25,52.5,-2.86,11.46,467495.34,6287762.56,123,36,183.65,2.62,-28.07
12,cseo_1,44143,467458.38,6287807.24,55.3,0,15.47,467495.34,6287762.56,123,42,183.65,2.79,-26.93
13,cseo_1,44144,467458.59,6287807.98,55,-0.57,9.17,467495.34,6287762.56,123,58,183.65,2.99,-25.78
14,cseo_1,44145,467458.6,6287809.1,52.9,-4.58,0.57,467500.96,6287763.17,117.9,66,50.84,3.33,-25.78
15,cseo_1,44146,467458.61,6287810.02,52.1,-5.73,-6.3,467500.96,6287763.17,123,67,50.84,3.7,-28.07
16,cseo_1,44147,467458.82,6287810.39,53.7,-3.44,-4.58,467500.96,6287763.17,123,69,50.84,4.2,-24.06
17,cseo_1,44148,467459.53,6287810.2,56.6,-2.29,4.58,467500.96,6287763.17,123,57,50.84,4.35,-22.92
18,cseo_1,44149,467460.14,6287809.83,60,-2.86,12.03,467500.96,6287763.17,123,52,50.84,4.26,-25.21
