Event,DIVE_NO,ALDT,Seconds,VESSEL_X,VESSEL_Y,Vessel_heading,VESSEL_PITCH,VESSEL_ROLL,ROV_X,ROV_Y,ROV_Z,ROV_Heading,ROV_CMG,Alt,ROV_pitch
1,nseo_1,1:04:08 PM,47048,421935.78,6376749.42,295.9,4.01,5.16,421907.41,6376742.72,123,316,,3.61,-29.79
2,nseo_1,1:04:09 PM,47049,421935.28,6376749.06,298,4.01,4.01,421903.03,6376746.13,123,336,,3.47,-32.09
3,nseo_1,1:04:10 PM,47050,421934.78,6376748.88,300.3,2.86,2.86,421903.03,6376746.13,123,7,,3.3,-33.8
4,nseo_1,1:04:11 PM,47051,421934.37,6376748.71,302.7,2.29,3.44,421903.03,6376746.13,123,7,,3.3,-33.8
5,nseo_1,1:04:12 PM,47052,421934.07,6376748.71,304.8,2.29,4.01,421903.03,6376746.13,123,20,,3.19,-33.8
6,nseo_1,1:04:13 PM,47053,421933.67,6376748.53,307.2,2.86,4.58,421903.03,6376746.13,123,35,,3.07,-34.95
7,nseo_1,1:04:14 PM,47054,421933.27,6376748.36,309.9,3.44,4.58,421903.03,6376746.13,123,44,,2.85,-36.1
8,nseo_1,1:04:15 PM,47055,421932.97,6376748.36,313.2,3.44,4.58,421903.03,6376746.13,123,41,,2.65,-37.24
9,nseo_1,1:04:16 PM,47056,421932.57,6376748.18,315.5,3.44,4.01,421903.03,6376746.13,123,42,,2.62,-37.82
10,nseo_1,1:04:17 PM,47057,421931.96,6376747.82,317.1,2.29,3.44,421903.03,6376746.13,123,42,,2.68,-37.82
11,nseo_1,1:04:18 PM,47058,421931.66,6376747.83,319.6,2.29,4.58,421903.03,6376746.13,123,42,,2.65,-38.96
12,nseo_1,1:04:19 PM,47059,421931.46,6376748.02,322,4.01,5.73,421903.03,6376746.13,123,41,,2.74,-37.82
13,nseo_1,1:04:20 PM,47060,421931.26,6376748.02,324.5,4.58,5.73,421903.03,6376746.13,123,39,,2.9,-36.1
14,nseo_1,1:04:21 PM,47061,421930.77,6376748.22,326.5,3.44,5.16,421904.7,6376755.06,123,40,,3.1,-36.1
