Event,DIVE_NO,ALDT,Seconds,VESSEL_X,VESSEL_Y,Vessel_heading,VESSEL_PITCH,VESSEL_ROLL,ROV_X,ROV_Y,ROV_Z,ROV_HEADING,ROV_CMG,Alt,ROV_Pitch,Transect,Dir,Date
1,eykt_1,7:36:28 AM,27388,603993.12,6480825.56,276.8,-3.44,5.73,603965.18,6480835.14,66,211,,9.35,-17.19,5,45,8/14/2019
2,eykt_1,7:36:29 AM,27389,603993.02,6480825.74,276,-5.16,5.16,603964.14,6480833.98,65.8,213,,8.89,-13.18,5,45,8/14/2019
3,eykt_1,7:36:30 AM,27390,603993.21,6480825.74,275.3,-2.29,3.44,603964.14,6480833.98,66,216,,8.27,-13.18,5,45,8/14/2019
4,eykt_1,7:36:31 AM,27391,603993.22,6480825.56,274.6,-1.15,1.72,603964.14,6480833.98,65,219,,7.48,-12.03,5,45,8/14/2019
5,eykt_1,7:36:32 AM,27392,603993.01,6480825.92,273.6,-3.44,2.86,603962.63,6480833.37,65,214,,7.96,-14.9,5,45,8/14/2019
6,eykt_1,7:36:33 AM,27393,603992.71,6480826.29,272.8,-4.58,4.58,603962.63,6480833.37,65,211,,7.28,-17.19,5,45,8/14/2019
7,eykt_1,7:36:34 AM,27394,603992.7,6480826.66,271.7,-2.29,6.88,603962.63,6480833.37,65,211,,6.58,-17.19,5,45,8/14/2019
8,eykt_1,7:36:35 AM,27395,603992.59,6480827.03,270.4,-1.72,5.73,603961.12,6480832.57,64,213,,5.67,-17.19,5,45,8/14/2019
9,eykt_1,7:36:36 AM,27396,603992.01,6480827.01,269.5,-5.16,3.44,603961.12,6480832.57,64,214,,5.02,-14.9,5,45,8/14/2019
10,eykt_1,7:36:37 AM,27397,603991.72,6480827,268.8,-4.58,1.72,603961.12,6480832.57,64,214,,5.02,-14.9,5,45,8/14/2019
11,eykt_1,7:36:38 AM,27398,603991.61,6480827.37,268,-1.15,2.29,603959.66,6480831.45,63.4,213,,4.91,-16.04,5,45,8/14/2019
12,eykt_1,7:36:39 AM,27399,603991.1,6480828.1,266.5,-2.86,4.58,603959.66,6480831.45,64,214,,4.71,-13.18,5,45,8/14/2019
13,eykt_1,7:36:40 AM,27400,603990.41,6480828.46,265.6,-6.88,5.73,603959.66,6480831.45,64,214,,4.57,-13.18,5,45,8/14/2019
14,eykt_1,7:36:41 AM,27401,603990.21,6480828.82,264,-2.29,5.73,603958,6480830.85,63.2,212,,5.36,-14.9,5,45,8/14/2019
15,eykt_1,7:36:42 AM,27402,603990.21,6480828.82,263.1,0,3.44,603958,6480830.85,63,211,,9.71,-13.18,5,45,8/14/2019
16,eykt_1,7:36:43 AM,27403,603989.43,6480828.8,262.4,-6.3,1.72,603958,6480830.85,63,208,,10.45,-13.75,5,45,8/14/2019
17,eykt_1,7:36:44 AM,27404,603988.75,6480828.97,261.9,-8.02,1.72,603957.86,6480830.89,63,208,,10.28,-12.03,5,45,8/14/2019
18,eykt_1,7:36:45 AM,27405,603988.74,6480829.34,260.3,0,3.44,603957.86,6480830.89,62,208,,10.59,-12.03,5,45,8/14/2019
19,eykt_1,7:36:46 AM,27406,603988.34,6480829.7,259.2,-0.57,4.58,603957.86,6480830.89,62,212,,13.5,-10.89,5,45,8/14/2019
20,eykt_1,7:36:47 AM,27407,603987.76,6480829.5,258.5,-5.73,5.16,603958.08,6480830.51,62,218,,14.32,-13.18,5,45,8/14/2019
21,eykt_1,7:36:48 AM,27408,603987.37,6480829.49,258,-7.45,4.01,603958.08,6480830.51,62,220,,11.21,-13.18,5,45,8/14/2019
22,eykt_1,7:36:49 AM,27409,603986.88,6480829.48,257.5,-5.16,4.01,603958.08,6480830.51,63,220,,9.77,-17.19,5,45,8/14/2019
23,eykt_1,7:36:50 AM,27410,603986.49,6480829.65,256.5,-1.15,3.44,603955.9,6480829.75,62,220,,9.77,-17.19,5,45,8/14/2019
24,eykt_1,7:36:51 AM,27411,603985.91,6480829.64,255.2,-1.72,3.44,603955.9,6480829.75,63,221,,8.78,-20.05,5,45,8/14/2019
25,eykt_1,7:36:52 AM,27412,603985.42,6480829.62,254.5,-5.16,3.44,603955.9,6480829.75,63,218,,8.58,-20.05,5,45,8/14/2019
26,eykt_1,7:36:53 AM,27413,603984.73,6480829.79,254.6,-6.3,4.58,603956.48,6480830.46,62.8,213,,7.99,-18.91,5,45,8/14/2019
27,eykt_1,7:36:55 AM,27415,603984.14,6480830.15,253.9,-4.01,5.16,603956.48,6480830.46,63,196,,7.23,-21.77,5,45,8/14/2019
28,eykt_1,7:36:56 AM,27416,603983.75,6480830.32,252,-1.72,4.01,603956.48,6480830.46,63,181,,7.54,-24.06,5,45,8/14/2019
29,eykt_1,7:36:57 AM,27417,603983.08,6480829.93,250.9,-5.16,1.72,603955.73,6480830.25,63,173,,8.5,-17.19,5,45,8/14/2019
30,eykt_1,7:36:58 AM,27418,603982.4,6480829.73,250.7,-6.3,0.57,603955.73,6480830.25,63,167,,9.15,-16.04,5,45,8/14/2019
31,eykt_1,7:36:59 AM,27419,603982.1,6480829.91,250.2,-2.29,2.86,603955.73,6480830.25,63,167,,8.05,-21.2,5,45,8/14/2019
32,eykt_1,7:37:00 AM,27420,603981.22,6480830.07,249.3,-3.44,5.73,603955.61,6480828.94,62,165,,7.14,-24.06,5,45,8/14/2019
33,eykt_1,7:37:01 AM,27421,603980.35,6480829.86,248.4,-6.3,6.88,603955.61,6480828.94,62,166,,6.92,-25.21,5,45,8/14/2019
34,eykt_1,7:37:02 AM,27422,603980.16,6480829.67,248.3,-2.29,5.16,603955.61,6480828.94,62,167,,6.86,-26.93,5,45,8/14/2019
35,eykt_1,7:37:03 AM,27423,603980.17,6480829.48,247.1,-0.57,2.86,603956.01,6480827.97,63,167,,6.78,-25.78,5,45,8/14/2019
