Order,Event_ID,Trans,Tran,Dir,Date,J_day,ALDT,Sec,Vessel_x,Vessel_y,Vessel_heading,Vessel_Pitch,Vessel_Roll,x,y,z,Heading,CMG,Alt,Pitch,Roll
1,SSEO_1,34_45,34,45,8/16/2020,229,12:51:02 PM,46262,522761.57,6199044.38,234,0.01,-2.34,522735.21,6199025.22,,181.31,200,,-32,
2,SSEO_1,34_45,34,45,8/16/2020,229,12:51:03 PM,46263,522761.36,6199044.56,234.3,-1.29,0.71,522735.21,6199025.22,,181.31,205,,-29,
3,SSEO_1,34_45,34,45,8/16/2020,229,12:51:04 PM,46264,522761.05,6199044.75,233.4,-2.27,3.9,522735.21,6199025.22,,181.31,206,,-30,
4,SSEO_1,34_45,34,45,8/16/2020,229,12:51:05 PM,46265,522760.94,6199044.93,232.8,-1.58,4.65,522735.21,6199025.22,,181.31,206,,-30,
5,SSEO_1,34_45,34,45,8/16/2020,229,12:51:06 PM,46266,522760.94,6199044.74,233.1,-1.53,2.32,522735.21,6199025.22,,181.31,203,,-31,
6,SSEO_1,34_45,34,45,8/16/2020,229,12:51:07 PM,46267,522760.84,6199044.37,232.8,-2.62,-0.76,522735.21,6199025.22,,181.31,202,,-26,
7,SSEO_1,34_45,34,45,8/16/2020,229,12:51:08 PM,46268,522760.84,6199044.37,233,-1.18,-1.86,522735.21,6199025.22,,181.31,202,,-26,
8,SSEO_1,34_45,34,45,8/16/2020,229,12:51:09 PM,46269,522760.53,6199044.37,232.7,-0.02,-0.68,522735.21,6199025.22,,181.31,206,,-26,
9,SSEO_1,34_45,34,45,8/16/2020,229,12:51:10 PM,46270,522760.32,6199044.19,232.5,-0.57,1.12,522735.21,6199025.22,,181.31,212,,-27,
10,SSEO_1,34_45,34,45,8/16/2020,229,12:51:11 PM,46271,522760.11,6199044.18,232.4,-1.72,2.77,522735.21,6199025.22,,181.31,220,,-29,
11,SSEO_1,34_45,34,45,8/16/2020,229,12:51:12 PM,46272,522760.01,6199044.18,232.5,-1.68,3.38,522735.21,6199025.22,,181.31,229,,-31,
12,SSEO_1,34_45,34,45,8/16/2020,229,12:51:13 PM,46273,522760.01,6199044.18,232,-1.28,2.57,522735.21,6199025.22,,181.31,233,,-32,
13,SSEO_1,34_45,34,45,8/16/2020,229,12:51:14 PM,46274,522759.9,6199044,231.2,-1.63,0.41,522735.21,6199025.22,,181.31,230,,-27,
14,SSEO_1,34_45,34,45,8/16/2020,229,12:51:15 PM,46275,522759.91,6199043.81,231,-1.96,-1.31,522735.21,6199025.22,,181.31,224,,-26,
15,SSEO_1,34_45,34,45,8/16/2020,229,12:51:16 PM,46276,522759.7,6199043.63,231.2,-1.51,-0.96,522729.70,6199021.94,,189.28,213,,-26,
16,SSEO_1,34_45,34,45,8/16/2020,229,12:51:17 PM,46277,522759.28,6199043.62,230.8,-0.85,1.62,522729.70,6199021.94,,189.28,205,,-27,
17,SSEO_1,34_45,34,45,8/16/2020,229,12:51:18 PM,46278,522758.86,6199043.81,230,-0.74,3.58,522729.70,6199021.94,,189.28,199,,-27,
18,SSEO_1,34_45,34,45,8/16/2020,229,12:51:19 PM,46279,522758.76,6199043.43,230,-1.67,2.78,522729.70,6199021.94,,189.28,199,,-27,
19,SSEO_1,34_45,34,45,8/16/2020,229,12:51:20 PM,46280,522758.56,6199043.06,229.9,-3.24,0.68,522729.70,6199021.94,,189.28,195,,-25,
20,SSEO_1,34_45,34,45,8/16/2020,229,12:51:21 PM,46281,522758.24,6199042.88,228.7,-2.6,-0.52,522729.70,6199021.94,,189.28,198,,-26,
21,SSEO_1,34_45,34,45,8/16/2020,229,12:51:22 PM,46282,522758.25,6199042.69,228.7,1.17,-0.74,522729.70,6199021.94,,189.28,201,,-24,
22,SSEO_1,34_45,34,45,8/16/2020,229,12:51:23 PM,46283,522757.93,6199042.5,228.5,0.95,0.72,522729.70,6199021.94,,189.28,204,,-21,
23,SSEO_1,34_45,34,45,8/16/2020,229,12:51:24 PM,46284,522757.41,6199042.5,228,-2.53,2.99,522729.70,6199021.94,,189.28,204,,-20,
24,SSEO_1,34_45,34,45,8/16/2020,229,12:51:25 PM,46285,522757.2,6199042.5,227.1,-2.91,3.4,522729.70,6199021.94,,189.28,205,,-18,
25,SSEO_1,34_45,34,45,8/16/2020,229,12:51:26 PM,46286,522757.31,6199042.13,227.1,-0.91,1.18,522729.70,6199021.94,,189.28,204,,-18,
26,SSEO_1,34_45,34,45,8/16/2020,229,12:51:27 PM,46287,522757.21,6199041.57,227,-1.32,-0.97,522729.70,6199021.94,,189.28,207,,-19,
27,SSEO_1,34_45,34,45,8/16/2020,229,12:51:28 PM,46288,522756.8,6199041.2,226.8,-1.71,-0.47,522729.70,6199021.94,,189.28,210,,-21,
28,SSEO_1,34_45,34,45,8/16/2020,229,12:51:29 PM,46289,522756.17,6199041.01,226.2,-1.37,2.18,522723.60,6199019.22,,201.17,213,,-20,
29,SSEO_1,34_45,34,45,8/16/2020,229,12:51:30 PM,46290,522755.55,6199041.01,225.3,-1.1,4.09,522723.60,6199019.22,,201.17,213,,-20,
30,SSEO_1,34_45,34,45,8/16/2020,229,12:51:31 PM,46291,522755.03,6199040.63,224.9,-1.44,2.71,522723.60,6199019.22,,201.17,214,,-21,
31,SSEO_1,34_45,34,45,8/16/2020,229,12:51:32 PM,46292,522754.93,6199039.89,224.2,-1.34,-0.71,522721.46,6199017.74,,200.37,216,,-20,
32,SSEO_1,34_45,34,45,8/16/2020,229,12:51:33 PM,46293,522754.93,6199039.33,224.5,0.25,-2.48,522721.46,6199017.74,,200.37,218,,-18,
33,SSEO_1,34_45,34,45,8/16/2020,229,12:51:34 PM,46294,522754.52,6199038.96,224.8,-1.11,-0.82,522721.46,6199017.74,,200.37,222,,-18,
34,SSEO_1,34_45,34,45,8/16/2020,229,12:51:35 PM,46295,522753.79,6199038.59,224.1,-3.09,2.59,522721.46,6199017.74,,200.37,221,,-16,
35,SSEO_1,34_45,34,45,8/16/2020,229,12:51:36 PM,46296,522753.37,6199038.4,223.3,-1.96,4.73,522721.46,6199017.74,,200.37,220,,-18,
36,SSEO_1,34_45,34,45,8/16/2020,229,12:51:37 PM,46297,522752.86,6199037.65,222.9,-1.99,3.83,522721.46,6199017.74,,200.37,219,,-23,
37,SSEO_1,34_45,34,45,8/16/2020,229,12:51:38 PM,46298,522752.44,6199036.91,222.8,-2.16,1.32,522721.46,6199017.74,,200.37,216,,-26,
38,SSEO_1,34_45,34,45,8/16/2020,229,12:51:39 PM,46299,522752.03,6199036.35,223.1,-0.3,-0.75,522721.46,6199017.74,,200.37,212,,-27,
39,SSEO_1,34_45,34,45,8/16/2020,229,12:51:40 PM,46300,522751.72,6199035.79,222.3,0.4,-1.75,522721.46,6199017.74,,200.37,209,,-31,
40,SSEO_1,34_45,34,45,8/16/2020,229,12:51:41 PM,46301,522751.41,6199035.42,221.7,-0.6,-0.35,522721.46,6199017.74,,200.37,209,,-31,
41,SSEO_1,34_45,34,45,8/16/2020,229,12:51:42 PM,46302,522751,6199035.05,221.5,-2.71,2.21,522721.46,6199017.74,,200.37,205,,-32,
42,SSEO_1,34_45,34,45,8/16/2020,229,12:51:43 PM,46303,522750.58,6199034.67,221.1,-3.25,4.07,522721.46,6199017.74,,200.37,207,,-30,
43,SSEO_1,34_45,34,45,8/16/2020,229,12:51:44 PM,46304,522750.48,6199034.3,221.7,-1.09,3.84,522721.46,6199017.74,,200.37,209,,-30,
44,SSEO_1,34_45,34,45,8/16/2020,229,12:51:45 PM,46305,522750.17,6199033.74,221.7,-0.07,2.09,522721.46,6199017.74,,200.37,208,,-28,
45,SSEO_1,34_45,34,45,8/16/2020,229,12:51:46 PM,46306,522749.96,6199033.37,221.4,-1.06,0.01,522721.46,6199017.74,,200.37,211,,-27,
46,SSEO_1,34_45,34,45,8/16/2020,229,12:51:47 PM,46307,522749.66,6199032.63,221.1,-3.02,-1.45,522721.46,6199017.74,,200.37,208,,-25,
47,SSEO_1,34_45,34,45,8/16/2020,229,12:51:48 PM,46308,522749.45,6199032.26,221.3,-2.46,-0.96,522721.46,6199017.74,,200.37,207,,-23,
48,SSEO_1,34_45,34,45,8/16/2020,229,12:51:49 PM,46309,522748.93,6199031.88,221.1,-0.91,1.57,522715.84,6199018.49,,214.51,205,,-24,
49,SSEO_1,34_45,34,45,8/16/2020,229,12:51:50 PM,46310,522748.52,6199031.32,220.8,-0.26,3.52,522715.84,6199018.49,,214.51,205,,-25,
50,SSEO_1,34_45,34,45,8/16/2020,229,12:51:51 PM,46311,522748.31,6199030.95,221.4,0.15,3.37,522715.84,6199018.49,,214.51,204,,-25,
51,SSEO_1,34_45,34,45,8/16/2020,229,12:51:52 PM,46312,522748.11,6199030.39,221.4,-1.1,2,522715.84,6199018.49,,214.51,204,,-25,
52,SSEO_1,34_45,34,45,8/16/2020,229,12:51:53 PM,46313,522748.11,6199029.84,221.1,-2.2,-0.19,522715.84,6199018.49,,214.51,206,,-24,
53,SSEO_1,34_45,34,45,8/16/2020,229,12:51:54 PM,46314,522748.01,6199029.1,221.4,-1.96,-1.19,522713.84,6199018.05,,235.88,207,,-24,
54,SSEO_1,34_45,34,45,8/16/2020,229,12:51:55 PM,46315,522747.59,6199028.72,222.1,-0.27,1.03,522713.84,6199018.05,,235.88,207,,-25,
55,SSEO_1,34_45,34,45,8/16/2020,229,12:51:56 PM,46316,522746.97,6199028.53,223,-0.14,4.17,522713.84,6199018.05,,235.88,208,,-26,
56,SSEO_1,34_45,34,45,8/16/2020,229,12:51:57 PM,46317,522746.24,6199027.97,222.9,-3.36,5.25,522713.84,6199018.05,,235.88,208,,-25,
57,SSEO_1,34_45,34,45,8/16/2020,229,12:51:58 PM,46318,522745.94,6199027.23,223.7,-2.2,2.71,522713.84,6199018.05,,235.88,207,,-25,
58,SSEO_1,34_45,34,45,8/16/2020,229,12:51:59 PM,46319,522746.04,6199026.49,225.4,1.63,-1.21,522713.84,6199018.05,,235.88,206,,-27,
59,SSEO_1,34_45,34,45,8/16/2020,229,12:52:00 PM,46320,522745.84,6199025.74,225.6,0.71,-2.89,522713.84,6199018.05,,235.88,207,,-25,
60,SSEO_1,34_45,34,45,8/16/2020,229,12:52:01 PM,46321,522745.43,6199025,225.7,-2.45,-1.35,522713.84,6199018.05,,235.88,207,,-23,
61,SSEO_1,34_45,34,45,8/16/2020,229,12:52:02 PM,46322,522745.12,6199024.63,226,-1.43,1.97,522713.84,6199018.05,,235.88,206,,-23,
62,SSEO_1,34_45,34,45,8/16/2020,229,12:52:03 PM,46323,522744.7,6199024.44,226.3,0.61,5.35,522713.84,6199018.05,,235.88,206,,-23,
63,SSEO_1,34_45,34,45,8/16/2020,229,12:52:04 PM,46324,522744.08,6199023.88,226.7,-1.56,5.75,522713.84,6199018.05,,235.88,203,,-24,
64,SSEO_1,34_45,34,45,8/16/2020,229,12:52:05 PM,46325,522743.46,6199022.95,227,-4.13,2.71,522713.84,6199018.05,,235.88,202,,-23,
65,SSEO_1,34_45,34,45,8/16/2020,229,12:52:06 PM,46326,522743.15,6199022.02,226.9,-1.14,-1.66,522713.84,6199018.05,,235.88,203,,-23,
66,SSEO_1,34_45,34,45,8/16/2020,229,12:52:07 PM,46327,522742.95,6199021.28,227.8,3.15,-3.44,522713.84,6199018.05,,235.88,205,,-23,
67,SSEO_1,34_45,34,45,8/16/2020,229,12:52:08 PM,46328,522742.12,6199020.53,228.2,0.42,-0.85,522705.02,6199017.33,,244.76,209,,-18,
