ORDER,DIVE_NO,Event_ID,Seconds,Trans,Tran,Dir,Date,J_day,ALDT,Vessel_x,Vessel_y,Vessel_heading,Vessel_Pitch,Vessel_Roll,x,y,z,Heading,CMG,Alt,Pitch,Roll
1,1,2022_CSEO_Dive_01,33314,20_45,20,45,5/24/2022,144,9:15:14 AM,459221.23,6305185.38,185.2,-3.24,-3.19,459231.81,6305191.52,142,179,214.16,3.84,-28,
2,1,2022_CSEO_Dive_01,33315,20_45,20,45,5/24/2022,144,9:15:15 AM,459221.13,6305185.75,186,-2.86,-0.06,459231.81,6305191.52,142,176,214.16,4.37,-28,
3,1,2022_CSEO_Dive_01,33316,20_45,20,45,5/24/2022,144,9:15:16 AM,459220.32,6305185.76,186.1,-3.59,5.58,459231.81,6305191.52,142,175,214.16,4.66,-27,
4,1,2022_CSEO_Dive_01,33317,20_45,20,45,5/24/2022,144,9:15:17 AM,459220.01,6305185.39,185.8,-3.73,6.56,459231.81,6305191.52,142,173,214.16,4.91,-28,
5,1,2022_CSEO_Dive_01,33318,20_45,20,45,5/24/2022,144,9:15:18 AM,459220.41,6305185.2,185.4,-0.17,1.56,459231.81,6305191.52,142,175,214.16,5.11,-26,
6,1,2022_CSEO_Dive_01,33319,20_45,20,45,5/24/2022,144,9:15:19 AM,459221.12,6305185.01,185.8,1.59,-3.67,459231.45,6305188.3,138.7,175,199.94,5.11,-26,
7,1,2022_CSEO_Dive_01,33320,20_45,20,45,5/24/2022,144,9:15:20 AM,459221.12,6305184.63,185.9,-1.2,-3.51,459231.45,6305188.3,142,186,199.94,4.71,-31,
8,1,2022_CSEO_Dive_01,33321,20_45,20,45,5/24/2022,144,9:15:21 AM,459220.61,6305184.82,185.4,-2.02,1.01,459231.45,6305188.3,142,198,199.94,3.98,-36,
9,1,2022_CSEO_Dive_01,33322,20_45,20,45,5/24/2022,144,9:15:22 AM,459220.21,6305185.01,185.1,-1.11,4.83,459231.01,6305188.16,142,202,206.99,3.27,-41,
10,1,2022_CSEO_Dive_01,33323,20_45,20,45,5/24/2022,144,9:15:23 AM,459220.41,6305185.01,184.8,-2.7,4.22,459231.01,6305188.16,142,202,206.99,2.76,-43,
11,1,2022_CSEO_Dive_01,33324,20_45,20,45,5/24/2022,144,9:15:24 AM,459220.92,6305184.82,184.7,-3.13,1.38,459231.01,6305188.16,142,208,206.99,2.4,-43,
12,1,2022_CSEO_Dive_01,33325,20_45,20,45,5/24/2022,144,9:15:25 AM,459221.12,6305185.01,184.5,-0.24,-0.38,459229.32,6305184.78,142,218,209.09,2.2,-41,
13,1,2022_CSEO_Dive_01,33326,20_45,20,45,5/24/2022,144,9:15:26 AM,459220.92,6305185.19,184.5,0.54,-0.12,459229.32,6305184.78,142,230,209.09,2.11,-41,
14,1,2022_CSEO_Dive_01,33327,20_45,20,45,5/24/2022,144,9:15:27 AM,459220.92,6305185.19,184.7,-2.54,0.26,459229.32,6305184.78,142,248,209.09,2.09,-41,
15,1,2022_CSEO_Dive_01,33328,20_45,20,45,5/24/2022,144,9:15:28 AM,459221.22,6305185,184.9,-4.83,0.07,459226.8,6305184.27,142,268,212.03,2.03,-42,
16,1,2022_CSEO_Dive_01,33329,20_45,20,45,5/24/2022,144,9:15:29 AM,459221.42,6305184.82,185.1,-2.15,1.04,459226.8,6305184.27,143,295,212.03,1.97,-44,
17,1,2022_CSEO_Dive_01,33330,20_45,20,45,5/24/2022,144,9:15:30 AM,459221.02,6305184.82,184.6,1.1,3.8,459226.8,6305184.27,143,295,212.03,1.97,-44,
18,1,2022_CSEO_Dive_01,33331,20_45,20,45,5/24/2022,144,9:15:31 AM,459220.81,6305184.82,184.4,0.2,4.11,459225.1,6305182.9,142,312,221.09,2.37,-39,
19,1,2022_CSEO_Dive_01,33332,20_45,20,45,5/24/2022,144,9:15:32 AM,459221.32,6305184.63,184.9,-2.7,0.54,459225.1,6305182.9,142,321,221.09,2.48,-37,
20,1,2022_CSEO_Dive_01,33333,20_45,20,45,5/24/2022,144,9:15:33 AM,459221.93,6305184.63,185.4,-3.4,-2.93,459225.32,6305185.74,140.1,330,253.07,2.23,-40,
21,1,2022_CSEO_Dive_01,33334,20_45,20,45,5/24/2022,144,9:15:34 AM,459222.14,6305184.81,186,-0.67,-2.57,459225.32,6305185.74,143,337,253.07,2.23,-39,
22,1,2022_CSEO_Dive_01,33335,20_45,20,45,5/24/2022,144,9:15:35 AM,459221.53,6305184.82,186,-0.17,2.34,459225.32,6305185.74,142,339,253.07,2.74,-34,
23,1,2022_CSEO_Dive_01,33336,20_45,20,45,5/24/2022,144,9:15:36 AM,459221.02,6305184.64,185.8,-2.76,6.37,459225.29,6305188.12,139.5,339,237.51,3.24,-32,
24,1,2022_CSEO_Dive_01,33337,20_45,20,45,5/24/2022,144,9:15:37 AM,459221.12,6305184.63,186.1,-1.96,4.93,459225.29,6305188.12,142,339,237.51,3.61,-30,
25,1,2022_CSEO_Dive_01,33338,20_45,20,45,5/24/2022,144,9:15:38 AM,459221.73,6305184.63,186.4,-0.61,-0.28,459225.29,6305188.12,142,341,237.51,3.53,-32,
26,1,2022_CSEO_Dive_01,33339,20_45,20,45,5/24/2022,144,9:15:39 AM,459222.33,6305184.44,186.5,-1.43,-4.15,459225.31,6305191.04,142,341,273.56,3.22,-37,
27,1,2022_CSEO_Dive_01,33340,20_45,20,45,5/24/2022,144,9:15:40 AM,459222.44,6305184.44,186.1,-0.7,-3.05,459225.31,6305191.04,142,340,273.56,3.05,-35,
28,1,2022_CSEO_Dive_01,33341,20_45,20,45,5/24/2022,144,9:15:41 AM,459222.03,6305184.63,186.2,-0.67,2.35,459225.31,6305191.04,142,340,273.56,3.05,-35,
29,1,2022_CSEO_Dive_01,33342,20_45,20,45,5/24/2022,144,9:15:42 AM,459221.63,6305184.63,186.4,-2.04,6.66,459225.16,6305192.45,139.4,334,277.95,2.93,-33,
30,1,2022_CSEO_Dive_01,33343,20_45,20,45,5/24/2022,144,9:15:43 AM,459221.93,6305184.81,186.1,-1.16,5.43,459225.16,6305192.45,143,313,277.95,2.26,-38,
31,1,2022_CSEO_Dive_01,33344,20_45,20,45,5/24/2022,144,9:15:44 AM,459222.64,6305184.99,185.5,-1.01,-0.02,459225.16,6305192.45,143,289,277.95,2,-39,
32,1,2022_CSEO_Dive_01,33345,20_45,20,45,5/24/2022,144,9:15:45 AM,459223.15,6305184.61,186.2,-3.21,-3.67,459225.16,6305192.45,143,264,277.95,2.23,-37,
33,1,2022_CSEO_Dive_01,33346,20_45,20,45,5/24/2022,144,9:15:46 AM,459223.05,6305184.62,186.7,-2.71,-2.22,459225.16,6305192.45,142,237,277.95,2.31,-35,
34,1,2022_CSEO_Dive_01,33347,20_45,20,45,5/24/2022,144,9:15:47 AM,459222.44,6305184.81,185.7,0.16,2.34,459225.16,6305192.45,142,222,277.95,2.71,-30,
35,1,2022_CSEO_Dive_01,33348,20_45,20,45,5/24/2022,144,9:15:48 AM,459222.14,6305184.81,185.1,-0.19,5.22,459225.16,6305192.45,143,202,277.95,2.48,-31,
