Dive_Id,Date,TC (UTC),Start_End,Comments,YE count,,,
2022_CSEO_Dive_01,5/24/2022,17:15:52:23,Start,,,,,
,,17:32:02:24,,SC,,,,
,,17:40:03:14,,RB,,,,
,,17:42:02:21,,"SC, POP",,,,
,,17:58:47:07,End,,,,,
,,,,,,,,
2022_CSEO_Dive_02,5/24/2022,19:18:09:17,Start,,,,,
,,19:19:37:12,,SG,,,,
,,19:27:01:16,,YE,1,,,
,,19:28:53:12,,YE,1,,,
,,19:29:10:03,,YE,1,,,
,,19:42:12:15,,YE,1,,,
,,19:42:58:09,,CN,,,,
,,20:03:50:21,End,,,,,
,,,,,,,,
2022_CSEO_Dive_03,5/24/2022,21:04:22:27,Start,,,,,
,,21:12:14:24,,YE,1,,,
,,21:24:30:22,,YE,1,,,
,,21:32:27:00,,LC,1,,,
,,21:35:18:29,,YE,1,,,
,,21:35:32:25,,YE,1,,,
,,21:41:10:11,,YE,1,,,
,,21:44:39:04,,QB,1,,,
,,21:45:06:12,,YT,,,,
,,21:46:23:05,,LC,1,,,
,,21:47:13:13,,RB,1,,,
,,21:51:11:24,End,,,,,
,,,,,,,,
2022_CSEO_Dive_04,5/24/2022,22:52:23:06,Start,,,,,
,,22:57:13:23,,YE,1,,,
,,22:59:47:18,,YE,1,,,
,,23:36:29:12,End,,,,,
,,,,,,,,
2022_CSEO_Dive_05,5/24/2022,00:35:23:31,Start,,,,,
,,00:36:23:03,,YE,1,,,
,,00:41:52:16,,YE,1,,,
,,00:54:00:19,,YE,1,,,
,,01:12:28:07,,YE,1,,,
,,01:17:01:23,,YE,1,,,
,,01:24:00:13,End,,,,,
,,,,,,,,
2022_CSEO_Dive_06,5/25/2022,16:26:25:16,Start,,,,,
,,16:31:11:05,,CN,,,,
,,16:52:09:14,,QB,,,,
,,16:54:28:26,,YE,1,,,
,,17:10:48:06,End,,,,,
,,,,,,,,
2022_CSEO_Dive_07,5/25/2022,17:55:10:29,Start,,,,,
,,18:05:48:11,,YE,1,,,
,,18:08:10:16,,YE,1,,,
,,18:26:42:11,,YE,1,,,
,,18:28:35:02,,YE,1,,,
,,18:32:46:07,,YE,1,,,
,,18:35:10:04,,YE,1,,,
,,18:36:37:12,End,,,,,
,,,,,,,,
2022_CSEO_Dive_08,5/25/2022,19:30:56:22,Start,,,,,
,,19:35:25:02,,YE,1,,,
,,20:01:39:12,,YE,1,,,
,,20:03:42:04,,YE,1,,,
,,20:18:46:21,,,,,,
,,,,,,,,
2022_CSEO_Dive_09,5/25/2022,21:23:15:00,Start,,,,,
,,21:25:44:16,,CN,,,,
,,21:35:52:17,,CN,,,,
,,21:45:27:06,,YE,1,,,
,,22:09:28:05,,YE,1,,,
,,22:18:25:04,,,,,,
,,22:19:14:30,,,,,,
,,,,,,,,
2022_CSEO_Dive_10,5/25/2022,22:59:14:28,Start,,,,,
,,23:01:19:20,,CN,,,,
,,23:22:18:25,,CN,,,,
,,23:27:42:18,,YE,1,,,
,,23:44:09:29,,CN,,,,
,,23:44:51:06,End,,,,,
,,,,,,,,
2022_CSEO_Dive_11,5/25/2022,00:29:41:16,Start,,,,,
,,00:52:30:26,,YE,1,,,
,,00:54:51:24,,CN,,,,
,,01:00:21:27,,YE,2,,,
,,01:14:45:11,End,,,,,
,,,,,,,,
2022_CSEO_Dive_12,5/26/2022,00:00:00:01,Start,08:26 begin,,,,
,,00:08:49:29,,,,,,
,,00:11:05:04,,YE,1,,,
,,00:13:13:07,,QB,,,,
,,17:13:28:13,End,,,,,
,,,,,,,,
2022_CSEO_Dive_13,5/26/2022,18:33:41:01,Start,,,,,
,,18:46:13:10,,YE,1,,,
,,18:53:13:26,,,,,,
,,19:15:46:06,End,,,,,
,,,,,,,,
2022_CSEO_Dive_14,5/26/2022,20:22:57:05,Start,,,,,
,,20:54:02:18,,Switch from N to NE at midpoint,,,,
,,21:20:37:25,End,,,,,
,,,,,,,,
2022_CSEO_Dive_15,5/26/2022,22:21:20:12,Start,,,,,
,,22:35:24:01,,YE?,1,,,
,,22:58:02:12,,,,,,
,,23:12:39:25,End,,,,,
,,,,,,,,
2022_CSEO_Dive_16,,00:43:25:10,Start,,,,,
,,01:21:22:01,End,,,,,
,,,,,,,,
2022_CSEO_Dive_17,5/27/2022,15:37:45:10,Start,,,,,
,,15:46:41:19,End,"aborted, difficult current",,,,
,,,,,,,,
2022_CSEO_Dive_17b,5/27/2022,16:16:16:26,Start,,,,,
,,16:29:38:11,,YE,,,,
,,17:09:44:04,,LC,,,,
,,17:11:45:08,,YE,,,,
,,17:14:06:12,End,,,,,
,,,,,,,,
2022_CSEO_Dive_18,5/27/2022,,,GPS time code when out,,,,
,,,,,,,,
,,,,,,,,
2022_CSEO_Dive_19,5/28/2022,9:06,Start,Computer time from here on out. ~ 17 sec fast,,,,
,,9:12,snag,,,,,
,,9:15,abort,,,,,
,,,,,,lat,lon,
2022_CSEO_Dive_19b,5/28/2022,9:39,Start,939,,56 42.3648,135 2701016,
,,9:51,,YE,1,,,
,,10:19,End,,,56 42.3653,135 28.0371,
,,,,,,,,
2022_CSEO_Dive_20,5/28/2022,12:38,Start,,,,,
,,12:44,,YE,1,,,
,,12:45,,YE,1,,,
,,12:50,,YE,1,,,
,,12:54:00,,YE,1,,,
,,12:55,,YE,1,,,
,,13:00,,YE,1,,,
,,13:05,,YE,1,,,
,,12:07,,YE,1,,,
,,13:12,,YE,1,,,
,,13:24,,YE,1,,,
,,,,,,,,
2022_CSEO_Dive_21,5/28/2022,14:17,Start,,,,,
,,14:18,,YE,2,,,
,,14:19,,YE,2,,,
,,14:32,,YE,1,,,
,,14:34,,YE,1,,,
,,14:47,,CN,2,,,
,,14:51,,YE,1,,,
,,14:55,,YE,1,,,
,,14:58,,YE,1,,,
,,15:01,,YE,1,,,
,,15:06,End,,,,,
,,,,,,,,
2022_CSEO_Dive_22,5/28/2022,16:01,Start,,,,,
,,16:39,,YE,1,,,
,,16:47,End,,,,,
,,,,,,,,
2022_CSEO_Dive_23,5/29/2022,8:28,Start,,,,,
,,8:53,,YE,1,,,
,,9:03,,YE,2,,,
,,9:03,,YE,1,,,
,,9:04,,YE,2,,,
,,9:08,,YE,1,,,
,,9:10,,YE,2,,,
,,9:12,,YE,1,,,
,,9:13,End,,,,,
,,,,,,,,
2022_CSEO_Dive_24,5/29/2022,10:16,Start,,,,,
,,10:38,,YE,1,,,
,,10:42:00,,YE,1,,,
,,10:43:00,,YE,1,,,
,,10:45,,YE,4,,,
,,10:48:00,,YE,1,,,
,,10:49:00,,YE,1,,,
,,10:50:00,,YE,2,,,
,,10:51:00,,YE,1,,,
,,11:02:00,End,,,,,
,,,,,,,,
2022_CSEO_Dive_25,5/29/2022,11:49:00,Start,,,,,
,,11:51:00,,YE,1,,,
,,12:03:00,,YE,1,,,
,,12:08:00,,YE,1,,,
,,12:20:00,,YE,1,,,
,,12:25:00,,YE,1,,,
,,12:30:00,End,,,,,
,,,,,,,,
2022_CSEO_Dive_26,5/29/2022,13:35:00,Start,,,,,
,,13:36:00,,YE,1,,,
,,13:52:00,,YE,1,,,
,,14:14:00,End,YE,1,,,
,,,,,,,,
2022_CSEO_Dive_27,5/29/2022,15:18:00,Start,,,,,
,,15:26:00,,YE,1,,,
,,15:36:00,,YE,1,,,
,,15:36:00,End,,,,,
,,,,,,lat,,
2022_CSEO_Dive_28,5/29/2022,16:51:00,Start,,,57 20.5806,135 56.6310,
,,17:07:00,,YE,1,,,
,,17:15:00,,YE,1,,,
,,17:22:00,,YE,1,,,
,,17:26:00,,YE,1,,,
,,17:34:00,End,,,,,
,,,,,,,,
2022_CSEO_Dive_29,5/30/2022,8:14:00,Start,,,,,
,,8:39:00,,YE,1,,,
,,8:41:00,,YE,1,,,
,,8:55:00,End,,,,,
,,,,,,,,
2022_CSEO_Dive_30,5/30/2022,9:33:00,Start,,,,,
,,9:39:00,,YE,1,,,
,,10:01:00,,YE,3,,,
,,10:14:00,End,,,,,
,,,,,,,,
2022_CSEO_Dive_31,5/30/2022,11:50:00,Start,,,,,
,,12:00:00,,YE,1,,,
,,12:12:00,,YE,1,,,
,,12:18:00,,YE,1,,,
,,12:19:00,,YE,1,,,
,,12:28:00,,YE,1,,,
,,12:31:00,,YE,1,,,
,,12:32:00,,YE,1,,,
,,12:34:00,End,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0:00:00,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
