Order,Event_ID,Trans,Tran,Dir,Date,J_day,ALDT,Sec,Vessel_x,Vessel_y,Vessel_heading,Vessel_Pitch,Vessel_Roll,x,y,z,Heading,CMG,Alt,Pitch,Roll
1,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:38 PM,56618,434675.37,6375351.43,24.1,0.44,-0.7,434688.09,6375329.48,90,97,85.93,1.38,-29,
2,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:39 PM,56619,434675.57,6375351.43,24.8,2.87,3.83,434688.09,6375329.48,90,97,85.93,1.38,-28,
3,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:40 PM,56620,434675.77,6375351.61,25.9,2.14,6.45,434689.22,6375329.82,90,97,154.43,1.41,-30,
4,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:41 PM,56621,434675.57,6375351.8,27,1.49,5.25,434689.22,6375329.82,90,97,154.43,1.41,-30,
5,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:42 PM,56622,434674.98,6375351.99,28.1,1.97,0.59,434689.22,6375329.82,90,96,154.43,1.66,-28,
6,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:43 PM,56623,434674.28,6375352.37,29.6,1.26,-2.78,434689.22,6375329.82,90,97,154.43,1.86,-27,
7,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:44 PM,56624,434673.99,6375352.56,30.8,-0.66,-2.26,434689.22,6375329.82,90,97,154.43,2.23,-27,
8,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:45 PM,56625,434674.19,6375352.75,31.1,-1.33,2.35,434689.22,6375329.82,90,98,154.43,2.59,-28,
9,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:46 PM,56626,434674.19,6375352.75,32,1.12,5.92,434689.22,6375329.82,90,99,154.43,2.62,-28,
10,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:47 PM,56627,434673.9,6375353.12,33.6,3.52,5.57,434690.56,6375330.24,88,101,68.04,2.51,-31,
11,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:48 PM,56628,434673.5,6375353.5,34.8,3.36,3.17,434690.56,6375330.24,90,107,68.04,2.37,-31,
12,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:49 PM,56629,434673.21,6375353.69,35.7,1.84,0.86,434690.56,6375330.24,90,110,68.04,2.34,-30,
13,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:50 PM,56630,434673.01,6375353.69,36.6,-0.47,-0.59,434690.56,6375330.24,90,111,68.04,2.54,-29,
14,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:51 PM,56631,434672.81,6375354.07,38.8,-2.09,-0.71,434690.56,6375330.24,90,108,68.04,2.45,-30,
15,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:52 PM,56632,434672.62,6375354.44,41,-0.18,0.06,434690.56,6375330.24,90,108,68.04,2.45,-30,
16,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:53 PM,56633,434672.33,6375354.82,42.4,3.09,1.8,434690.56,6375330.24,90,107,68.04,2.31,-32,
17,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:54 PM,56634,434672.43,6375355.19,43.9,2.01,4.18,434692.92,6375327.05,86.9,108,123.18,2.42,-33,
18,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:55 PM,56635,434672.54,6375355.56,45,0.26,5.61,434692.92,6375327.05,90,109,123.18,2.37,-32,
19,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:56 PM,56636,434672.24,6375355.93,46.9,2.34,4.07,434692.92,6375327.05,90,104,123.18,2.4,-31,
20,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:57 PM,56637,434671.95,6375356.31,49.4,3.5,1.2,434692.92,6375327.05,90,99,123.18,2.37,-31,
21,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:58 PM,56638,434671.76,6375357.05,51.6,1.42,-0.73,434692.92,6375327.05,90,100,123.18,2.34,-30,
22,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:43:59 PM,56639,434671.57,6375357.24,53.3,0.92,0.09,434692.92,6375327.05,90,101,123.18,2.45,-29,
23,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:00 PM,56640,434671.57,6375357.43,55.9,0.97,2.26,434692.92,6375327.05,90,103,123.18,2.68,-27,
24,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:01 PM,56641,434671.68,6375357.98,58.6,-0.83,3.51,434692.92,6375327.05,89,102,123.18,2.9,-26,
25,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:02 PM,56642,434671.69,6375358.73,61.1,-0.4,2.72,434692.92,6375327.05,90,101,123.18,2.85,-26,
26,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:03 PM,56643,434671.6,6375359.65,64,2.2,1.12,434699.58,6375323.76,86.7,101,116.37,2.85,-26,
27,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:04 PM,56644,434671.72,6375360.58,65.9,3.15,1.06,434699.58,6375323.76,90,99,116.37,2.54,-26,
28,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:05 PM,56645,434671.93,6375361.13,67.6,2.37,2.44,434699.58,6375323.76,90,96,116.37,2.17,-27,
29,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:06 PM,56646,434672.03,6375361.32,69.1,1.65,4.32,434701.1,6375322.27,86,91,118.34,2.09,-25,
30,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:07 PM,56647,434672.13,6375361.5,70.8,1.97,5.08,434701.1,6375322.27,89,72,118.34,2.06,-26,
31,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:08 PM,56648,434672.14,6375361.69,72.6,1.79,4,434701.1,6375322.27,89,44,118.34,1.89,-29,
32,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:09 PM,56649,434672.24,6375362.24,74.7,0.25,0.72,434704.97,6375318.97,89,8,121.16,1.72,-34,
33,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:10 PM,56650,434672.36,6375362.98,77.6,-0.53,-2.69,434704.97,6375318.97,89,330,121.16,1.63,-38,
34,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:11 PM,56651,434672.77,6375363.72,80.2,-0.1,-2.73,434704.97,6375318.97,90,328,121.16,1.41,-40,
35,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:12 PM,56652,434673.28,6375364.27,82.3,1.24,1.44,434704.97,6375318.97,89,320,121.16,1.38,-40,
36,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:13 PM,56653,434673.68,6375364.45,83.4,3.11,6.06,434704.21,6375322.94,89,328,113.86,1.38,-37,
37,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:14 PM,56654,434673.99,6375365,84.8,3.67,7.25,434704.21,6375322.94,89,328,113.86,1.38,-37,
38,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:15 PM,56655,434674.1,6375365.55,86,2.16,4.82,434704.21,6375322.94,89,315,113.86,1.72,-34,
39,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:16 PM,56656,434674.2,6375366.11,87.6,0.24,0.96,434705.8,6375320.88,83.5,330,118.46,2,-29,
40,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:17 PM,56657,434674.31,6375366.48,90.3,-1.15,-1.72,434705.8,6375320.88,90,336,118.46,2.09,-25,
41,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:18 PM,56658,434674.52,6375366.85,92.1,-0.88,-0.82,434705.8,6375320.88,90,337,118.46,2.42,-22,
42,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:19 PM,56659,434674.61,6375366.66,93,2.4,2.58,434703.74,6375324.04,90,337,109.16,2.31,-21,
43,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:20 PM,56660,434674.81,6375366.66,93.7,3.37,4.8,434703.74,6375324.04,90,337,109.16,2.2,-23,
44,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:21 PM,56661,434675.22,6375367.02,93.7,0.42,3.99,434704.51,6375323.85,85.2,337,111.29,2,-24,
45,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:22 PM,56662,434675.53,6375367.76,94.2,-0.44,0.86,434704.51,6375323.85,90,337,111.29,1.97,-26,
46,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:23 PM,56663,434675.74,6375368.31,95.1,0.9,-1.19,434704.51,6375323.85,90,337,111.29,1.77,-27,
47,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:24 PM,56664,434675.94,6375368.31,94.8,1.85,0.38,434703.51,6375326.18,90,336,107.38,1.63,-28,
48,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:25 PM,56665,434675.93,6375368.12,93.8,1.79,3.82,434703.51,6375326.18,90,336,107.38,1.63,-28,
49,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:26 PM,56666,434676.13,6375367.93,92.3,-0.69,6.45,434703.51,6375326.18,90,333,107.38,1.61,-27,
50,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:27 PM,56667,434676.43,6375367.74,91.3,-2.39,5.82,434703.51,6375326.18,90,331,107.38,1.75,-27,
51,2022_NSEO_Dive_01,5_0,5,0,6/1/2022,152,3:44:28 PM,56668,434676.63,6375367.93,90.7,-0.71,2.12,434703.51,6375326.18,90,331,107.38,1.75,-26,
