Order,Event_ID,Trans,Tran,Dir,Date,J_day,ALDT,Sec,Vessel_x,Vessel_y,Vessel_heading,Vessel_Pitch,Vessel_Roll,x,y,z
1,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:21 AM,27321,634749.86,6489135.16,282.1,-0.19,6.09,634756.72,6489102.00,83.4
2,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:22 AM,27322,634750.06,6489134.8,282.4,-0.48,3.95,634756.72,6489102.00,83.4
3,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:23 AM,27323,634749.98,6489134.42,282,-2.92,-0.49,634756.72,6489102.00,83.4
4,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:24 AM,27324,634749.89,6489134.05,281.6,-3.24,-2.61,634754.34,6489101.92,84.1
5,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:25 AM,27325,634750,6489133.87,281.1,-0.43,-1.45,634754.34,6489101.92,84.1
6,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:26 AM,27326,634749.99,6489134.05,281.1,0.32,1.72,634754.34,6489101.92,84.1
7,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:27 AM,27327,634749.7,6489134.04,281.7,-2.61,4.91,634752.15,6489103.64,84.2
8,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:28 AM,27328,634749.31,6489134.03,281.2,-3.54,4.88,634752.15,6489103.64,84.2
9,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:29 AM,27329,634749.24,6489133.28,280.5,0.36,1.2,634752.15,6489103.64,84.2
10,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:30 AM,27330,634749.27,6489132.54,280.7,3.27,-2.57,634752.15,6489103.64,84.2
11,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:31 AM,27331,634749.37,6489132.36,281.6,0.1,-1.38,634752.15,6489103.64,84.2
12,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:32 AM,27332,634749.64,6489132.93,281,-4.78,3.96,634750.80,6489104.50,84.3
13,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:33 AM,27333,634749.92,6489133.31,279.4,-5.26,6.35,634750.80,6489104.50,84.3
14,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:34 AM,27334,634750.03,6489132.94,278.5,-2.81,3.06,634750.80,6489104.50,84.3
15,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:35 AM,27335,634749.66,6489132.37,277.7,-2.96,-1.85,634748.91,6489105.34,84
16,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:36 AM,27336,634749.1,6489131.79,277.2,-2.95,-4.1,634748.91,6489105.34,84
17,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:37 AM,27337,634748.81,6489131.78,276.8,0.18,-2.16,634748.91,6489105.34,84
18,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:38 AM,27338,634748.8,6489131.97,276.2,1.68,2.48,634749.12,6489105.91,83
19,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:39 AM,27339,634748.79,6489132.16,276,-0.9,6.11,634749.12,6489105.91,83
20,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:40 AM,27340,634748.99,6489131.98,275.9,-3.32,5.8,634749.12,6489105.91,83
21,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:41 AM,27341,634749.39,6489131.8,275.6,-2.68,2.1,634748.86,6489107.72,85
22,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:42 AM,27342,634749.7,6489131.26,274.9,-3.02,-2.39,634748.86,6489107.72,85
23,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:43 AM,27343,634749.52,6489130.88,273.9,-5.29,-4.66,634748.86,6489107.72,85
24,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:44 AM,27344,634749.43,6489130.69,273.5,-3.91,-2.69,634749.95,6489108.78,83.4
25,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:45 AM,27345,634749.62,6489130.88,272.7,0.65,2.89,634749.95,6489108.78,83.4
26,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:46 AM,27346,634749.8,6489131.26,271.5,0.96,6.64,634749.95,6489108.78,83.4
27,2023_EYKT_Dive_01,2_0,2,0,8/18/2023,230,7:35:47 AM,27347,634749.61,6489131.07,271.4,-3.72,5.25,634748.62,6489111.76,84.2
