Dive_Id,Date,TC (AKDT),Start_End,Comments,YE count
2023_EYKT_Dive_01,8/18/2023,7:35:32 AM,Start,"halibut, no RF",
,,8:13:25 AM,End,,
2023_EYKT_Dive_02,8/18/2023,8:40:30 AM,Start,,
,,9:20:25 AM,End,,
2023_EYKT_Dive_03,8/18/2023,10:43:13 AM,Start,,
,,11:05:59 AM,,Lingcod,
,,11:11:41 AM,,Lingcod,
,,11:24:37 AM,End,,
2023_EYKT_Dive_04,8/18/2023,12:08:30 PM,Start,,
,,12:12:10 PM,,YE,2
,,12:13:55 PM,,YE,2
,,12:25:27 PM,,YE,1
,,12:32:33 PM,,YE,1
,,12:51:17 PM,End,,
2023_EYKT_Dive_05,8/18/2023,1:32:16 PM,Start,,
,,1:32:33 PM,,YE,4
,,1:34:52 PM,,YE,1
,,1:36:40 PM,,YE,1
,,1:39:19 PM,,YE,2
,,1:45:22 PM,,YE,1
,,1:46:02 PM,,YE,2
,,1:46:53 PM,,YE,1
,,1:50:33 PM,,YE,2
,,1:51:56 PM,,YE,1
,,2:03:32 PM,,YE,1
,,2:07:28 PM,,YE,1
,,2:08:23 PM,,YE,1
,,2:08:56 PM,,YE,2
,,2:16:34 PM,,YE,2
,,2:19:18 PM,End,,
2023_EYKT_Dive_06,8/18/2023,3:12:40 PM,Start,,
,,3:14:17 PM,,YE,1
,,3:22:24 PM,,YE,1
,,3:27:31 PM,,YE,1
,,3:34:44 PM,,YE,1
,,3:35:03 PM,,YE,1
,,3:36:34 PM,,YE,1
,,3:36:46 PM,,YE,1
,,3:37:10 PM,,YE,1
,,3:39:36 PM,,YE,1
,,3:51:09 PM,End,,
2023_EYKT_Dive_07,8/18/2023,4:29:51 PM,Start,,
,,4:35:29 PM,,YE,1
,,4:50:22 PM,,YE,1
,,4:51:00 PM,,YE,1
,,4:53:16 PM,,YE,1
,,5:01:34 PM,,YE,1
,,5:07:34 PM,End,,
2023_EYKT_Dive_08,8/18/2023,6:07:36 PM,Start,,
,,6:08:26 PM,,YE,4
,,6:18:28 PM,,YE,2
,,6:25:02 PM,,YE,1
,,6:51:01 PM,End,,
2023_EYKT_Dive_9,8/19/2023,7:04:58 AM,Start,,
,,7:14:24 AM,,YE,1
,,7:27:20 AM,,YE,1
,,7:43:11 AM,End,,
2023_EYKT_Dive_10,8/19/2023,8:25:32 AM,Start,Lots of lingcod on transect,
,,8:25:59 AM,,YE,1
