FILENAME,FRAME,TIME_MINS,PERIOD,PERIOD_TIME_MINS,LENGTH_MM,PRECISION,RMS_1_MM,RMS_2_MM,RANGE_MM,DIRECTION_DEG,HORZ_DIR_DEG,VERT_DIR_DEG,MID_X_MM,MID_Y_MM,MID_Z_MM,OPCODE,TAPE_READER,DEPTH_NOT_USED,TRIP_COMMENT,YEAR,DIVE_NO,TRANSECT_NO,USER_DEF_4,USER_DEF_5,USER_DEF_6,USER_DEF_7,USER_DEF_8,FAMILY,GENUS,SPECIES,CODE,SPECIMEN_NUMBER,STAGE,ACTIVITY,CHECK_ID,SPECIES_COMMENT,USER_DEF_ATTR
2012_6736_1_SL.avi,   1656,17.3707,,,,11,0.474,,2286.528,20.089,,,767.016,122.278,-2150.569,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,,,,12,,,,possibly greenstriped-hard to see,
2012_6736_1_SL.avi,   7613,20.6834,,,,53,3.003,,5293.941,18.963,,,-903.464,1355.15,-5037.175,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,rosethorn,150,150,13,,,,,
2012_6736_1_SL.avi,   8915,21.4075,,,,25,5.501,,3820.135,9.1,,,-138.141,-669.799,-3758.419,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,quillback,147,147,14,,,,,
2012_6736_1_SL.avi,  10327,22.1927,,,,39,7.147,,4790.037,11.856,,,-520.766,733.3,-4704.841,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,yelloweye,145,145,15,AD,Fish milling,,,
2012_6736_1_SL.avi,  10373,22.2183,,,393.131,59,3.512,9.92,4103.408,8.636,36.931,7.372,-435.726,347.6,-4065.375,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,yelloweye,145,145,15,AD,Fish milling,,,
2012_6736_1_SL.avi,  15554,25.0995,,,,43,1.158,,5115.169,9.087,,,-526.277,503.293,-5063.07,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,rosethorn,150,150,16,,,,,
2012_6736_1_SL.avi,  15757,25.2124,,,,22,3.547,,3248.134,20.869,,,1081.441,-477.158,-3025.422,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,rosethorn,150,150,17,,,,,
2012_6736_1_SL.avi,  16009,25.3525,,,510.539,32,2.901,4.442,4301.036,11.066,15.419,27.76,-787.437,156.264,-4225.451,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,yelloweye,145,145,18,AD,Fish resting on bottom,,,
2012_6736_1_SL.avi,  15925,25.3058,,,,56,2.385,,5644.151,15.077,,,-767.975,1132.875,-5475.696,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,yelloweye,145,145,18,AD,Fish resting on bottom,,,
2012_6736_1_SL.avi,  18391,26.6772,,,,32,2.147,,4497.839,5.822,,,-335.667,211.992,-4480.284,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,rosethorn,150,150,19,,,,,
2012_6736_1_SL.avi,  18596,26.7912,,,,43,4.691,,5055.254,11.752,,,477.215,804.897,-4967.897,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,tiger,148,148,20,,,,,
2012_6736_1_SL.avi,  18759,26.8818,,,,24,2.293,,3838.731,8.192,,,303.488,372.608,-3808.531,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,rosethorn,150,150,21,,,,,
2012_6736_1_SL.avi,  18888,26.9535,,,510.493,10,5.836,0.512,1944.528,14.216,21.213,7.696,-454.531,-187.263,-1881.362,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,yelloweye,145,145,22,AD,Fish milling,,,
2012_6736_1_SL.avi,  18849,26.9319,,,,10,2.941,,2033.559,25.352,,,-868.824,17.442,-1838.533,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,yelloweye,145,145,22,AD,Fish milling,,,
2012_6736_1_SL.avi,  22663,29.0529,,,,25,7.3,,3833.911,10.108,,,376.146,475.985,-3785.608,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,rosethorn,150,150,23,,,,,
2012_6736_1_SL.avi,  31097,33.7431,,,,23,0.652,,3502.165,16.117,,,-556.684,723.93,-3381.004,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,rosethorn,150,150,24,,,,,
