3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated: Thursday, December 12, 2013 08:19:07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS 1 (mm),RMS 2 (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time
2013_13_1_SL.avi,790,0.4393,,,,12.806,6.4,,2758.609,7.965,,,-325.54,169.898,-2734.059,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yelloweye,145,145,30,SU,resting on bottom,,,16:00:40
2013_13_1_SL.avi,814,0.4527,,,407.079,8.807,2.014,2.627,2407.483,3.195,13.346,6.837,-1.806,-160.936,-2402.097,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yelloweye,145,145,30,SU,,,good length specimen ,16:00:40
2013_13_1_SL.avi,820,0.456,,,,11.54,2.632,,2606.227,6.717,,,-174.185,-278.986,-2585.39,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,rosethorn,150,150,3,,,,,16:00:41
2013_13_1_SL.avi,12846,7.1438,,,,55.384,7.785,,5848.032,10.677,,,-371.716,953.563,-5757.78,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yellowtail,155,155,6,,,,,16:07:22
2013_13_1_SL.avi,13356,7.4274,,,,81.48,1.487,,6139.177,24.776,,,-2350.848,-1107.307,-5562.093,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,tiger,148,148,11,,,,,16:07:39
2013_13_1_SL.avi,13438,7.473,,,,11.59,6.15,,2510.802,13.632,,,-574.149,116.128,-2441.515,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yellowtail,155,155,7,,,,,16:07:42
2013_13_1_SL.avi,13549,7.5347,,,,29.901,20.608,,4002.589,19.011,,,443.791,-1268.087,-3770.374,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,tiger,148,148,13,,,,hard to get a good RMS,16:07:45
2013_13_1_SL.avi,13867,7.7116,,,,37.471,0.832,,4776.196,9.44,,,-782.717,-19.963,-4711.582,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,coral,red tree coral,10001,10001,31,,,,,
2013_13_1_SL.avi,14204,7.899,,,,37.881,1.947,,4754.146,10.688,,,-772.943,372.063,-4676.113,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,canary,146,146,10,,,,,16:08:07
2013_13_1_SL.avi,24367,13.5507,,,,28.912,6.888,,3722.161,22.388,,,-1367.168,-413.442,-3437.208,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,rosethorn,150,150,14,,,,,16:13:46
2013_13_1_SL.avi,25739,14.3137,,,,24.935,4.159,,3520.253,20.072,,,-887.189,-856.868,-3297.098,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,cod,Pacific cod,110,110,15,,,,,16:14:32
2013_13_1_SL.avi,30826,17.1426,,,,18.895,7.691,,3086.53,18.121,,,-824.897,-523.694,-2927.791,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,rosethorn,150,150,16,,,,,16:17:22
2013_13_1_SL.avi,33113,18.4145,,,,19.335,2.564,,3495.462,3.669,,,-97.538,-240.163,-3485.837,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,rosethorn,150,150,17,,,,,16:18:38
2013_13_1_SL.avi,35745,19.8782,,,,15.704,6.124,,3169.705,1.73,,,65.583,34.371,-3168.84,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,cod,Pacific cod,110,110,18,,,,,16:20:06
2013_13_1_SL.avi,62525,34.7708,,,,15.123,11.687,,3033.844,6.889,,,278.775,200.318,-3014.36,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,coral,red tree coral,10001,10001,20,,,,,16:34:59
2013_13_1_SL.avi,62629,34.8286,,,,11.353,1.974,,2256.105,26.002,,,746.911,-670.961,-2020.383,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,rosethorn,150,150,21,,,,,16:35:03
2013_13_1_SL.avi,63458,35.2896,,,,34.486,9.803,,4459.908,18.218,,,-136.706,1340.312,-4251.547,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yelloweye,145,145,22,AD,fish moving quickly into frame,,,16:35:31
2013_13_1_SL.avi,63466,35.2941,,,677.682,26.793,4.833,4.914,4267.93,16.734,3.192,65.446,-109.469,1178.306,-4100.589,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yelloweye,145,145,22,AD,,,,16:35:31
2013_13_1_SL.avi,68306,37.9856,,,,41.214,8.599,,4638.844,19.454,,,-1544.73,-20.55,-4374.044,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yelloweye,145,145,24,AD,actively swimming within frame,,whole body not visible; no length. ,16:38:12
2013_13_1_SL.avi,69014,38.3794,,,,47.189,5.856,,5005.599,19.727,,,-904.69,1374.394,-4727.43,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yelloweye,145,145,26,AD,resting on bottom,no length; bad angle. ,,16:38:36
2013_13_1_SL.avi,70167,39.0206,,,,51.185,3.161,,5368.394,14.034,,,1179.154,493.627,-5213.98,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yelloweye,145,145,27,AD,resting on bottom,,poor orientation; no length. ,16:39:14
2013_13_1_SL.avi,70632,39.2792,,,,52.101,6.687,,5344.609,18.654,,,702.379,1501.982,-5080.902,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yelloweye,145,145,32,AD,actively swimming within frame,,poor orientation; no length ,16:39:30
2013_13_1_SL.avi,89266,49.6417,,,,49.759,7.402,,5400.02,11.148,,,-1014.367,-306.174,-5295.048,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yelloweye,145,145,33,AD,actively swimming within frame,,,16:49:52
2013_13_1_SL.avi,89306,49.664,,,536.271,51.065,5.811,0.421,4725.592,18.99,18.198,27.064,-1432.715,-608.214,-4461.908,1,Kristen Green,0,"old cameras, pause and restart, enter Horita time",2013,13,1,,,,,,rockfish,yelloweye,145,145,33,AD,actively swimming within frame,,,16:49:53
