3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated: Wednesday, December 11, 2013 15:26:55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS 1 (mm),RMS 2 (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time
2013_14_1_SL.avi,14469,47:47.8,,,,19.375,3.379,,2990.522,25.508,,,1287.751,-45.452,-2698.677,1,Kristen Green,0,old cameras,2013,14,1,,,,,,rockfish,quillback,147,147,3,,,,,
2013_14_1_SL.avi,15018,48:06.1,,,,17.426,0.774,,2801.978,25.178,,,1004.184,-670.553,-2528.449,1,Kristen Green,0,old cameras,2013,14,1,,,,,,rockfish,quillback,147,147,4,,,,,
2013_14_1_SL.avi,15935,48:36.7,,,,5.435,1.64,,1578.859,22.261,,,399.365,-461.494,-1456.134,1,Kristen Green,0,old cameras,2013,14,1,,,,,,ratfish,ratfish,714,714,5,,,,,
2013_14_1_SL.avi,23397,52:45.7,,,,10.558,2.948,,2185.982,27.727,,,-738.442,677.749,-1942.646,1,Kristen Green,0,old cameras,2013,14,1,,,,,,rockfish,quillback,147,147,6,,,,,
2013_14_1_SL.avi,29001,55:52.7,,,,4.468,12.394,,1450.045,18.348,,,296.547,-362.331,-1372.372,1,Kristen Green,0,old cameras,2013,14,1,,,,,,cod,Pacific cod,110,110,7,,,,,
2013_14_1_SL.avi,34574,58:58.7,,,,8.255,2.632,,1957.863,21.691,,,-631.134,-374.253,-1815.167,1,Kristen Green,0,old cameras,2013,14,1,,,,,,flatfish,Dover sole,124,124,8,,,,,
2013_14_1_SL.avi,39577,01:45.6,,,,5.646,1.224,,1681.447,15.851,,,224.101,-418.897,-1612.938,1,Kristen Green,0,old cameras,2013,14,1,,,,,,ratfish,ratfish,714,714,9,,,,,
2013_14_1_SL.avi,48769,06:52.3,,,,74.763,6.662,,6181.624,19.891,,,1991.247,612.155,-5820.024,1,Kristen Green,0,old cameras,2013,14,1,,,,,,rockfish,yelloweye,145,145,10,AD,resting on bottom,,,
2013_14_1_SL.avi,48845,06:54.8,,,462.435,59.886,7.232,3.745,4754.549,22.934,12.188,16.485,1851.732,11.672,-4379.12,1,Kristen Green,0,old cameras,2013,14,1,,,,,,rockfish,yelloweye,145,145,10,AD,,,,
2013_14_1_SL.avi,49136,07:04.5,,,,10.758,1.626,,2346.421,15.682,,,534.108,-367.191,-2255.126,1,Kristen Green,0,old cameras,2013,14,1,,,,,,rockfish,greenstripe,135,135,11,,,,,
