3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated: Thursday, December 12, 2013 13:30:08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS 1 (mm),RMS 2 (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time
2013_41_1_SL.avi,2015,37:30.4,,,,51.221,3.821,,5451.517,12.499,,,815.54,793.222,-5331.485,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,yelloweye,145,145,1,SU,resting on bottom,,,
2013_41_1_SL.avi,2158,37:35.2,,,493.052,12.572,3.885,4.534,3114.242,6.153,11.678,19.882,130.766,-341.593,-3092.688,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,yelloweye,145,145,1,SU,,,,
2013_41_1_SL.avi,7549,40:35.1,,,,9.037,0.009,,2128.997,17.393,,,417.657,-502.817,-2026.17,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,greenstripe,135,135,2,,,,,
2013_41_1_SL.avi,13154,43:42.1,,,,41.809,6.363,,5232.663,6.114,,,-179.852,469.481,-5208.455,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,tiger,148,148,3,,,,,
2013_41_1_SL.avi,13360,43:49.0,,,,37.51,2.109,,4460.404,16.105,,,847.753,-948.916,-4275.053,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,tiger,148,148,4,,,,,
2013_41_1_SL.avi,27664,51:46.2,,,,7.816,3.901,,2075.397,10.114,,,-135.374,-361.148,-2039.244,1,Kristen Green,0,old cameras,2013,41,1,,,,,,halibut,halibut,200,200,5,,,,,
2013_41_1_SL.avi,27665,51:46.3,,,334.726,14.626,2.649,6.032,2151.482,8.143,33.688,12.92,-8.138,-328.348,-2126.263,1,Kristen Green,0,old cameras,2013,41,1,,,,,,halibut,halibut,200,200,5,,,,,
2013_41_1_SL.avi,35356,56:02.9,,,,17.555,5.568,,2892.489,23.612,,,-1136.193,197.052,-2652.683,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,quillback,147,147,7,,,,,
2013_41_1_SL.avi,40260,58:46.5,,,,56.866,2.094,,5392.908,19.511,,,1665.276,629.702,-5090.559,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,tiger,148,148,8,,,,,
2013_41_1_SL.avi,42091,59:47.6,,,,41.079,1.399,,5278.146,2.973,,,68.338,206.278,-5273.671,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,yelloweye,145,145,9,AD,resting on bottom,,,
2013_41_1_SL.avi,42198,59:51.2,,,513.764,15.302,8.223,9.212,3749.558,7.969,6.366,14.917,-482.317,-235.193,-3710.962,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,yelloweye,145,145,9,AD,,,,
2013_41_1_SL.avi,47976,03:04.0,,,,13.224,1.117,,2612.208,20.07,,,323.573,-863.299,-2444.104,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,yelloweye,145,145,10,JV,resting on bottom,,"can't see whole body, no length. ",
2013_41_1_SL.avi,48516,03:22.0,,,,14.099,4.496,,2877.654,8.107,,,163.279,-403.244,-2844.578,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,yelloweye,145,145,11,AD,milling/hovering,,"can't see whole body, no length. ",
2013_41_1_SL.avi,48599,03:24.8,,,,26.875,1.81,,3649.551,21.702,,,-838.737,-1095.003,-3378.862,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,yelloweye,145,145,12,SU,resting on bottom,,"can't see whole body, no length. ",
2013_41_1_SL.avi,48691,03:27.8,,,,19.543,2.435,,3405.063,9.198,,,543.014,-0.006,-3361.486,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,yellowtail,155,155,13,,,,,
2013_41_1_SL.avi,51920,05:15.6,,,,10.821,0.524,,2523.423,6.658,,,-7.427,-320.419,-2502.986,1,Kristen Green,0,old cameras,2013,41,1,,,,,,rockfish,quillback,147,147,14,,,,,
2013_41_1_SL.avi,68750,14:37.1,,,,13.597,0.337,,2621.815,18.227,,,528.298,-654.918,-2483.122,1,Kristen Green,0,old cameras,2013,41,1,,,,,,skate,skate,700,700,15,,,,,
