3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated: Friday, December 13, 2013 15:19:14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS 1 (mm),RMS 2 (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time
2013_45_1_SL.avi,2473,41:00.7,,,353.461,19.206,2.345,5.844,1907.089,17.264,69.047,6.151,352.858,-462.779,-1816.127,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,1,,,,,
2013_45_1_SL.avi,2477,41:00.8,,,,6.365,3.09,,1730.291,21.153,,,404.652,-493.471,-1608.307,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,1,,,,,
2013_45_1_SL.avi,8914,44:35.6,,,,9.979,2.849,,2183.1,19.973,,,678.446,-332.326,-2048.218,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,2,,,,no length poor orientation ,
2013_45_1_SL.avi,11601,46:05.3,,,,15.823,4,,2694.574,24.967,,,975.426,557.666,-2449.139,1,Kristen Green,0,old cameras,2013,45,1,,,,,,rockfish,yelloweye,145,145,3,SU,,,no length; not all body visible,
2013_45_1_SL.avi,18666,50:01.0,,,,10.669,4.88,,2243.655,21.628,,,-796.548,-245.464,-2083.086,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,4,,,,,
2013_45_1_SL.avi,18684,50:01.6,,,242.424,23.33,5.508,5.785,2164.375,23.008,61.543,17.45,-790.761,-322.777,-1988.726,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,4,,,,poor horiz direction ,
2013_45_1_SL.avi,40321,02:03.5,,,,8.759,5.166,,2259.348,5.457,,,-175.629,-148.831,-2247.589,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,5,,,,,
2013_45_1_SL.avi,40347,02:04.4,,,348.299,16.768,0.549,0.665,1785.834,11.001,76.412,22.351,-171.226,-314.16,-1749.625,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,5,,,,,
2013_45_1_SL.avi,43047,03:34.5,,,,7.233,2.01,,1931.799,13.659,,,429.721,-174.014,-1875.341,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,6,,,,,
2013_45_1_SL.avi,43059,03:34.9,,,431.739,7.438,1.72,5.678,1656.226,12.316,24.145,6.393,220.812,-293.793,-1614.934,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,6,,,,,
2013_45_1_SL.avi,48191,06:26.1,,,,42.116,4.27,,4931.815,12.615,,,1012.998,312.27,-4816.547,1,Kristen Green,0,old cameras,2013,45,1,,,,,,rockfish,yelloweye,145,145,7,SU,milling/hovering,,,
2013_45_1_SL.avi,48326,06:30.6,,,417.779,23.212,1.811,1.665,2992.192,17.202,22.913,22.211,855.088,-259.582,-2855.636,1,Kristen Green,0,old cameras,2013,45,1,,,,,,rockfish,yelloweye,145,145,7,SU,,,,
2013_45_1_SL.avi,53363,09:18.7,,,,8.286,0.263,,2181.163,6.281,,,101.211,-240.24,-2165.528,1,Kristen Green,0,old cameras,2013,45,1,,,,,,ratfish,ratfish,714,714,8,,,,,
2013_45_1_SL.avi,54574,09:59.1,,,,10.058,4.158,,2416.619,7.004,,,-269.196,-146.654,-2397.097,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,9,,,,,
2013_45_1_SL.avi,54597,09:59.9,,,410.531,18.627,5.212,6.739,2035.061,9.484,55.21,20.711,-151.519,-321.475,-2003.789,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,9,,,,,
2013_45_1_SL.avi,65298,15:56.9,,,,6.574,1.072,,1782.979,19.334,,,356.506,-489.2,-1677.081,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,10,,,,,
2013_45_1_SL.avi,65299,15:57.0,,,322.099,9.033,8.364,1.737,1831.858,15.852,26.857,12.834,225.223,-466.451,-1757.1,1,Kristen Green,0,old cameras,2013,45,1,,,,,,halibut,halibut,200,200,10,,,,,
