3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated: Monday, December 16, 2013 14:24:24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS 1 (mm),RMS 2 (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time
2013_47_1_SL.avi,209,21:07.2,,,612.283,22.226,5.862,7.818,3471.695,12.569,13.2,1.101,-697.374,252.841,-3391.52,1,Kristen Green,0,old cameras,2013,47,1,,,,,,rockfish,yelloweye,145,145,3,AD,,,,
2013_47_1_SL.avi,239,21:08.2,,,,15.306,1.629,,3047.841,7.213,,,-341.64,138.674,-3025.456,1,Kristen Green,0,old cameras,2013,47,1,,,,,,rockfish,yelloweye,145,145,3,AD,milling/hovering,,"right at SOT, confirm included ",
2013_47_1_SL.avi,4190,23:20.1,,,,10.453,5.814,,2432.071,10.598,,,-51.07,-470.986,-2385.483,1,Kristen Green,0,old cameras,2013,47,1,,,,,,halibut,halibut,200,200,2,,,,,
2013_47_1_SL.avi,4206,23:20.6,,,549.229,12.624,1.056,5.076,2390.291,12.035,21.059,7.685,137.812,-504.997,-2332.269,1,Kristen Green,0,old cameras,2013,47,1,,,,,,halibut,halibut,200,200,2,,,,,
2013_47_1_SL.avi,4498,23:30.3,,,,15.237,1.62,,2854.084,13.881,,,615.252,-331.408,-2767.206,1,Kristen Green,0,old cameras,2013,47,1,,,,,,rockfish,yelloweye,145,145,4,AD,resting on bottom,,hiding in rock; no length ,
2013_47_1_SL.avi,6307,24:30.7,,,,12.817,1.357,,2438.056,23.815,,,981.132,-105.77,-2229.419,1,Kristen Green,0,old cameras,2013,47,1,,,,,,rockfish,quillback,147,147,5,,,,,
2013_47_1_SL.avi,15817,29:48.0,,,,39.221,1.589,,4508.439,18.942,,,1461.238,-128.759,-4263.124,1,Kristen Green,0,old cameras,2013,47,1,,,,,,rockfish,yelloweye,145,145,6,AD,milling/hovering,,hiding behind rock; no length ,
2013_47_1_SL.avi,16270,30:03.1,,,,11.368,1.682,,2467.39,13.185,,,-438.779,-379.232,-2398.264,1,Kristen Green,0,old cameras,2013,47,1,,,,,,halibut,halibut,200,200,7,,,,,
2013_47_1_SL.avi,16271,30:03.2,,,601.081,21.528,3.411,6.544,2280.176,12.348,45.75,12.232,-241.274,-448.53,-2222.569,1,Kristen Green,0,old cameras,2013,47,1,,,,,,halibut,halibut,200,200,7,,,,,
2013_47_1_SL.avi,21944,33:12.4,,,,20.837,3.342,,3389.654,14.465,,,-792.881,260.431,-3285.312,1,Kristen Green,0,old cameras,2013,47,1,,,,,,cod,Pacific cod,110,110,8,,,,,
