Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS 1 (mm),RMS 2 (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time
Dive1__Camera 1_08-31-25.456_fixed.avi,239,31:38.0,,,,38.332,0.43,,3725.34,26.283,,,1648.95,-93.92,-3339.207,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,1,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,2533,32:54.4,,,,107.092,1.123,,6432.859,9.161,,,792.361,557.833,-6359.455,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,yelloweye,145,145,2,AD,resting on bottom,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,2537,32:54.6,,,,77.834,3.459,,5574.104,9.725,,,2.262,862.749,-5506.932,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,halibut,halibut,200,200,3,,,,No length-too dark,
Dive1__Camera 1_08-31-25.456_fixed.avi,2644,32:58.1,,,465.531,34.123,3.714,1.244,2982.885,9.641,26.287,23.533,-161.295,-514.928,-2933.673,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,yelloweye,145,145,2,AD,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,9007,36:30.2,,,,22.067,2.411,,2719.477,27.274,,,-684.688,-1075.781,-2401.968,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,4,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,10845,37:31.5,,,,20.987,4.116,,2633.963,25.034,,,-816.17,-793.209,-2375.383,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,5,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,16668,40:45.6,,,,48.294,2.605,,4227.313,28.501,,,2010.55,109.934,-3716.959,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,6,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,18068,41:32.3,,,,16.799,5.035,,2565.448,35.213,,,-1475.922,-129.563,-2094.371,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,7,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,19788,42:29.6,,,,52.929,20.09,,4533.436,8.848,,,588.031,310.522,-4484.399,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,8,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,19977,42:35.9,,,,15.877,11.935,,2485.782,6.283,,,-20.549,-306.655,-2466.708,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,9,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,30088,48:12.9,,,,17.129,2.852,,2457.926,19.213,,,768.628,218.608,-2324.397,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,10,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,33490,50:06.3,,,,10.578,4.47,,1912.034,29.974,,,353.647,-911.042,-1643.414,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,11,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,34092,50:26.4,,,,16.15,3.512,,2365.892,18.908,,,740.815,-229.484,-2235.168,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,greenstripe,135,135,12,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,41462,54:32.1,,,,59.901,3.261,,4732.722,35.739,,,2653.137,721.179,-3852.198,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,flatfish,flatfish,10006,10006,13,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,47356,57:48.5,,,,11.99,6.463,,2085.428,15.069,,,47.307,-568.925,-2005.766,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,14,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,56264,02:45.5,,,,62.801,3.283,,4784.336,23.79,,,-1915.616,172.02,-4380.719,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,15,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,62359,06:08.6,,,,27.827,1.301,,3163.947,26.01,,,1386.242,-99.443,-2842.359,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,16,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,62922,06:27.4,,,,25.614,2.642,,2977.495,17.561,,,-835.328,-371.337,-2833.692,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,silvergray,157,157,17,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,64605,07:23.5,,,,13.97,1.185,,2155.656,29.853,,,746.653,-797.394,-1858.367,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,greenstripe,135,135,18,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,66344,08:21.5,,,,19.611,5.781,,2624.716,24.088,,,-1060.246,-187.486,-2393.713,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,19,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,66660,08:32.0,,,,31.876,9.191,,3562.405,35.742,,,2080.628,-77.848,-2890.615,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,20,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,72145,11:34.8,,,,20.192,1.884,,2721.429,28.383,,,-1286.519,101.438,-2395.987,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,21,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,74395,12:49.8,,,,9.563,21.551,,1784.964,29.102,,,-551.624,-692.643,-1549.856,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,sharpchin,166,166,22,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,75060,13:12.0,,,,11.977,2.702,,2009.192,29.708,,,888.055,-475.314,-1738.473,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,rosethorn,150,150,23,,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,83657,17:58.6,,,,129.865,2.578,,7138.07,9.834,,,-1193.754,146.671,-7036.013,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,yelloweye,145,145,24,AD,milling/hovering,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,83707,18:00.2,,,543.579,78.944,5.413,2.329,6052.008,13.365,1.894,3.67,-1395.344,-184.991,-5886.051,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,rockfish,yelloweye,145,145,24,AD,,,,
Dive1__Camera 1_08-31-25.456_fixed.avi,83925,18:07.5,,,,89.799,3.228,,5538.743,29.705,,,-2486.291,-1231.403,-4793.712,1,Jenny Stahl,0,"new cameras, AKST",2013,1,1,,,,,,greenling,lingcod,130,130,25,,,,No length- too dark,
Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi,2174,45:29.5,,,,15.436,2.018,,2308.487,34.063,,,-908.259,-947.584,-1899.016,1,Jenny Stahl,0,"new cameras, AKST",2013,3,1,,,,,,rockfish,rosethorn,150,150,1,,,,,
Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi,7067,48:12.6,,,,23.396,1.363,,2784.028,23.896,,,-781.159,-849.768,-2533.475,1,Jenny Stahl,0,"new cameras, AKST",2013,3,1,,,,,,cod,,9991,9991,24,,,,Not Pcod; reddish coloration,
Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi,7106,48:13.9,,,,18.186,0.682,,2568.921,26.314,,,-113.632,-1165.992,-2286.243,1,Jenny Stahl,0,"new cameras, AKST",2013,3,1,,,,,,cod,,9991,9991,2,,,,"Not Pcod, reddish coloration",
Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi,9076,49:19.5,,,,16.676,3.972,,2368.837,20.833,,,754.793,-405.887,-2208.378,1,Jenny Stahl,0,"new cameras, AKST",2013,3,1,,,,,,flatfish,Dover sole,124,124,3,,,,,
