Filename,Frame,Time_AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive,Transect,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time H:MM:SS
SL_FW_Dive_01_14-33-17.912.avi,20482,14:44:57,22:44:57,,,,15.173,8.541,2797.638,13.327,,,607.252,211.824,-2722.711,1,Jenny Stahl,0,,2015,1,1,,,,,,skate,skate,,,1,,,,,
SL_FW_Dive_01_14-33-17.912.avi,40375,14:56:00,22:56:00,,,,10.112,8.235,2306.324,11.881,,,470.463,-68.436,-2256.793,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_FW_Dive_01_14-33-17.912.avi,40375,14:56:00,22:56:00,,,,23.324,5.960,3535.923,10.507,,,-573.572,287.823,-3477.200,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_FW_Dive_01_14-33-17.912.avi,40669,14:56:10,22:56:10,,,,28.112,2.425,3864.362,31.445,,,2007.189,-194.076,-3296.486,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_FW_Dive_01_14-33-17.912.avi,42869,14:57:23,22:57:23,,,,10.437,5.296,2214.722,23.223,,,767.749,-420.108,-2034.469,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_FW_Dive_01_14-33-17.912.avi,43075,14:57:30,22:57:30,,,,36.706,15.511,4291.279,34.474,,,2011.387,1354.882,-3540.295,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,,,,6,,,,may be ye but cant confirm-blurry,
SL_FW_Dive_01_14-33-17.912.avi,43553,14:57:46,22:57:46,,,,8.703,4.158,2054.447,30.405,,,-730.592,-743.279,-1770.458,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,,,,7,,,,may be ye but can't be confirmed,
SL_FW_Dive_01_14-33-17.912.avi,43813,14:57:54,22:57:54,,,,11.321,5.091,2345.568,24.509,,,326.862,-920.603,-2132.449,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,rosethorn,150,150,8,,,,,
SL_FW_Dive_01_14-33-17.912.avi,44116,14:58:05,22:58:05,,,,82.092,5.071,6469.225,30.031,,,-3014.613,1170.106,-5603.020,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,yelloweye,145,145,9,AD,Fish milling/hovering,,no length-blurry,
SL_FW_Dive_01_14-33-17.912.avi,44800,14:58:27,22:58:27,,,,23.861,1.369,3415.200,23.116,,,1304.709,-315.053,-3140.393,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,rosethorn,150,150,10,,,,,
SL_FW_Dive_01_14-33-17.912.avi,51476,15:02:10,23:02:10,,,,20.496,0.719,3320.525,10.662,,,-575.423,208.903,-3263.607,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,rosethorn,150,150,11,,,,,
SL_FW_Dive_01_14-33-17.912.avi,51607,15:02:14,23:02:14,,,,37.870,4.062,4372.921,29.967,,,-1999.693,871.512,-3790.004,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,yelloweye,145,145,12,AD,Fish moving slowly into frame,,,
SL_FW_Dive_01_14-33-17.912.avi,51746,15:02:19,23:02:19,,,702.014,36.879,7.863,3563.349,12.611,25.235,8.571,-707.207,324.224,-3477.383,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,yelloweye,145,145,12,AD,,,,
SL_FW_Dive_01_14-33-17.912.avi,52234,15:02:35,23:02:35,,,,24.567,8.837,3553.473,29.924,,,1753.476,254.069,-3080.250,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,rosethorn,150,150,13,,,,,
SL_FW_Dive_01_14-33-17.912.avi,53704,15:03:24,23:03:24,,,,110.169,5.148,7298.468,20.184,,,-1762.915,1784.994,-6853.726,1,Jenny Stahl,0,,2015,1,1,,,,,,rockfish,yelloweye,145,145,14,AD,Fish milling/hovering,,,
