Filename,Frame,Time_UTC,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_14_18-11-18.049.avi,1641,18:14:13,2:14:13,,,,39.393,9.929,4699.521,9.639,,,65.859,775.142,-4634.686,1,Kristen Green ,0,,2015,14,1,,,,,,greenling,lingcod,130,130,1,,,,,
SL_FW_Dive_14_18-11-18.049.avi,1672,18:14:14,2:14:14,,,944.303,18.521,3.603,3169.364,1.471,13.969,2.116,-52.305,62.344,-3168.319,1,Kristen Green ,0,,2015,14,1,,,,,,greenling,lingcod,130,130,1,,,,,
SL_FW_Dive_14_18-11-18.049.avi,1926,18:14:22,2:14:22,,,,70.485,2.999,5886.759,18.855,,,-1041.739,1581.137,-5573.932,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,3,AD,Fish seeking cover,,no length in rocks ,
SL_FW_Dive_14_18-11-18.049.avi,2021,18:14:25,2:14:25,,,,43.634,3,4722.016,27.95,,,-2139.693,557.591,-4172.318,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,tiger,148,148,4,,,,,
SL_FW_Dive_14_18-11-18.049.avi,2060,18:14:27,2:14:27,,,,23.845,3.298,3715.112,5.18,,,-271.217,190.199,-3700.314,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_FW_Dive_14_18-11-18.049.avi,3366,18:15:10,2:15:10,,,,56.787,4.651,5293.823,16.485,,,1006.343,1105.494,-5078.358,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_FW_Dive_14_18-11-18.049.avi,4984,18:16:04,2:16:04,,,,111.521,4.573,7352.201,27.178,,,-2892.437,1693.517,-6543.751,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,6,AD,Fish moving slowly into frame,,no length poor orientation ,
SL_FW_Dive_14_18-11-18.049.avi,9336,18:18:29,2:18:29,,,,24.576,2.901,3648.773,9.007,,,435.964,362.138,-3604.488,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,7,,,,,
SL_FW_Dive_14_18-11-18.049.avi,10289,18:19:01,2:19:01,,,,63.288,2.882,5775.363,19.929,,,99.946,1955.544,-5433.293,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,tiger,148,148,8,,,,,
SL_FW_Dive_14_18-11-18.049.avi,10779,18:19:17,2:19:17,,,,57.975,0.199,5390.97,27.048,,,-2329.817,753.426,-4802.797,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,9,AD,Fish moving quickly into frame,,,
SL_FW_Dive_14_18-11-18.049.avi,10838,18:19:19,2:19:19,,,629.536,32.276,4.915,4962.216,12.844,5.897,12.489,-853.871,698.323,-4838.062,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,9,AD,,,,
SL_FW_Dive_14_18-11-18.049.avi,13052,18:20:33,2:20:33,,,,15.824,7.93,2843.901,32.244,,,1457.105,-427.808,-2404.495,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,10,,,,,
SL_FW_Dive_14_18-11-18.049.avi,35209,18:32:52,2:32:52,,,,85.566,1.692,6720.858,13.806,,,-1544.959,417.95,-6527.507,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,tiger,148,148,11,,,,,
SL_FW_Dive_14_18-11-18.049.avi,36289,18:33:28,2:33:28,,,,33.937,2.15,4429.751,5.528,,,-347.721,238.883,-4409.617,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,13,,,,,
SL_FW_Dive_14_18-11-18.049.avi,36304,18:33:28,2:33:28,,,,31.346,8.158,3918.44,21.314,,,546.351,1308.29,-3652.951,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,silvergray,157,157,12,,,,,
SL_FW_Dive_14_18-11-18.049.avi,38950,18:34:56,2:34:56,,,,16.851,8.469,3190.032,1.501,,,-56.432,55.451,-3189.051,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,14,,,,,
SL_FW_Dive_14_18-11-18.049.avi,39163,18:35:03,2:35:03,,,,70.942,4.696,5814.258,28.292,,,2464.407,1223.373,-5122.075,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,15,AD,Fish milling/hovering,,"no length, too dark ",
SL_FW_Dive_14_18-11-18.049.avi,41313,18:36:15,2:36:15,,,,22.729,5.081,3570.736,6.804,,,302.387,289.039,-3546.149,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,16,,,,,
SL_FW_Dive_14_18-11-18.049.avi,43379,18:37:24,2:37:24,,,,59.053,7.915,5253.842,25.994,,,1877.325,1324.279,-4724.911,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,17,AD,Fish milling/hovering,,,
