Filename,Frame,AKDT ,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_18_09-09-57.708.avi,1188,9:12:25,17:12:25,,,,23.497,7.353,3440.853,15.038,,,-716.251,526.465,-3324.047,1,Kristen Green ,0,,2015,18,1,,,,,,halibut,halibut,200,200,1,,,,no length bad light/orientation ,
SL_FW_Dive_18_09-09-57.708.avi,22771,9:24:24,17:24:24,,,,79.373,6.113,6534.595,11.19,,,-521.126,1143.727,-6412.585,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_FW_Dive_18_09-09-57.708.avi,23141,9:24:36,17:24:36,,,,10.699,5.358,2377.883,13.487,,,18.746,-558.71,-2311.237,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_FW_Dive_18_09-09-57.708.avi,23147,9:24:37,17:24:37,,,,16.39,9.967,3038.051,6.27,,,-282.13,-180.415,-3019.538,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_FW_Dive_18_09-09-57.708.avi,25833,9:26:06,17:26:06,,,,15.064,5.488,2889.238,6.921,,,224.818,-271.357,-2867.668,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_FW_Dive_18_09-09-57.708.avi,26097,9:26:15,17:26:15,,,,20.488,0.307,3486.275,3.163,,,177.96,-79.674,-3480.819,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,6,,,,,
SL_FW_Dive_18_09-09-57.708.avi,26778,9:26:38,17:26:38,,,,22.514,0.692,3477.682,13.592,,,-8.047,-823.753,-3378.703,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,7,,,,,
SL_FW_Dive_18_09-09-57.708.avi,27092,9:26:48,17:26:48,,,,81.619,8.73,6455.303,16.862,,,1838.25,-368.536,-6177.05,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,8,AD,Fish milling/hovering,,"too dark, no length ",
SL_FW_Dive_18_09-09-57.708.avi,27573,9:27:04,17:27:04,,,,31.201,8.64,4205.983,7.566,,,553.43,-28.794,-4169.314,1,Kristen Green ,0,,2015,18,1,,,,,,greenling,lingcod,130,130,9,,,,,
SL_FW_Dive_18_09-09-57.708.avi,27626,9:27:06,17:27:06,,,963.437,42.372,11.836,3463.818,22.425,49.405,41.893,882.309,-983.64,-3201.878,1,Kristen Green ,0,,2015,18,1,,,,,,greenling,lingcod,130,130,9,,,,"poor horiz direction and precision , RMS > 10 ",
SL_FW_Dive_18_09-09-57.708.avi,28082,9:27:21,17:27:21,,,,23.672,12.641,3697.128,5.682,,,364.931,-35.642,-3678.901,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,tiger,148,148,10,,,,RMS > 10 ,
SL_FW_Dive_18_09-09-57.708.avi,28556,9:27:37,17:27:37,,,,12.38,5.313,2490.162,19.521,,,210.463,-809.554,-2345.471,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,dusky,172,172,11,,,,,
SL_FW_Dive_18_09-09-57.708.avi,31627,9:29:19,17:29:19,,,,39.564,7.4,4576.333,13.039,,,-989.75,285.472,-4458.893,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,tiger,148,148,14,,,,,
SL_FW_Dive_18_09-09-57.708.avi,31683,9:29:21,17:29:21,,,,26.596,2.365,4020.667,1.793,,,90.852,-94.775,-4018.523,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,15,AD,Fish seeking cover,,no length in rocks,
SL_FW_Dive_18_09-09-57.708.avi,34808,9:31:05,17:31:05,,,,21.244,0.566,3560.329,3.068,,,-186.299,-46.86,-3555.143,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,16,,,,,
SL_FW_Dive_18_09-09-57.708.avi,36399,9:31:58,17:31:58,,,,18.532,9.199,3059.799,30.608,,,-1401.775,-684.943,-2632.157,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,17,,,,,
SL_FW_Dive_18_09-09-57.708.avi,38412,9:33:05,17:33:05,,,,50.741,8.894,5120.92,13.131,,,-732.852,893.862,-4988.764,1,Kristen Green ,0,,2015,18,1,,,,,,greenling,lingcod,130,130,18,,,,,
SL_FW_Dive_18_09-09-57.708.avi,38413,9:33:05,17:33:05,,,865.813,20.917,20.368,4644.695,10.825,5.958,0.415,-262.421,831.913,-4562.045,1,Kristen Green ,0,,2015,18,1,,,,,,greenling,lingcod,130,130,18,,,,RMS > 10 ,
SL_FW_Dive_18_09-09-57.708.avi,38372,9:33:04,17:33:04,,,,68.572,18.518,5745.973,21.486,,,-1708.976,1217.967,-5349.033,1,Kristen Green ,0,,2015,18,1,,,,,,greenling,lingcod,130,130,19,,,,RMS > 10 ,
SL_FW_Dive_18_09-09-57.708.avi,38378,9:33:04,17:33:04,,,908.958,60.205,3.408,5217.346,24.445,4.44,15.119,-1931.99,963.822,-4749.648,1,Kristen Green ,0,,2015,18,1,,,,,,greenling,lingcod,130,130,19,,,,precision poor,
SL_FW_Dive_18_09-09-57.708.avi,40292,9:34:08,17:34:08,,,,50.987,3.386,4939.395,25.274,,,-1172.216,1744.407,-4469.964,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,20,AD,Fish milling/hovering,,,
