Filename,Frame,AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_33_16-37-42.838.avi,7502,16:42:05,0:42:05,,,,69.956,4.242,5721.551,28.779,,,2002.628,1881.581,-5018.494,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,2,AD,Fish milling/hovering,,,
SL_FW_Dive_33_16-37-42.838.avi,7549,16:42:07,0:42:07,,,572.38,67.231,11.793,4822.583,32.161,22.379,6.82,2201.144,1320.957,-4082.566,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,2,AD,,,"poor precison, fish far away ",
SL_FW_Dive_33_16-37-42.838.avi,8513,16:42:39,0:42:39,,,,24.664,5.021,3852,2.57,,,167.239,-50.647,-3848.035,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_FW_Dive_33_16-37-42.838.avi,8545,16:42:40,0:42:40,,,,29.598,0.668,4216.509,3.155,,,-197.315,114.047,-4210.346,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_FW_Dive_33_16-37-42.838.avi,9152,16:43:00,0:43:00,,,,29.168,3.102,3859.422,16.153,,,-1016.434,338.739,-3707.729,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_FW_Dive_33_16-37-42.838.avi,10084,16:43:31,0:43:31,,,,32.87,21.891,4141.491,12.484,,,818.855,353.985,-4044.269,1,Kristen Green ,0,,2015,33,1,,,,,,coral,red tree coral,10001,10001,6,,,,RMS > 10 ,
SL_FW_Dive_33_16-37-42.838.avi,13112,16:45:12,0:45:12,,,,61.122,10.361,5436.828,24.812,,,911.9,2081.816,-4938.985,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,7,AD,Fish milling/hovering,,gravid!,
SL_FW_Dive_33_16-37-42.838.avi,13126,16:45:13,0:45:13,,,710.087,55.321,14.05,5145.782,23.242,17.58,37.935,1090.143,1713.182,-4728.178,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,7,AD,,,precision poor,
SL_FW_Dive_33_16-37-42.838.avi,13102,16:45:12,0:45:12,,,,56.114,5.455,5508.649,12.038,,,-1123.76,228.435,-5387.968,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,8,,,,,
SL_FW_Dive_33_16-37-42.838.avi,14386,16:45:55,0:45:55,,,971.332,16.984,5.731,2118.228,10.62,41.036,33.952,240.951,-307.156,-2081.943,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,8,,,,horiz angle > 30,
SL_FW_Dive_33_16-37-42.838.avi,13266,16:45:17,0:45:17,,,,29.61,1.236,3872.089,21.761,,,-310.952,1394.488,-3598.859,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,9,JV,Fish milling/hovering,,,
SL_FW_Dive_33_16-37-42.838.avi,13467,16:45:24,0:45:24,,,376.197,8.138,2.61,2751.321,15.015,5.043,31.889,-15.691,-712.635,-2657.381,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,9,JV,,,,
SL_FW_Dive_33_16-37-42.838.avi,14387,16:45:55,0:45:55,,,,8.228,0.03,2028.702,15.01,,,-277.098,-450.169,-1958.621,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,10,,,,no length cant see whole body ,
SL_FW_Dive_33_16-37-42.838.avi,15081,16:46:18,0:46:18,,,,22.624,6.533,3325.556,29.767,,,1550.275,-573.591,-2885.648,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,11,,,,,
