Filename,Frame,Time_AKDT,Time..HMS.,Period,Period.time..HMS.,Length..mm.,Precision..mm.,RMS..mm.,Range..mm.,Direction..deg.,Horz..Dir...deg.,Vert..Dir...deg.,Mid.X..mm.,Mid.Y..mm.,Mid.Z..mm.,OpCode,TapeReader,Depth,Comment,Year,Dive.No,Transect.No,User.Def..4,User.Def..5,User.Def..6,User.Def..7,User.Def..8,Family,Genus,Species,Code,Number,Stage,Activity,Check.ID,Comment.1,Event.Time.HH.MM.SS
SL_2016CSEO_Dive_46_18-53-30.000.avi,2833,18:56:47,2:56:47,NA,NA,NA,6.297,1.731,1793.964,29.802,NA,NA,-811.719,-372.806,-1555.775,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,sculpin,unknown,160,160,1,,,NA,,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,3532,18:57:11,2:57:11,NA,NA,NA,23.537,0.638,3497.242,11.882,NA,NA,418.046,577.759,-3423.76,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,quillback,147,147,2,,,NA,,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,3932,18:57:24,2:57:24,NA,NA,NA,23.733,0.979,3608.419,8.284,NA,NA,-368.467,357.812,-3571.679,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,3,,,NA,,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,4254,18:57:35,2:57:35,NA,NA,NA,24.005,0.542,3545.633,28.409,NA,NA,-1634.158,410.689,-3119.676,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,4,JV,Fish milling/hovering,NA,"no length, too blurry",NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,6994,18:59:06,2:59:06,NA,NA,NA,52.783,0.538,5152.463,17.03,NA,NA,-660.238,1344.563,-4929.919,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,5,,,NA,,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,7440,18:59:21,2:59:21,NA,NA,NA,100.8,8.753,7415.795,33.021,NA,NA,-3631.059,1758.422,-6222.329,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,6,,,NA,,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,8151,18:59:45,2:59:45,NA,NA,NA,40.092,0.466,4587.755,31.697,NA,NA,-2131.929,1115.161,-3906.25,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,7,,,NA,,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,8588,18:59:59,2:59:59,NA,NA,NA,16.694,2.638,2951.069,31.155,NA,NA,1504.707,-264.751,-2524.791,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,8,JV,Fish milling/hovering,NA,,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,8589,18:59:59,2:59:59,NA,NA,224.236,44.242,2.438,3060.907,29.747,71.27,9.452,1496.049,-261.558,-2657.551,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,8,JV,,NA,High Horiz Angle,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,8966,19:00:12,3:00:12,NA,NA,NA,24.573,3.939,3537.739,30.447,NA,NA,1742.631,413.104,-3050.931,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,9,,,NA,,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,10603,19:01:06,3:01:06,NA,NA,NA,26.93,0.859,3702.932,23.766,NA,NA,-1458.905,305.517,-3389.685,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,10,,,NA,,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,11886,19:01:49,3:01:49,NA,NA,NA,33.684,0.622,4120.288,14.974,NA,NA,-826.85,660.681,-3982.033,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,11,,,NA,,NA
SL_2016CSEO_Dive_46_18-53-30.000.avi,14182,19:03:06,3:03:06,NA,NA,NA,62.755,0.863,5607.064,23.008,NA,NA,-576.393,2101.491,-5166.302,1,Jenny,0,NA,2016,46,1,NA,NA,NA,NA,NA,rockfish,quillback,147,147,12,,,NA,,NA
