Filename,Frame,Time_AKDT,Time..HMS.,Period,Period.time..HMS.,Length..mm.,Precision..mm.,RMS..mm.,Range..mm.,Direction..deg.,Horz..Dir...deg.,Vert..Dir...deg.,Mid.X..mm.,Mid.Y..mm.,Mid.Z..mm.,OpCode,Tape.Reader,Depth,Comment,Year,Dive.No,Transect.No,Family,Genus,Species,Code,Number,Stage,Activity,Check.ID,Comment.1
SL_2016NSEO_Dive_11_16-03-45.000.avi,0,16:03:50,0:03:50,NA,NA,NA,7.303,0.339,1940.086,13.749,NA,NA,-451.84,-95.499,-1884.318,1,Jenny,0,NA,2016,11,1,flatfish,Dover sole,124,124,1,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,9392,16:09:03,0:09:03,NA,NA,NA,7.215,0.318,1932.926,13.643,NA,NA,-451.487,-66.955,-1878.265,1,Jenny,0,NA,2016,11,1,flatfish,Dover sole,124,124,2,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,10675,16:09:46,0:09:46,NA,NA,NA,10.855,0.497,2330.429,17.485,NA,NA,-659.204,231.812,-2223.199,1,Jenny,0,NA,2016,11,1,ratfish,ratfish,714,714,3,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,12831,16:10:58,0:10:58,NA,NA,NA,17.617,0.369,2948.078,26.245,NA,NA,-1217.61,460.732,-2645.055,1,Jenny,0,NA,2016,11,1,ratfish,ratfish,714,714,4,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,13871,16:11:32,0:11:32,NA,NA,NA,3.816,0.339,1363.104,15.259,NA,NA,-258.894,-250.877,-1314.568,1,Jenny,0,NA,2016,11,1,flatfish,Dover sole,124,124,5,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,14854,16:12:05,0:12:05,NA,NA,NA,23.359,2.086,3596.556,7.825,NA,NA,-346.486,339.089,-3563.732,1,Jenny,0,NA,2016,11,1,ratfish,ratfish,714,714,6,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,18658,16:14:12,0:14:12,NA,NA,NA,32.989,0.689,4103.762,15.589,NA,NA,418.954,1012.511,-3954.765,1,Jenny,0,NA,2016,11,1,ratfish,ratfish,714,714,7,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,18658,16:14:12,0:14:12,NA,NA,NA,33.855,3.157,4022.66,19.709,NA,NA,1040.656,863.019,-3788.671,1,Jenny,0,NA,2016,11,1,ratfish,ratfish,714,714,8,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,19126,16:14:28,0:14:28,NA,NA,NA,12.353,3.35,2512.708,13.038,NA,NA,498.411,265.277,-2448.452,1,Jenny,0,NA,2016,11,1,cod,unknown,9991,9991,9,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,19126,16:14:28,0:14:28,NA,NA,NA,14.598,1.421,2726.865,13.566,NA,NA,-462.465,436.773,-2651.632,1,Jenny,0,NA,2016,11,1,cod,unknown,9991,9991,10,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,19209,16:14:30,0:14:30,NA,NA,NA,12.007,0.178,2514.069,10.804,NA,NA,-299.965,358.725,-2470.198,1,Jenny,0,NA,2016,11,1,cod,unknown,9991,9991,11,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,19551,16:14:42,0:14:42,NA,NA,NA,11.22,3.967,2396.759,22.568,NA,NA,-919.035,-42.704,-2213.144,1,Jenny,0,NA,2016,11,1,ratfish,ratfish,714,714,12,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,20505,16:15:13,0:15:13,NA,NA,NA,20.385,2.537,3120.911,24.124,NA,NA,-1052.286,715.436,-2849.725,1,Jenny,0,NA,2016,11,1,ratfish,ratfish,714,714,13,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,21686,16:15:53,0:15:53,NA,NA,56.532,56.128,11.609,3788.557,26.486,84.837,43.657,1626.238,458.533,-3390.909,1,Jenny,0,NA,2016,11,1,ratfish,ratfish,714,714,7,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,22835,16:16:31,0:16:31,NA,NA,NA,23.155,0.591,3318.608,25.913,NA,NA,1327.138,578.953,-2986.081,1,Jenny,0,NA,2016,11,1,ratfish,ratfish,714,714,14,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,24803,16:17:37,0:17:37,NA,NA,NA,19.043,3.48,3062.477,20.131,NA,NA,1017.618,268.965,-2875.913,1,Jenny,0,NA,2016,11,1,greenling,lingcod,130,130,15,,,NA,
SL_2016NSEO_Dive_11_16-03-45.000.avi,24858,16:17:39,0:17:39,NA,NA,772.651,39.713,2.977,2739.396,22.566,65.721,16.995,1051.198,9.494,-2529.661,1,Jenny,0,NA,2016,11,1,greenling,lingcod,130,130,15,,,NA,high horiz
SL_2016NSEO_Dive_11_16-03-45.000.avi,25992,16:18:16,0:18:16,NA,NA,NA,44.345,0.837,4633.512,20.76,NA,NA,-947.884,1332.877,-4335.25,1,Jenny,0,NA,2016,11,1,greenling,lingcod,130,130,16,,,NA,"no length, too dark"
SL_2016NSEO_Dive_11_16-03-45.000.avi,27469,16:19:06,0:19:06,NA,NA,NA,24.007,0.704,3622.652,9.659,NA,NA,-220.575,559.498,-3572.383,1,Jenny,0,NA,2016,11,1,greenling,lingcod,130,130,17,,,NA,"no length, too dark"
SL_2016NSEO_Dive_11_16-03-45.000.avi,28594,16:19:43,0:19:43,NA,NA,NA,39.198,3.933,4341.566,23.11,NA,NA,-918.643,1427.498,-3995.94,1,Jenny,0,NA,2016,11,1,greenling,lingcod,130,130,18,,,NA,"no length, too dark"
SL_2016NSEO_Dive_11_16-03-45.000.avi,30454,16:20:45,0:20:45,NA,NA,NA,20.193,0.234,3184.268,15.012,NA,NA,726.426,384.744,-3076.335,1,Jenny,0,NA,2016,11,1,greenling,lingcod,130,130,19,,,NA,
