Filename,Frame,Time..HMS.,Period,Period.time..HMS.,Length..mm.,Precision..mm.,RMS..mm.,Range..mm.,Direction..deg.,Horz..Dir...deg.,Vert..Dir...deg.,Mid.X..mm.,Mid.Y..mm.,Mid.Z..mm.,OpCode,TapeReader,Depth,Comment,Year,Dive.No,Transect.No,User.Def..4,User.Def..5,User.Def..6,User.Def..7,User.Def..8,Family,Genus,Species,Code,Number,Stage,Activity,Check.ID,Comment.1
SL_2017EYKT_Dive_01_13-26-38.000.avi,3441,13:28:40,NA,NA,NA,10.757,1.199,2285.175,31.429,NA,NA,1028.349,598.903,-1950.856,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,shark,spiny dogfish,691,691,1,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,4326,13:29:09,NA,NA,NA,21.057,2.472,3129.624,25.921,NA,NA,1095.465,814.986,-2816.078,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,shark,spiny dogfish,691,691,2,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,8862,13:31:40,NA,NA,NA,2.707,0.051,1138.65,19.151,NA,NA,91.027,-364.001,-1075.054,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,flatfish,Dover sole,124,124,3,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,21558,13:38:44,NA,NA,NA,7.041,0.668,1862.562,30.109,NA,NA,884.209,299.432,-1611.723,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,4,AD,Fish moving slowly into frame,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,21678,13:38:48,NA,NA,523.997,11.345,1.68,1527.698,16.29,48.507,9.389,391.853,-173.435,-1466.367,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,4,AD,,NA,High horizontal angle
SL_2017EYKT_Dive_01_13-26-38.000.avi,23436,13:39:46,NA,NA,NA,101.631,1.372,7063.639,25.371,NA,NA,-1038.303,2832.831,-6386.861,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,canary,146,146,5,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,26950,13:41:43,NA,NA,NA,33.854,5.249,4077.882,17.896,NA,NA,1173.661,-445.291,-3879.865,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,coral,red tree coral,10001,10001,19,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,34054,13:45:40,NA,NA,NA,21.621,2.936,3270.298,29.874,NA,NA,1544.055,514.459,-2836.56,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,6,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,36622,13:47:06,NA,NA,NA,11.1,0.155,2524.429,3.915,NA,NA,51.796,-168.381,-2518.275,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,7,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,54416,13:56:59,NA,NA,NA,48.508,0.893,5045.045,17.044,NA,NA,156.918,1462.728,-4825.794,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,shark,spiny dogfish,691,691,8,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,58818,13:59:26,NA,NA,NA,146.838,0.055,8698.651,23.601,NA,NA,386.2,3448.533,-7976.528,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,9,AD,Fish milling/hovering,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,59233,13:59:39,NA,NA,560.139,11.72,1.087,1754.652,20.863,38.756,6.844,255.401,-570.327,-1639.604,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,9,AD,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,59360,13:59:44,NA,NA,NA,34.271,2.623,4246.608,24.978,NA,NA,-1792.554,43.716,-3849.483,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,10,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,59651,13:59:53,NA,NA,NA,18.723,6.672,3129.832,35.43,NA,NA,1547.818,942.659,-2551.764,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,unknown,10024,10024,11,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,61173,14:00:44,NA,NA,NA,5.943,0.551,1711.794,20.785,NA,NA,-592.197,-137.799,-1600.173,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,12,AD,Fish seeking cover,NA,"no length, behind crinoids"
SL_2017EYKT_Dive_01_13-26-38.000.avi,62564,14:01:30,NA,NA,NA,36.96,0.542,4299.6,16.931,NA,NA,505.195,1139.143,-4115.057,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,13,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,63055,14:01:47,NA,NA,NA,20.07,4.381,3187.954,27.806,NA,NA,-1420.958,-443.063,-2819.153,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,14,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,64829,14:02:46,NA,NA,NA,17.745,3.608,3213.905,4.029,NA,NA,-156.287,157.915,-3206.216,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,15,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,69125,14:05:09,NA,NA,NA,25.671,0.675,3608.066,23.263,NA,NA,-229.287,1401.182,-3316.965,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,dusky,172,172,16,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,69328,14:05:16,NA,NA,NA,14.593,2.429,2750.965,12.933,NA,NA,-220.3,-579.178,-2680.267,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,dusky,172,172,17,,,NA,
