FILENAME,FRAME,TIME (HMS),LENGTH (MM),PRECISION (MM),RMS (MM),RANGE (MM),DIRECTION (DEG),HORZ_DIR (DEG),VERT_DIR (DEG),MID_X (MM),MID_Y (MM),MID_Z (MM),OPCODE,TAPEREADER,DEPTH,COMMENT,YEAR,DIVE,DIVE_NO,TRANSECT_NUMBER,FAMILY,GENUS,SPECIES,CODE,NUMBER,STAGE,ACTIVITY,CHECK_ID,COMMENT
SL_2018CSEO_Dive_01_12-15-33.000.avi,765,16:00.5,321.14,4.014,0.577,1811.768,16.011,9.168,3.661,64.872,495.504,-1741.485,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,1,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,938,16:06.3,491.398,35.688,3.224,2702.234,13.507,54.732,20.501,396.589,490.987,-2627.493,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,2,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,1703,16:31.8,,23.327,0.028,3533.83,32.256,,,-1771.199,632.973,-2991.681,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,3,,,,"No length, can only see nose"
SL_2018CSEO_Dive_01_12-15-33.000.avi,1899,16:38.3,477.019,33.245,3.167,2624.769,20.942,64.445,28.022,924.82,157.578,-2451.385,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,4,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,2462,16:57.1,375.999,38.604,2.759,2875.211,8.46,60.788,34.514,176.236,384.558,-2843.923,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,5,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,8345,20:13.2,421.21,46.854,1.866,3069.074,16.016,70.17,31.814,-714.19,454.96,-2949.942,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,6,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,8898,20:31.6,491.575,44.885,0.069,4144.668,30.669,11.413,0.749,-1909.499,907.288,-3564.957,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,7,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,10896,21:38.2,338.512,19.839,3.055,2718.012,12.95,27.638,30.209,-380.636,475.508,-2648.886,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,8,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,13035,22:49.5,836.855,38.272,0.982,2713.49,26.155,72.439,17.199,-1184.582,165.792,-2435.633,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,9,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,16106,24:31.9,491.124,11.896,1.885,1701.836,10.947,42.462,25.902,321.78,-30.108,-1670.867,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,10,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,17188,25:07.9,190.397,22.393,1.865,2593.715,31.136,79.304,43.527,-1273.183,421.527,-2220.063,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,halibut,halibut,200,200,11,,,,
