Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2018NSEO_Dive_26_11-42-17.000.avi,1821,11:43:29,,,,57.112,4.377,5503.274,33.199,,,-2665.965,1381.371,-4611.992,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,rockfish,canary,146,146,1,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,2160,11:43:40,,,513.08,50.458,1.596,3858.348,18.796,43.36,39.249,-1179.422,392.992,-3652.584,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,2,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,3583,11:44:27,,,,59.779,3.121,5379.055,18.248,,,1236.33,1118.119,-5114.248,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,3,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,4453,11:44:56,,,,109.608,5.14,7498.122,14.797,,,800.824,1702.987,-7258.123,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,4,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,4453,11:44:56,,,,41.274,1.766,4721.348,11.108,,,887.475,176.178,-4633.84,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,5,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,4856,11:45:10,,,,59.036,4.108,5287.945,24.226,,,-1635.763,1401.353,-4829.373,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,6,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,4856,11:45:10,,,,122.962,6.17,7715.531,30.295,,,-2655.371,2811.974,-6676.169,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,7,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,6067,11:45:50,,,601.361,128.277,0.915,7968.285,26.591,12.443,4.624,2274.059,2747.861,-7125.411,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,8,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,11024,11:48:35,,,381.616,19.045,1.197,2602.22,4.763,25.073,4.352,-178.951,-121.127,-2593.232,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,9,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,11960,11:49:07,,,475.233,50.152,1.987,4989.112,17.898,18.408,9.805,-565.893,1425.02,-4747.665,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,10,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,12499,11:49:25,,,767.246,75.368,2.882,5976.269,21.289,13.77,9.583,-1566.101,1501.776,-5568.463,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,11,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,20447,11:53:50,,,935.343,108.832,7.042,5443.926,17.999,35.633,5.106,1016.595,1340.206,-5177.52,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,12,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,20677,11:53:57,,,577.977,45.268,2.928,3089.115,8.967,66.659,37.681,479.046,48.464,-3051.36,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,13,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,34344,12:01:33,,,,34.393,3.07,4161.531,16.086,,,1077.584,390.299,-4000.603,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,rockfish,rosethorn,150,150,14,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,34947,12:01:53,,,,51.348,1.096,4981.012,24.673,,,1942.899,717.733,-4529.954,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,rockfish,rosethorn,150,150,15,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,35024,12:01:55,,,,76.221,2.368,6020.103,22.551,,,-1746.491,1482.021,-5567.317,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,greenling,kelp greenling,194,194,16,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,35351,12:02:06,,,,58.527,0.316,5330.37,18.395,,,1410.717,890.657,-5062.554,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,rockfish,rosethorn,150,150,17,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,35652,12:02:16,,,,11.481,0.596,2445.318,13.21,,,-113.279,-559.169,-2377.831,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,rockfish,rosethorn,150,150,18,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,35819,12:02:22,,,,47.085,1.315,4926.857,12.786,,,909.791,576.74,-4807.658,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,rockfish,rosethorn,150,150,19,,,,,
SL_2018NSEO_Dive_26_11-42-17.000.avi,35998,12:02:28,,,847.856,23.966,1.004,3155.784,5.208,19.562,2.271,-265.552,107.384,-3142.757,1,KelliiWood,80,N/A,2018,26,43,Line,,,,,halibut,halibut,200,200,20,,,,,
