3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated: Thursday, July 19, 2018 11:29:51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SR_2018SSEO_Dive_08_06-16-32.000.avi,9658,09:16.6,,,231.078,4.628,2.165,1199.8,16.725,37.269,36.598,267.69,-218.091,-1149.042,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,greenstripe,135,135,1,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,17472,13:37.1,,,678.211,131.321,5.855,5425.854,3.355,44.413,13.004,-150.629,279.582,-5416.553,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,yelloweye,145,145,2,AD,Fish milling/hovering,,Measurement on an angle,
SR_2018SSEO_Dive_08_06-16-32.000.avi,18359,14:06.6,,,,17.159,6.505,3050.927,8.03,,,256.657,-355.467,-3019.259,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,silvergray,157,157,3,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,19172,14:33.7,,,,19.538,0.443,3204.097,12.796,,,681.19,183.243,-3125.482,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,greenstripe,135,135,4,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,19361,14:40.0,,,,9.86,0.351,2232.832,12.507,,,-411.464,-264.946,-2178.541,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,dusky,172,172,5,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,19667,14:50.2,,,,8.536,1.36,2156.388,8.038,,,289.47,73.684,-2135.6,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,dusky,172,172,6,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,19667,14:50.2,,,,35.121,2.775,4102.311,22.01,,,853.193,1259.759,-3809.728,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,dusky,172,172,7,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,19996,15:01.2,,,,49.16,0.324,4997.742,24.684,,,-2072.484,223.77,-4542.264,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,dusky,172,172,8,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,28616,19:48.5,,,,17.975,2.553,3060.573,13.083,,,-667.476,170.667,-2982.023,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,quillback,147,147,9,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,33559,22:33.3,,,,8.373,2.516,2037.678,14.463,,,309.245,-414.14,-1971.037,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,greenstripe,135,135,10,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,36706,24:18.2,,,,30.841,3.387,3963.287,19.716,,,1318.249,204.632,-3732.023,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,quillback,147,147,11,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,48578,30:53.9,,,,3.774,0.339,1327.592,21.457,,,307.854,-381.819,-1233.669,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,greenstripe,135,135,12,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,51699,32:38.0,,,,13.844,0.975,2669.703,14.338,,,649.53,-136.33,-2585.893,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,greenstripe,135,135,13,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,74440,45:16.0,,,,12.544,2.917,2631.646,6.808,,,-295.04,-114.47,-2612.549,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,quillback,147,147,14,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,78834,47:42.5,,,,25.942,5.955,3635.934,14.362,,,-827.787,340.189,-3524.068,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,quillback,147,147,15,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,84357,50:46.6,,,,37.51,2.267,4351.442,17.241,,,-443.486,1190.177,-4161.952,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,quillback,147,147,16,,,,,
SR_2018SSEO_Dive_08_06-16-32.000.avi,84639,50:56.0,,,,27.229,1.238,3816.366,10.181,,,-593.067,302.519,-3757.845,1,2018SSEO_Dive_8_061645,0,N/A,2018,SSEO_8,56,,,,,,rockfish,quillback,147,147,17,,,,,
