3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Monday, June 20, 2022 11:30:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_01_08-41-43.000.avi,1440,9:16:46,,,,3.154,3.418,1179.399,13.584,,,108.16,-259.599,-1145.378,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,1,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,4552,9:18:30,,,116.906,7.19,1.106,2261.643,1.915,11.358,21.909,71.948,-23.162,-2260.379,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,crab,box crab,900,900,2,,,,Caparace width taken,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,5217,9:18:52,,,369.93,20.758,0.238,2466.059,24.441,22.099,12.098,999.203,206.684,-2245.066,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,3,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,5392,9:18:58,,,373.076,25.769,3.414,2524.435,16.393,34.576,16.469,-653.196,284.533,-2421.807,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,4,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,6479,9:19:34,,,,8.174,1.507,1897.405,22.961,,,-729.184,120.142,-1747.571,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,5,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,7857,9:20:20,,,,11.028,0.258,2227.119,14.728,,,-520.054,215.247,-2154.825,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,6,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,10057,9:21:33,,,,10.131,2.509,2156.999,29.034,,,-1037.715,130.495,-1886.468,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,cod,Pacific tomcod,250,250,7,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,10278,9:21:41,,,,12.497,0.881,2300.314,20.542,,,-651.992,467.2,-2155.939,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,cod,Pacific tomcod,250,250,8,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,11262,9:22:13,,,,9.408,1.164,2070.584,26.918,,,-936.442,34.959,-1846.394,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,cod,Pacific tomcod,250,250,9,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,12712,9:23:02,,,,13.054,2.75,2398.459,25.123,,,-994.794,208.751,-2172.421,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,10,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,14049,9:23:46,,,237.877,15.374,4.155,1967.954,15.294,41.041,33.937,-453.193,253.102,-1898.262,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,11,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,15526,9:24:36,,,,17.577,0.236,2806.088,27.887,,,1269.629,322.744,-2481.534,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,12,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,16446,9:25:06,,,,12.86,1.469,2358.064,21.488,,,800.746,315.087,-2195.448,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,13,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,17231,9:25:32,,,123.907,23.672,1.898,2996.853,18.866,17.724,4.869,749.306,614.479,-2835.857,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,crab,box crab,900,900,14,,,,Carapace width taken,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,18688,9:26:21,,,,11.207,0.907,2290.962,10.551,,,299.691,284.536,-2253.382,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,15,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,19961,9:27:03,,,,12.512,0.697,2380.133,13.129,,,-396.799,357.918,-2319.37,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,cod,Pacific tomcod,250,250,16,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,21339,9:27:49,,,247.955,12.129,1.372,1876.11,19.672,23.39,8.055,-630.294,-40,-1766.612,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,17,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,21575,9:27:57,,,,3.973,0.155,1344.577,12.282,,,49.863,-286.91,-1312.663,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,flatfish,rex sole,125,125,18,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,23817,9:29:12,,,,11.488,1.911,2306.668,11.798,,,260.047,384.417,-2259.495,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,cod,Pacific tomcod,250,250,19,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,25928,9:30:22,,,,9.161,0.561,2086.365,31.273,,,-1075.669,119.177,-1783.718,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,20,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,32506,9:34:02,,,248.265,4.386,1.924,1590.143,5.481,11.308,7.103,147.465,36.311,-1582.874,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,21,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,33647,9:34:40,,,,6.689,1.705,1704.238,23.305,,,-659.754,-145.217,-1564.629,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,22,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,34160,9:34:57,,,191.169,8.841,4.694,1960.636,10.061,18.643,11.555,-21.842,341.827,-1930.485,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,23,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,34864,9:35:20,,,299.668,21.425,1.443,2195.026,19.372,42.052,22.249,-700.063,200.1,-2070.751,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,24,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,43010,9:39:52,,,,29.931,1.551,3808.326,12.649,,,44.69,817.853,-3719.203,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,rockfish,redbanded,153,153,25,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,43010,9:39:52,,,,15.128,1.216,2707.092,8.53,,,307.003,248.09,-2678.162,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,rockfish,redbanded,153,153,26,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,43940,9:40:23,,,291.872,10.589,0.346,2214.053,7.054,17.062,11.242,-31.545,270.055,-2197.296,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,27,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,44166,9:40:30,,,,8.651,0.437,1975.298,23.313,,,781.554,8.88,-1814.083,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,28,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,44756,9:40:50,,,,9.956,0.656,2138.306,28.394,,,-1012.172,89.799,-1881.435,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,29,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,46081,9:41:34,,,274.456,15.535,1.6,2187.145,17.746,23.147,11.847,636.463,198.298,-2083.074,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,30,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,47178,9:42:11,,,,5.383,0.141,1519.767,16.462,,,-320.082,-293.965,-1456.305,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,31,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,49490,9:43:28,,,,9.55,0.695,2102.549,28.39,,,993.611,102.78,-1850.105,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,32,,,,Partial view only,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,50511,9:44:02,,,,15.612,0.055,2597.963,21.97,,,-915.868,315.718,-2410.585,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,crab,box crab,900,900,33,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,52696,9:45:15,,,,6.009,3.199,1723.559,5.48,,,-94.509,127.896,-1716.207,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,34,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,53518,9:45:42,,,,23.804,0.713,3321.372,14.884,,,227.327,809.438,-3213.199,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,crab,box crab,900,900,35,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,53518,9:45:42,,,,28.448,0.809,3486.214,27.004,,,-1432.106,661.868,-3108.808,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,36,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,54209,9:46:05,,,,11.488,1.438,2277.823,15.165,,,-566.501,175.93,-2199.228,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,37,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,54978,9:46:31,,,303.387,13.884,1.351,2137.309,12.573,24.867,21.718,-403.621,231.381,-2086.059,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,38,,,,,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,55365,9:46:44,,,,12.538,4.121,2349.836,26.898,,,-1029.527,256.565,-2096.659,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,39,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,55890,9:47:01,,,,7.059,1.304,1875.382,5.569,,,81.851,155.064,-1867.167,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,40,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,56117,9:47:09,,,,13.741,0.042,2558.819,10.469,,,-181.295,418.061,-2517.918,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,41,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,56117,9:47:09,,,,12.424,0.06,2399.027,30.447,,,-1196.128,208.863,-2069.054,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,42,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,56873,9:47:34,,,,7.658,0.044,1953.898,5.537,,,126.776,131.759,-1945.324,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,43,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,59258,9:48:53,,,,8.705,0.252,1972.554,18.098,,,-604.208,94.601,-1875.354,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,44,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_01_08-41-43.000.avi,60140,9:49:23,,,,8.651,0.437,1992.737,12.829,,,-416.74,140.898,-1943.573,1,KelliiWood,135,N/A,2022,1,20,Line,,,,,halibut,halibut,200,200,45,,,,NO LENGTH - wrong direction,
