3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Wednesday, June 22, 2022 09:42:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_07_09-45-45.000.avi,4911,9:57:42,,,,37.04,0.665,4029.4,19.044,,,601.649,1153.797,-3813.507,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,1,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,11854,10:01:33,,,,45.927,1.682,4482.083,17.149,,,-1089.984,730.162,-4285.775,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,14870,10:03:14,,,,11.296,0.583,2255.773,17.553,,,-670.863,104.404,-2151.175,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,15249,10:03:26,,,,30.02,0.496,3603.932,28.521,,,1533.43,768.243,-3169.656,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,17765,10:04:50,,,,26.465,1.059,3563.208,13.93,,,15.214,843.822,-3461.818,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,19641,10:05:53,,,452.381,56.806,2.021,5017.386,23.203,5.74,0.812,-1567.283,1204.695,-4611.561,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,yelloweye,145,145,6,AD,Fish milling/hovering,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,21326,10:06:49,,,,8.697,1.228,2064.027,6.437,,,-133.893,-196.937,-2050.243,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,yelloweye,145,145,7,JV,Fish seeking cover,,NO LENGTH - hiding in rocks,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,23706,10:08:08,,,,58.566,1.297,5199.329,15.898,,,-373.994,1354.221,-5005.92,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,yelloweye,145,145,8,SU,Fish milling/hovering,,NO LENGTH - facing ROV,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,24147,10:08:23,,,,17.092,0.289,2854.735,30.039,,,-1428.687,21.365,-2471.418,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,9,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,25615,10:09:12,,,,14.812,2.569,2694.002,10.041,,,-7.038,459.034,-2654.597,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,quillback,147,147,10,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,27711,10:10:22,,,,47.177,2.059,4510.923,19.036,,,-888.803,1155.4,-4268.9,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,11,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,31120,10:12:15,,,,21.584,0.529,3244.522,8.176,,,419.738,-204.479,-3210.752,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,12,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,31644,10:12:33,,,,66.67,0.245,5371.186,18.582,,,-1434.384,913.478,-5094.874,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,13,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,33529,10:13:36,,,,52.5,1.094,4744.451,24.549,,,-1820.871,737.646,-4318.579,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,14,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,33940,10:13:49,,,,24.775,0.167,3415.163,29.219,,,-1665.683,-81.1,-2980.312,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,15,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,35614,10:14:45,,,,31.128,1.379,3840.383,30.05,,,1904.467,253.601,-3325.242,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,16,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,36317,10:15:09,,,,7.79,0.524,1958.47,6.761,,,-230.535,-11.229,-1944.822,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,17,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,37214,10:15:38,,,,39.641,0.072,4276.152,31.236,,,-2145.217,546.802,-3658.487,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,18,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,42234,10:18:26,,,,19.969,2.369,3092.573,10.1,,,492.876,214.062,-3045.531,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,19,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,43323,10:19:02,,,,56.763,2.767,5031.419,16.83,,,1327.772,579.986,-4818.279,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,20,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,45286,10:20:08,,,,23.347,0.204,3198.49,16.758,,,707.696,579.045,-3064.998,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,21,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,46062,10:20:33,,,,43.555,0.573,4483.647,19.533,,,1496.457,72.352,-4225.928,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,22,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,46227,10:20:39,,,,64.305,1.096,5673.985,8.606,,,829.986,156.626,-5610.766,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,23,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,48141,10:21:43,,,,17.505,0.261,2872.723,12.732,,,-624.691,91.684,-2802.48,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,halibut,halibut,200,200,24,,,,NO LENGTH - wrong angle,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,48402,10:21:51,,,340.986,16.79,0.897,1985.508,20.857,39.215,22.225,692.459,-142.189,-1855.404,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,halibut,halibut,200,200,25,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,48402,10:21:51,,,,66.126,2.545,5387.201,17.509,,,-898.462,1328.378,-5142.967,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,26,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,49455,10:22:26,,,,16.397,0.14,2691.471,23.616,,,1047.928,243.963,-2467.052,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,27,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,57202,10:26:45,,,437.121,62.02,1.815,3396.938,20.537,59.62,22.765,-978.829,679.695,-3181.053,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,yelloweye,145,145,28,AD,Fish milling/hovering,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,58588,10:27:31,,,,20.951,0.121,3094.945,19.798,,,1045.959,58.317,-2912.259,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,29,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,60206,10:28:25,,,676.763,22.475,0.573,3076.548,16.683,13.696,1.041,-669.934,-575.566,-2947.042,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,yelloweye,145,145,30,AD,Fish milling/hovering,,Gravid female,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,62578,10:29:44,,,,10.203,0.651,2117.964,17.701,,,-617.151,-192.031,-2016.934,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,greenstripe,135,135,31,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,65282,10:31:14,,,,14.675,0.417,2698.13,7.038,,,273.717,174.706,-2678.519,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,32,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,66528,10:31:56,,,,47.082,0.019,4721.771,16.463,,,92.066,1316.818,-4533.502,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,33,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,67043,10:32:13,,,,49.204,1.397,4849.772,14.517,,,-118.237,1191.14,-4699.734,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,34,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,68029,10:32:46,,,602.327,130.429,1.067,5528.17,17.869,49.894,37.667,746.01,1523.415,-5261.496,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,yelloweye,145,145,35,AD,Fish milling/hovering,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,68676,10:33:07,,,,74.937,0.763,5841.63,30.162,,,2805.599,842.096,-5054.12,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,36,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,69476,10:33:34,,,,34.001,1.487,3954.007,29.952,,,1915.123,465.317,-3427.821,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,37,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,70377,10:34:04,,,,25.482,4.859,3413.184,17.773,,,-1034.094,113.943,-3250.768,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,rosethorn,150,150,38,,,,,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,71693,10:34:48,,,,79.196,1.862,6029.445,34.194,,,2818.605,1860.804,-4994.706,1,KelliiWood,95,N/A,2022,7,13,Line,,,,,rockfish,yelloweye,145,145,39,AD,Fish milling/hovering,,NO LENGTH - partial view only,
