3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Tuesday, June 28, 2022 09:28:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_16_16-15-41.000.avi,7197,16:46:56,,,,6.231,2.895,1638.404,16.339,,,-363.2,-290.076,-1571.086,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,crab,box crab,900,900,1,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,10689,16:48:52,,,,9.442,1.17,2123.998,10.107,,,-367.105,56.086,-2091.281,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,2,,,,NO LENGTH - wrong angle,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,18384,16:53:09,,,261.996,11.616,1.228,1642.993,7.058,38.882,20.961,-54.062,-194.498,-1630.544,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,3,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,23007,16:55:43,,,442.73,12.316,0.779,2143.998,20.472,9.267,10.493,-749.146,32.776,-2008.59,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,4,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,26496,16:57:39,,,,11.68,0.897,2311.916,27.471,,,-1063.206,75.463,-2051.549,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,5,,,,NO LENGTH - wrong angle,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,28091,16:58:32,,,395.817,15.211,1.628,1804.333,8.187,40.636,15.813,230.374,-113.8,-1785.944,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,6,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,29064,16:59:05,,,,5.361,0.163,1521.699,16.16,,,280.732,-322.96,-1460.293,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,7,,,,NO LENGTH - wrong angle,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,31155,17:00:14,,,,6.181,1.024,1654.737,14.811,,,-395.125,-157.431,-1599.139,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,8,,,,NO LENGTH - wrong angle,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,31949,17:00:41,,,,10.321,1.071,2175.593,15.355,,,569.54,78.144,-2098.267,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,9,,,,NO LENGTH - wrong angle,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,33612,17:01:36,,,406.494,22.163,1.077,2428.105,14.761,30.338,13.809,-598.331,157.317,-2347.966,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,10,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,36079,17:02:59,,,320.697,13.296,0.752,1624.173,6.76,45.376,16.215,115.903,-152.045,-1612.882,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,11,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,37027,17:03:30,,,448.359,12.591,1.019,1860.37,22.902,26.598,15.126,698.064,-191.914,-1713.725,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,12,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,38920,17:04:33,,,310.658,25.583,0.734,2255.648,26.348,61.757,23.933,-999.992,-47.148,-2021.321,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,13,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,39373,17:04:48,,,285.575,5.317,0.612,2098.086,5.601,6.252,1.378,190.005,76.329,-2088.07,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,14,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,39972,17:05:08,,,383.425,16.088,0.706,1989.936,13.805,34.96,19.246,-470.428,64.48,-1932.455,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,15,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,40659,17:05:31,,,439.116,8.966,0.277,2278.202,4.729,11.616,10.155,180.419,-52.281,-2270.445,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,16,,,,,
SL_2022_CSEO_Dive_16_16-15-41.000.avi,41041,17:05:44,,,339.346,13.148,0.871,2136.471,24.898,3.301,5.087,896.916,-67.625,-1937.905,1,KelliiWood,140,N/A,2022,16,3,Line,,,,,halibut,halibut,200,200,17,,,,,
