3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Tuesday, June 28, 2022 10:50:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_17b_07-57-18.000.avi,2210,8:16:57,,,,22.976,0.278,3223.734,18.589,,,1018.088,-152.148,-3054.965,1,KelliiWood,130,N/A,2022,17b,2,Line,,,,,rockfish,rosethorn,150,150,1,,,,,
SL_2022_CSEO_Dive_17b_07-57-18.000.avi,7840,8:20:04,,,,14.029,2.041,2661.314,6.128,,,123.17,245.401,-2647.111,1,KelliiWood,130,N/A,2022,17b,2,Line,,,,,halibut,halibut,200,200,2,,,,NO LENGTH - wrong direction,
SL_2022_CSEO_Dive_17b_07-57-18.000.avi,15362,8:24:15,,,,31.324,1.084,3639.769,22.063,,,-1151.494,723.532,-3376.163,1,KelliiWood,130,N/A,2022,17b,2,Line,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_2022_CSEO_Dive_17b_07-57-18.000.avi,16067,8:24:39,,,,28.794,0.517,3658.003,26.41,,,1624.513,77.454,-3276.575,1,KelliiWood,130,N/A,2022,17b,2,Line,,,,,rockfish,dusky,172,172,4,,,,,
SL_2022_CSEO_Dive_17b_07-57-18.000.avi,19065,8:26:19,,,,16.505,1.062,2669.843,28.692,,,-1168.922,516.589,-2344.103,1,KelliiWood,130,N/A,2022,17b,2,Line,,,,,rockfish,dusky,172,172,5,,,,,
SL_2022_CSEO_Dive_17b_07-57-18.000.avi,19763,8:26:42,,,,31.742,0.591,3853.133,33.975,,,-1980.038,833.317,-3198.698,1,KelliiWood,130,N/A,2022,17b,2,Line,,,,,rockfish,rosethorn,150,150,6,,,,,
SL_2022_CSEO_Dive_17b_07-57-18.000.avi,21519,8:27:40,,,,22.499,1.769,3411.037,5.221,,,310.367,-8.572,-3396.876,1,KelliiWood,130,N/A,2022,17b,2,Line,,,,,rockfish,rosethorn,150,150,7,,,,,
SL_2022_CSEO_Dive_17b_07-57-18.000.avi,23063,8:28:32,,,,13.705,0.919,2476.468,23.297,,,176.33,-972.514,-2270.686,1,KelliiWood,130,N/A,2022,17b,2,Line,,,,,rockfish,rosethorn,150,150,8,,,,,
SL_2022_CSEO_Dive_17b_07-57-18.000.avi,25039,8:29:38,,,409.185,57.869,1.386,3461.305,32.701,67.197,7.501,-1454.232,1175.62,-2912.689,1,KelliiWood,130,N/A,2022,17b,2,Line,,,,,rockfish,yelloweye,145,145,9,AD,Fish milling/hovering,,,
SL_2022_CSEO_Dive_17b_07-57-18.000.avi,25160,8:29:42,,,,10.22,0.511,2128.322,22.086,,,-790.67,115.468,-1972.628,1,KelliiWood,130,N/A,2022,17b,2,Line,,,,,rockfish,yelloweye,145,145,10,AD,Fish milling/hovering,,NO LENGTH - wrong angle,
