3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Thursday, June 30, 2022 07:51:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_18_14-14-08.000.avi,4208,14:41:52,,,,19.37,0.431,3002.023,31.477,,,1505.041,427.973,-2561.998,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,1,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,4318,14:41:56,,,,62.237,0.811,5141.783,28.443,,,1981.228,1421.427,-4526.833,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,4448,14:42:00,,,,8.714,0.457,1942.004,18.664,,,-581.372,-226.971,-1838.986,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,5348,14:42:30,,,,10.834,0.077,2166.025,21.794,,,765.668,-253.887,-2010.214,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,5440,14:42:33,,,,29.003,0.437,3922.037,4.089,,,53.287,258.897,-3913.12,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,7735,14:43:50,,,,23.209,0.408,3463.435,5.711,,,-61.935,325.218,-3447.576,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,6,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,8274,14:44:08,,,,18.204,0.966,2789.144,21.264,,,-928.839,-410.963,-2597.632,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,tiger,148,148,7,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,8711,14:44:22,,,,11.173,0.077,2190.385,21.541,,,355.422,-729.578,-2034.496,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,8,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,9354,14:44:44,,,,15.681,1.367,2554.859,23.805,,,-718.113,-749.405,-2334.526,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,9,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,9487,14:44:48,,,,26.959,0.19,3621.591,10.604,,,-662.692,56.345,-3559.998,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,10,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,10226,14:45:13,,,,44.088,0.099,4410.13,16.907,,,735.457,1033.802,-4223.695,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,11,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,12103,14:46:15,,,,22.345,0.02,3195.672,22.441,,,1219.806,-24.314,-2953.609,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,12,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,12382,14:46:25,,,,94.646,0.294,6317.947,22.804,,,1828.81,1605.075,-5830.578,1,KelliiWood,,N/A,2022,,,Line,,,,,greenling,lingcod,130,130,13,,,,NO LENGTH - too far away,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,14873,14:47:48,,,,43.646,0.861,4462.058,21.784,,,245.177,1621.028,-4149.954,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,14,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,15270,14:48:01,,,,24.535,0.016,3311.846,15.676,,,789.649,408.152,-3190.327,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,15,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,15758,14:48:17,,,,45.47,0.825,4483.536,24.064,,,-1783.77,384.163,-4095.446,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,16,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,17031,14:49:00,,,,24.016,0.487,3421.829,8.44,,,354.21,342.464,-3386.173,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,17,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,19013,14:50:06,,,,32.535,0.142,3766.263,20.456,,,1219.226,481.942,-3530.716,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,18,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,22009,14:51:46,,,,30.316,0.542,3665.556,16.09,,,849.881,542.442,-3524.168,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,19,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,22309,14:51:56,,,,42.254,0.482,4332.908,16.634,,,641.066,1045.179,-4155.807,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,20,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,22885,14:52:15,,,,37.599,1.122,4438.937,4.712,,,163.321,308.324,-4425.203,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,21,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,28578,14:55:25,,,,30.135,0.716,3621.835,18.21,,,959.512,586.497,-3442.825,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,tiger,148,148,22,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,32042,14:57:20,,,,42.777,0.057,4737.479,4.735,,,361.735,129.77,-4721.866,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,yelloweye,145,145,23,AD,Fish milling/hovering,,NO LENGTH - facing ROV,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,33142,14:57:57,,,,13.475,0.266,2368.549,25.149,,,-648.949,-778.018,-2140.929,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,24,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,35442,14:59:13,,,,38.605,0.16,4149.591,25.6,,,-1760.428,325.056,-3743.572,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,25,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,38399,15:00:52,,,,42.713,0.383,4401.943,14.44,,,587.266,910.358,-4266.553,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,26,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,41294,15:02:28,,,,13.13,0.075,2468.476,31.968,,,-1263.979,-340.613,-2092.777,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,27,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,41847,15:02:47,,,,13.133,0.085,2362.036,23.871,,,-881.817,-377.557,-2158.486,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,28,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,43705,15:03:49,,,560.867,64.846,0.436,4855.931,27.154,21.989,2.896,1302.977,1792.703,-4320.71,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,yelloweye,145,145,29,AD,Fish milling/hovering,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,43705,15:03:49,,,,59.1,4.721,5256.716,22.917,,,29.576,2027.319,-4849.965,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,yellowtail,155,155,30,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,43705,15:03:49,,,,71.071,5.452,5646.221,21.637,,,498.119,2000.451,-5256.413,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,yellowtail,155,155,31,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,43705,15:03:49,,,,74.954,3.175,5657.293,25.336,,,-1086.329,2142.985,-5121.764,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,yellowtail,155,155,32,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,45603,15:04:52,,,,38.645,1.638,4113.264,27.427,,,-1816.074,-554.549,-3648.738,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,33,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,47552,15:05:57,,,,15.073,0.936,2598.46,32.967,,,-1233.981,681.592,-2182.824,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,34,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,47552,15:05:57,,,,80.3,0.677,5852.781,23.57,,,2059.141,1090.706,-5368.923,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,35,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,48713,15:06:36,,,,11.142,0.196,2175.556,30.733,,,-739.734,-837.466,-1866.679,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,36,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,53304,15:09:09,,,,8.542,0.165,1987.44,13.961,,,-67.641,-482.419,-1926.814,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,37,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,55912,15:10:36,,,,71.18,0.155,5606.734,29.692,,,2542.059,1098.912,-4875.017,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,38,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,57970,15:11:44,,,,77.477,0.366,6060.079,35.373,,,-3088.098,1644.781,-4948.02,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,39,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,59552,15:12:37,,,,13.593,0.463,2478.738,22.361,,,939.226,75.461,-2292.662,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,40,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,59971,15:12:51,,,,47.665,0.007,4611.696,25.794,,,-1968.836,371.514,-4153.722,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,41,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,60318,15:13:03,,,,41.023,1.073,4222.102,25.81,,,-1745.453,561.373,-3803.209,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,42,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,60851,15:13:20,,,,22.655,1.056,3221.956,12.109,,,-427.066,-536.492,-3148.141,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,43,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,60995,15:13:25,,,,26.934,0.669,3719.543,5.965,,,-386.31,-1.319,-3699.427,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,44,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,68274,15:17:28,,,,36.328,2.155,4026.663,18.944,,,-1282.235,-269.581,-3807.521,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,45,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,70204,15:18:32,,,,21.782,0.719,3157.141,18.837,,,144.479,-1021.01,-2983.991,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,46,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,70400,15:18:39,,,,17.91,0.265,2806.941,22.135,,,311.367,-1021.157,-2595.999,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,47,,,,,
SL_2022_CSEO_Dive_18_14-14-08.000.avi,71096,15:19:02,,,,33.111,0.65,3972.516,9.401,,,-527.887,-392.985,-3917.625,1,KelliiWood,,N/A,2022,,,Line,,,,,rockfish,rosethorn,150,150,48,,,,,
