3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Monday, July 18, 2022 07:06:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_22_15-14-56.000.avi,820,16:01:39,,,,7.101,0.187,1775.953,21.505,,,114.819,-647.448,-1649.738,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,rosethorn,150,150,1,,,,,
SL_2022_CSEO_Dive_22_15-14-56.000.avi,1263,16:01:54,,,,6.561,2.702,1730.213,35.077,,,-764.93,-640.915,-1413.417,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_2022_CSEO_Dive_22_15-14-56.000.avi,1562,16:02:04,,,,7.73,0.494,1823.042,18.602,,,517.99,-271.222,-1726.733,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_2022_CSEO_Dive_22_15-14-56.000.avi,2613,16:02:39,,,,22.815,0.494,3211.602,19.089,,,-1039.316,139.454,-3035.583,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_2022_CSEO_Dive_22_15-14-56.000.avi,4855,16:03:54,,,,7.887,3.568,1861.918,33.607,,,-697.995,-764.408,-1547.651,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_2022_CSEO_Dive_22_15-14-56.000.avi,5968,16:04:31,,,,15.413,0.001,2641.02,25.253,,,-1125.144,-68.532,-2388.376,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,rosethorn,150,150,6,,,,,
SL_2022_CSEO_Dive_22_15-14-56.000.avi,6670,16:04:54,,,,27.78,0.207,3693.814,32.239,,,1949.196,276.256,-3125.473,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,quillback,147,147,7,,,,,
SL_2022_CSEO_Dive_22_15-14-56.000.avi,7051,16:05:07,,,,50.171,1.231,4717.647,28.931,,,-2177.699,666.079,-4131.605,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,rosethorn,150,150,8,,,,,
SL_2022_CSEO_Dive_22_15-14-56.000.avi,8362,16:05:51,,,,12.575,1.758,2582.326,2.102,,,-30.957,79.19,-2580.926,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,rosethorn,150,150,9,,,,,
SL_2022_CSEO_Dive_22_15-14-56.000.avi,10844,16:07:13,,,,24.733,0.895,3459.356,32.47,,,-1833.027,286.967,-2919.727,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,rosethorn,150,150,10,,,,,
SL_2022_CSEO_Dive_22_15-14-56.000.avi,11840,16:07:47,,,,33.617,1.089,4164.169,5.804,,,149.641,377.017,-4144.366,1,KelliiWood,80,N/A,2022,22,26,Line,,,,,rockfish,rosethorn,150,150,11,,,,,
