3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Tuesday, July 05, 2022 09:50:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_24_09-21-18.000.avi,558,10:17:03,,,,30.028,0.973,3634.891,16.921,,,-922.609,503.798,-3479.57,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,1,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,5979,10:20:03,,,,69.64,0.441,5485.198,22.125,,,-1922.98,734.561,-5084.287,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,8387,10:21:24,,,,7.129,0.085,1736.999,20.425,,,-360.393,480.9,-1629.73,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yellowtail,155,155,3,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,9369,10:21:56,,,,30.057,0.145,3711.432,26.341,,,1639.694,-166.099,-3325.439,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,9693,10:22:07,,,,28.861,0.664,3612.818,28.946,,,-1707.005,366.326,-3162.972,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,5,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,9693,10:22:07,,,,85.293,2.184,6137.85,28.011,,,2718.666,936.591,-5422.624,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,6,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,10323,10:22:28,,,,23.408,0.312,3276.173,28.58,,,-1550.425,217.627,-2877.869,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,7,JV,Fish milling/hovering,,NO LENGTH - facing ROV,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,11277,10:23:00,,,518.578,40.145,1.575,3684.908,29.375,7.279,15.189,1746.987,-463.812,-3211.146,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,8,AD,Attracted,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,11438,10:23:05,,,,25.375,0.811,3457.039,14.524,,,864.746,48.951,-3346.78,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,9,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,11695,10:23:14,,,,16.606,1.198,2730.556,31.834,,,1279.149,-671.223,-2317.147,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,10,,,,,
