3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Friday, July 08, 2022 07:44:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_31_11-38-24.000.avi,509,11:51:00,,,,12.645,0.03,2395.336,17.686,,,-723.617,68.011,-2282.409,1,KelliiWood,135,N/A,2022,31,31,Line,,,,,rockfish,rosethorn,150,150,1,,,,,
SL_2022_CSEO_Dive_31_11-38-24.000.avi,1219,11:51:24,,,,67.448,0.294,5334.954,22.519,,,1502.161,1365.239,-4933.697,1,KelliiWood,135,N/A,2022,31,31,Line,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_2022_CSEO_Dive_31_11-38-24.000.avi,3802,11:52:50,,,,19.504,1.686,3025.707,28.74,,,-1454.313,30.121,-2653.105,1,KelliiWood,135,N/A,2022,31,31,Line,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_2022_CSEO_Dive_31_11-38-24.000.avi,5947,11:54:01,,,,26.016,0.833,3480.436,12.689,,,-714.963,257.176,-3396.487,1,KelliiWood,135,N/A,2022,31,31,Line,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_2022_CSEO_Dive_31_11-38-24.000.avi,5947,11:54:01,,,,39.457,0.939,4402.584,8.794,,,298.453,585.89,-4353.206,1,KelliiWood,135,N/A,2022,31,31,Line,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_2022_CSEO_Dive_31_11-38-24.000.avi,7056,11:54:38,,,,18.949,0.449,3019.251,11.131,,,-579.401,51.769,-2962.683,1,KelliiWood,135,N/A,2022,31,31,Line,,,,,skate,longnose skate,701,701,6,,,,,
SL_2022_CSEO_Dive_31_11-38-24.000.avi,9700,11:56:06,,,,17.848,0.15,2888.519,12.893,,,619.824,165.38,-2816.383,1,KelliiWood,135,N/A,2022,31,31,Line,,,,,rockfish,greenstripe,135,135,7,,,,,
SL_2022_CSEO_Dive_31_11-38-24.000.avi,10007,11:56:17,,,,38.579,1.101,4263.18,30.467,,,2125.387,379.453,-3676.064,1,KelliiWood,135,N/A,2022,31,31,Line,,,,,rockfish,rosethorn,150,150,8,,,,,
SL_2022_CSEO_Dive_31_11-38-24.000.avi,10874,11:56:45,,,,20.017,2.2,3045.974,15.983,,,-838.236,15.971,-2928.321,1,KelliiWood,135,N/A,2022,31,31,Line,,,,,rockfish,rosethorn,150,150,9,,,,,
SL_2022_CSEO_Dive_31_11-38-24.000.avi,14759,11:58:55,,,,15.712,1.051,2656.542,25.066,,,-1120.71,-113.176,-2405.913,1,KelliiWood,135,N/A,2022,31,31,Line,,,,,rockfish,rosethorn,150,150,10,,,,,
