"","filename","frame","time_hms","period","period_time_hms","length_mm","precision_mm","rms_mm","range_mm","direction_deg","horz_dir_deg","vert_dir_deg","mid_x_mm","mid_y_mm","mid_z_mm","op_code","tape_reader","depth","comment","year","dive","transect_number","dive_type","family","genus","species","code","number","stage","activity","check_id","comment_1","event_time_hh_mm_ss","mgmt_area","time_mins","period_time_mins","rms_2_mm","time_akdt","dive_no","transect_no"
"1","2012_6736_1_SL.avi","1656",NA,NA,NA,NA,11,0.474,"2286.528","20.089",NA,NA,"767.016","122.278","-2150.569","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish",NA,NA,NA,"12",NA,NA,NA,"possibly greenstriped-hard to see",NA,"CSEO","17.3707",NA,NA,NA,"6736","1"
"2","2012_6736_1_SL.avi","7613",NA,NA,NA,NA,53,3.003,"5293.941","18.963",NA,NA,"-903.464","1355.15","-5037.175","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","rosethorn","150","150","13",NA,NA,NA,NA,NA,"CSEO","20.6834",NA,NA,NA,"6736","1"
"3","2012_6736_1_SL.avi","8915",NA,NA,NA,NA,25,5.501,"3820.135","9.1",NA,NA,"-138.141","-669.799","-3758.419","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","quillback","147","147","14",NA,NA,NA,NA,NA,"CSEO","21.4075",NA,NA,NA,"6736","1"
"4","2012_6736_1_SL.avi","10327",NA,NA,NA,NA,39,7.147,"4790.037","11.856",NA,NA,"-520.766","733.3","-4704.841","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","yelloweye","145","145","15","AD","Fish milling",NA,NA,NA,"CSEO","22.1927",NA,NA,NA,"6736","1"
"5","2012_6736_1_SL.avi","10373",NA,NA,NA,393.131,59,3.512,"4103.408","8.636","36.931",7.372,"-435.726","347.6","-4065.375","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","yelloweye","145","145","15","AD","Fish milling",NA,NA,NA,"CSEO","22.2183",NA,"9.92",NA,"6736","1"
"6","2012_6736_1_SL.avi","15554",NA,NA,NA,NA,43,1.158,"5115.169","9.087",NA,NA,"-526.277","503.293","-5063.07","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","rosethorn","150","150","16",NA,NA,NA,NA,NA,"CSEO","25.0995",NA,NA,NA,"6736","1"
"7","2012_6736_1_SL.avi","15757",NA,NA,NA,NA,22,3.547,"3248.134","20.869",NA,NA,"1081.441","-477.158","-3025.422","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","rosethorn","150","150","17",NA,NA,NA,NA,NA,"CSEO","25.2124",NA,NA,NA,"6736","1"
"8","2012_6736_1_SL.avi","16009",NA,NA,NA,510.539,32,2.901,"4301.036","11.066","15.419",27.76,"-787.437","156.264","-4225.451","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","yelloweye","145","145","18","AD","Fish resting on bottom",NA,NA,NA,"CSEO","25.3525",NA,"4.442",NA,"6736","1"
"9","2012_6736_1_SL.avi","15925",NA,NA,NA,NA,56,2.385,"5644.151","15.077",NA,NA,"-767.975","1132.875","-5475.696","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","yelloweye","145","145","18","AD","Fish resting on bottom",NA,NA,NA,"CSEO","25.3058",NA,NA,NA,"6736","1"
"10","2012_6736_1_SL.avi","18391",NA,NA,NA,NA,32,2.147,"4497.839","5.822",NA,NA,"-335.667","211.992","-4480.284","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","rosethorn","150","150","19",NA,NA,NA,NA,NA,"CSEO","26.6772",NA,NA,NA,"6736","1"
"11","2012_6736_1_SL.avi","18596",NA,NA,NA,NA,43,4.691,"5055.254","11.752",NA,NA,"477.215","804.897","-4967.897","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","tiger","148","148","20",NA,NA,NA,NA,NA,"CSEO","26.7912",NA,NA,NA,"6736","1"
"12","2012_6736_1_SL.avi","18759",NA,NA,NA,NA,24,2.293,"3838.731","8.192",NA,NA,"303.488","372.608","-3808.531","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","rosethorn","150","150","21",NA,NA,NA,NA,NA,"CSEO","26.8818",NA,NA,NA,"6736","1"
