filename,frame,time_hms,period,period_time_hms,length_mm,precision_mm,rms_mm,range_mm,direction_deg,horz_dir_deg,vert_dir_deg,mid_x_mm,mid_y_mm,mid_z_mm,op_code,tape_reader,depth,comment,year,dive,transect_number,dive_type,family,genus,species,code,number,stage,activity,check_id,comment_1,event_time_hh_mm_ss,mgmt_area,time_mins,period_time_mins,rms_2_mm,time_akdt,dive_no,transect_no,dive_trans
SL_2018NSEO_Dive_03_15-52-41.000.avi,57113,24:27.7,NA,NA,456.111,7.559,6.333,2158.832,8.678,27.405,66.796,-116.762,-304.096,-2134.115,1,KelliiWood,75,N/A,2018,3,71,Line,rockfish,black,142,142,84,,Fish moving quickly into frame,,NA,NA,NSEO,NA,NA,NA,NA,3,71,3_71
SL_2018NSEO_Dive_03_15-52-41.000.avi,58088,25:00.2,NA,NA,498.502,98.216,2.77,4417.324,14.736,89.445,36.645,1029.104,451.151,-4272.02,1,KelliiWood,75,N/A,2018,3,71,Line,rockfish,black,142,142,85,,Fish resting on bottom,,NA,NA,NSEO,NA,NA,NA,NA,3,71,3_71
SL_2018NSEO_Dive_04_17-13-07.000.avi,28643,29:04.8,NA,NA,246.428,15.569,0.345,2671.852,17.199,11.824,0.896,749.087,251.081,-2552.375,1,KelliiWood,50,N/A,2018,4,73,Line,rockfish,black,142,142,15,,Attracted,,NA,NA,NSEO,NA,NA,NA,NA,4,73,4_73
SL_2018NSEO_Dive_04_17-13-07.000.avi,28895,29:13.2,NA,NA,305.49,3.892,0.481,1893.225,13.637,3.246,61.711,387.573,221.434,-1839.852,1,KelliiWood,50,N/A,2018,4,73,Line,rockfish,black,142,142,16,,Attracted,,NA,NA,NSEO,NA,NA,NA,NA,4,73,4_73
SL_2018NSEO_Dive_05_08-01-08.000.avi,50455,29:14.8,NA,NA,240.789,52.031,1.274,3752.234,13.114,34.008,1.105,-833.763,-172.04,-3654.382,1,KelliiWood,65,N/A,2018,5,65,Line,rockfish,black,142,142,40,,Fish resting on bottom,,NA,NA,NSEO,NA,NA,NA,NA,5,65,5_65
SL_2018NSEO_Dive_08_11-54-23.000.avi,33045,12:45.5,NA,NA,551.345,47.528,1.069,4242.373,20.933,28.001,30.224,473.405,1439.9,-3962.361,1,KelliiWood,100,N/A,2018,8,63,Line,rockfish,black,142,142,38,,Fish actively swimming in frame,,NA,NA,NSEO,NA,NA,NA,NA,8,63,8_63
SL_2018NSEO_Dive_30_14-03-00.000.avi,1452,03:49.4,NA,NA,381.01,16.065,0.717,2479.148,24.27,19.006,22.182,-933.204,409.27,-2260.045,1,KelliiWood,Not recorded,N/A,2018,30,39,Line,rockfish,black,142,142,1,,,,NA,NA,NSEO,NA,NA,NA,NA,30,39,30_39
SL_2018NSEO_Dive_30_14-03-00.000.avi,1914,04:04.8,NA,NA,405.669,6.097,1.317,2134.881,16.221,4.478,31.427,-337.795,491.487,-2049.89,1,KelliiWood,Not recorded,N/A,2018,30,39,Line,rockfish,black,142,142,2,,,,NA,NA,NSEO,NA,NA,NA,NA,30,39,30_39
SL_2018NSEO_Dive_30_14-03-00.000.avi,6355,06:32.8,NA,NA,500.057,10.675,1.277,2645.476,15.017,12.972,14.015,-21.403,685.139,-2555.126,1,KelliiWood,Not recorded,N/A,2018,30,39,Line,rockfish,black,142,142,4,,,,NA,NA,NSEO,NA,NA,NA,NA,30,39,30_39
SL_2018NSEO_Dive_30_14-03-00.000.avi,10672,08:56.7,NA,NA,379.294,8.298,1.893,1964.407,3.485,18.169,1.4,-5.203,119.304,-1960.774,1,KelliiWood,Not recorded,N/A,2018,30,39,Line,rockfish,black,142,142,8,,,,NA,NA,NSEO,NA,NA,NA,NA,30,39,30_39
SL_2018NSEO_Dive_30_14-03-00.000.avi,60631,36:42.0,NA,NA,589.349,17.376,3.901,2761.795,18.732,8.505,6.183,867.927,182.553,-2615.509,1,KelliiWood,Not recorded,N/A,2018,30,39,Line,rockfish,black,142,142,23,,,,NA,NA,NSEO,NA,NA,NA,NA,30,39,30_39
SL_2018CSEO_Dive_10_10-11-03.000.avi,50647,39:13.2,NA,NA,377.972,58.59,1.454,5415.295,18.776,1.061,10.82,-1737.488,-138.952,-5127.109,1,KelliiWood,90,N/A,2018,10,101,Line,rockfish,black,142,142,33,,,,,NA,CSEO,NA,NA,NA,NA,10,101,10_101
