"","FILENAME","FRAME","TIME_MINS","PERIOD","PERIOD_TIME_MINS","LENGTH_MM","PRECISION","RMS_1_MM","RMS_2_MM","RANGE_MM","DIRECTION_DEG","HORZ_DIR_DEG","VERT_DIR_DEG","MID_X_MM","MID_Y_MM","MID_Z_MM","OPCODE","TAPE_READER","DEPTH_NOT_USED","TRIP_COMMENT","YEAR","DIVE_NO","TRANSECT_NO","USER_DEF_4","USER_DEF_5","USER_DEF_6","USER_DEF_7","USER_DEF_8","FAMILY","GENUS","SPECIES","CODE","SPECIMEN_NUMBER","STAGE","ACTIVITY","CHECK_ID","SPECIES_COMMENT","USER_DEF_ATTR"
"1","2012_6736_1_SL.avi",1656,17.3707,NA,NA,NA,11,0.474,NA,2286.528,20.089,NA,NA,767.016,122.278,-2150.569,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish",NA,NA,NA,12,NA,NA,NA,"possibly greenstriped-hard to see",NA
"2","2012_6736_1_SL.avi",7613,20.6834,NA,NA,NA,53,3.003,NA,5293.941,18.963,NA,NA,-903.464,1355.15,-5037.175,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,13,NA,NA,NA,NA,NA
"3","2012_6736_1_SL.avi",8915,21.4075,NA,NA,NA,25,5.501,NA,3820.135,9.1,NA,NA,-138.141,-669.799,-3758.419,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","quillback",147,147,14,NA,NA,NA,NA,NA
"4","2012_6736_1_SL.avi",10327,22.1927,NA,NA,NA,39,7.147,NA,4790.037,11.856,NA,NA,-520.766,733.3,-4704.841,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,15,"AD","Fish milling",NA,NA,NA
"5","2012_6736_1_SL.avi",10373,22.2183,NA,NA,393.131,59,3.512,9.92,4103.408,8.636,36.931,7.372,-435.726,347.6,-4065.375,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,15,"AD","Fish milling",NA,NA,NA
"6","2012_6736_1_SL.avi",15554,25.0995,NA,NA,NA,43,1.158,NA,5115.169,9.087,NA,NA,-526.277,503.293,-5063.07,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,16,NA,NA,NA,NA,NA
"7","2012_6736_1_SL.avi",15757,25.2124,NA,NA,NA,22,3.547,NA,3248.134,20.869,NA,NA,1081.441,-477.158,-3025.422,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,17,NA,NA,NA,NA,NA
"8","2012_6736_1_SL.avi",16009,25.3525,NA,NA,510.539,32,2.901,4.442,4301.036,11.066,15.419,27.76,-787.437,156.264,-4225.451,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,18,"AD","Fish resting on bottom",NA,NA,NA
"9","2012_6736_1_SL.avi",15925,25.3058,NA,NA,NA,56,2.385,NA,5644.151,15.077,NA,NA,-767.975,1132.875,-5475.696,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,18,"AD","Fish resting on bottom",NA,NA,NA
"10","2012_6736_1_SL.avi",18391,26.6772,NA,NA,NA,32,2.147,NA,4497.839,5.822,NA,NA,-335.667,211.992,-4480.284,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,19,NA,NA,NA,NA,NA
