"","Filename","Frame","Time..HMS.","Period","Period.time..HMS.","Length..mm.","Precision..mm.","RMS.1..mm.","RMS.2..mm.","Range..mm.","Direction..deg.","Horz..Dir...deg.","Vert..Dir...deg.","Mid.X..mm.","Mid.Y..mm.","Mid.Z..mm.","OpCode","Tape.Reader","Depth","Comment","Year","Dive.No","Transect.No","User.Def..4","User.Def..5","User.Def..6","User.Def..7","User.Def..8","Family","Genus","Species","Code","Number","Stage","Activity","Check.ID","Comment.1","Event.Time","Time..mins.","Period.time..mins."
"1","Dive1__Camera 1_08-31-25.456_fixed.avi",239,"31:38.0",NA,NA,NA,38.332,0.43,NA,3725.34,26.283,NA,NA,1648.95,-93.92,-3339.207,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,1,"","","","","",NA,NA
"2","Dive1__Camera 1_08-31-25.456_fixed.avi",2533,"32:54.4",NA,NA,NA,107.092,1.123,NA,6432.859,9.161,NA,NA,792.361,557.833,-6359.455,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,2,"AD","resting on bottom","","","",NA,NA
"3","Dive1__Camera 1_08-31-25.456_fixed.avi",2537,"32:54.6",NA,NA,NA,77.834,3.459,NA,5574.104,9.725,NA,NA,2.262,862.749,-5506.932,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"halibut","halibut",200,200,3,"","","","No length-too dark","",NA,NA
"4","Dive1__Camera 1_08-31-25.456_fixed.avi",2644,"32:58.1",NA,NA,465.531,34.123,3.714,1.244,2982.885,9.641,26.287,23.533,-161.295,-514.928,-2933.673,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,2,"AD","","","","",NA,NA
"5","Dive1__Camera 1_08-31-25.456_fixed.avi",9007,"36:30.2",NA,NA,NA,22.067,2.411,NA,2719.477,27.274,NA,NA,-684.688,-1075.781,-2401.968,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,4,"","","","","",NA,NA
"6","Dive1__Camera 1_08-31-25.456_fixed.avi",10845,"37:31.5",NA,NA,NA,20.987,4.116,NA,2633.963,25.034,NA,NA,-816.17,-793.209,-2375.383,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,5,"","","","","",NA,NA
"7","Dive1__Camera 1_08-31-25.456_fixed.avi",16668,"40:45.6",NA,NA,NA,48.294,2.605,NA,4227.313,28.501,NA,NA,2010.55,109.934,-3716.959,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,6,"","","","","",NA,NA
"8","Dive1__Camera 1_08-31-25.456_fixed.avi",18068,"41:32.3",NA,NA,NA,16.799,5.035,NA,2565.448,35.213,NA,NA,-1475.922,-129.563,-2094.371,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,7,"","","","","",NA,NA
"9","Dive1__Camera 1_08-31-25.456_fixed.avi",19788,"42:29.6",NA,NA,NA,52.929,20.09,NA,4533.436,8.848,NA,NA,588.031,310.522,-4484.399,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,8,"","","","","",NA,NA
"10","Dive1__Camera 1_08-31-25.456_fixed.avi",19977,"42:35.9",NA,NA,NA,15.877,11.935,NA,2485.782,6.283,NA,NA,-20.549,-306.655,-2466.708,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,9,"","","","","",NA,NA
"11","Dive1__Camera 1_08-31-25.456_fixed.avi",30088,"48:12.9",NA,NA,NA,17.129,2.852,NA,2457.926,19.213,NA,NA,768.628,218.608,-2324.397,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,10,"","","","","",NA,NA
"12","Dive1__Camera 1_08-31-25.456_fixed.avi",33490,"50:06.3",NA,NA,NA,10.578,4.47,NA,1912.034,29.974,NA,NA,353.647,-911.042,-1643.414,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,11,"","","","","",NA,NA
"13","Dive1__Camera 1_08-31-25.456_fixed.avi",34092,"50:26.4",NA,NA,NA,16.15,3.512,NA,2365.892,18.908,NA,NA,740.815,-229.484,-2235.168,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","greenstripe",135,135,12,"","","","","",NA,NA
"14","Dive1__Camera 1_08-31-25.456_fixed.avi",41462,"54:32.1",NA,NA,NA,59.901,3.261,NA,4732.722,35.739,NA,NA,2653.137,721.179,-3852.198,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"flatfish","flatfish",10006,10006,13,"","","","","",NA,NA
"15","Dive1__Camera 1_08-31-25.456_fixed.avi",47356,"57:48.5",NA,NA,NA,11.99,6.463,NA,2085.428,15.069,NA,NA,47.307,-568.925,-2005.766,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,14,"","","","","",NA,NA
