"","FILENAME","FRAME","TIME..HMS.","PERIOD","PERIOD.TIME..HMS.","LENGTH..mm.","PRECISION..mm.","RMS..mm.","RANGE..mm.","DIRECTION..deg.","HORZ..DIR...deg.","VERT..DIR...deg.","MID_X..mm.","MID_Y..mm.","MID_Z..mm.","OPCODE","TAPEREADER","DEPTH","COMMENT","YEAR","DIVE","TRANSECT_NUMBER","X","DIVE_NO","X.1","X.2","X.3","FAMILY","GENUS","SPECIES","CODE","NUMBER","STAGE","ACTIVITY","CHECK_ID","COMMENT.1","EVENT.TIME.HH.MM.SS"
"1","SL_2018SSEO_Dive_01_09-06-32.000.avi",61401,"40:58.7",NA,"",NA,10.643,0.346,2336.572,11.69,NA,NA,-285.919,-388.874,-2286.175,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","greenstripe",135,135,17,"","","","",NA
"2","SL_2018SSEO_Dive_01_09-06-32.000.avi",33623,"25:32.8",NA,"",620.39,78.411,2.519,6736.415,25.016,2.985,40.575,1319.665,2524.573,-6104.449,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","yelloweye",145,145,6,"AD","Fish seeking cover","","",NA
"3","SL_2018SSEO_Dive_01_09-06-32.000.avi",38909,"28:29.0",NA,"",313.972,72.959,2.358,6172.876,24.778,0.038,17.929,-2002.888,1637.556,-5604.574,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","yelloweye",145,145,7,"SU","Fish moving slowly out of frame","","",NA
"4","SL_2018SSEO_Dive_01_09-06-32.000.avi",56835,"38:26.5",NA,"",503.611,124.195,2.343,6857.165,13.679,21.7,3.62,1456.345,713.271,-6662.658,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","yelloweye",145,145,15,"AD","Fish chasing other fish","","",NA
"5","SL_2018SSEO_Dive_01_09-06-32.000.avi",86442,"54:53.4",NA,"",392.852,102.945,0.976,5847.022,32.353,22.298,2.956,2926.477,1107.361,-4939.347,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","yelloweye",145,145,20,"SU","Fish milling/hovering","","",NA
"6","SL_2018SSEO_Dive_01_09-06-32.000.avi",86502,"54:55.4",NA,"",383.717,178.766,1.378,7444.995,19.516,31.59,5.677,1339.389,2095.648,-7017.282,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","yelloweye",145,145,20,"JV","Fish milling/hovering","","",NA
"7","SL_2018SSEO_Dive_01_09-06-32.000.avi",51498,"35:28.6",NA,"",NA,74.311,3.536,5911.861,24.123,NA,NA,1502.358,1865.079,-5405.044,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","canary",146,146,10,"","","","",NA
"8","SL_2018SSEO_Dive_01_09-06-32.000.avi",23605,"19:58.8",NA,"",NA,32.559,2.978,4210.584,11.795,NA,NA,109.137,832.988,-4125.922,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","quillback",147,147,2,"","","","",NA
"9","SL_2018SSEO_Dive_01_09-06-32.000.avi",26947,"21:50.2",NA,"",NA,56.878,0.461,5223.305,28.165,NA,NA,2171.278,1144.668,-4610.662,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","quillback",147,147,3,"","","","",NA
"10","SL_2018SSEO_Dive_01_09-06-32.000.avi",31733,"24:29.8",NA,"",NA,17.434,1.489,3011.734,12.953,NA,NA,198.395,-660.071,-2931.806,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","quillback",147,147,4,"","","","",NA
"11","SL_2018SSEO_Dive_01_09-06-32.000.avi",52939,"36:16.6",NA,"",NA,46.239,1.335,4749.549,18.09,NA,NA,1273.317,721.304,-4518.473,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","quillback",147,147,12,"","","","",NA
"12","SL_2018SSEO_Dive_01_09-06-32.000.avi",39126,"28:36.2",NA,"",NA,90.384,2,6730.535,15.095,NA,NA,1141.065,1297.769,-6504.911,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","tiger",148,148,8,"","","","",NA
"13","SL_2018SSEO_Dive_01_09-06-32.000.avi",33076,"25:14.5",NA,"",NA,28.307,0.375,3812.367,28.708,NA,NA,-1762.597,479.94,-3346.2,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","rosethorn",150,150,5,"","","","",NA
"14","SL_2018SSEO_Dive_01_09-06-32.000.avi",52619,"36:06.0",NA,"",NA,22.994,0.339,3383.826,27.277,NA,NA,-1459.426,509.234,-3010.155,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","rosethorn",150,150,11,"","","","",NA
"15","SL_2018SSEO_Dive_01_09-06-32.000.avi",56027,"37:59.6",NA,"",NA,14.025,1.894,2628.996,18.571,NA,NA,811.582,-218.412,-2491.033,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","rosethorn",150,150,14,"","","","",NA
"16","SL_2018SSEO_Dive_01_09-06-32.000.avi",69114,"45:15.8",NA,"",NA,16.376,2.316,3137.733,0.573,NA,NA,-27.347,-31.152,-3137.459,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","rosethorn",150,150,18,"","","","",NA
"17","SL_2018SSEO_Dive_01_09-06-32.000.avi",86214,"54:45.8",NA,"",NA,62.026,1.248,5432.87,20.521,NA,NA,1365.263,1302.155,-5094.755,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","rosethorn",150,150,19,"","","","",NA
"18","SL_2018SSEO_Dive_01_09-06-32.000.avi",42088,"30:14.9",NA,"",NA,32.61,0.144,4037.224,31.922,NA,NA,-1677.387,1303.157,-3433.268,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","dusky",172,172,9,"","","","",NA
"19","SL_2018SSEO_Dive_01_09-06-32.000.avi",57145,"38:36.8",NA,"",NA,49.374,3.348,4921.976,16.783,NA,NA,1005.27,980.921,-4717.316,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","dusky",172,172,16,"","","","",NA
"20","SL_2018SSEO_Dive_01_09-06-32.000.avi",13651,"14:27.0",NA,"",NA,40.428,1.112,4469.761,31.124,NA,NA,2040.126,1064.993,-3831.767,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"","unknown",NA,NA,1,"","","","",NA
"21","SL_2018SSEO_Dive_01_09-06-32.000.avi",55585,"37:44.8",NA,"",NA,28.889,2.614,3820.527,19.511,NA,NA,304.181,1221.096,-3607.329,1,"KelliiWood",0,"N/A",2018,"SSEO_1",44,NA,1,NA,NA,NA,"rockfish","unknown",NA,NA,13,"","","YES","",NA
"22","SL_2018SSEO_Dive_02_10-28-44.000.avi",11700,"35:18.0",NA,"",NA,72.836,6.37,6226.985,33.915,NA,NA,-2967.575,1780.913,-5176.6,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","yelloweye",145,145,4,"AD","Fish milling/hovering","","NO LENGTH, 1/2 body in frame",NA
"23","SL_2018SSEO_Dive_02_10-28-44.000.avi",24077,"42:10.6",NA,"",NA,20.163,0.434,3294.493,30.032,NA,NA,1648.813,-18.541,-2852.15,1,"KelliiWood",0,"N/A",2018,"SSEO_2",45,NA,2,NA,NA,NA,"rockfish","yelloweye",145,145,7,"JV","Fish resting on bottom","","Hiding body",NA
