"","Time","dive_number","Transect.No","Length..mm.","Precision..mm.","Genus","Species","Code","Stage","Activity","Dive_Id","Date","Temperature"
"1",13:28:40,"01",1,NA,10.757,"spiny dogfish",691,691,NA,NA,"eykt_1","5/10/2017",NA
"2",13:29:09,"01",1,NA,21.057,"spiny dogfish",691,691,NA,NA,"eykt_1","5/10/2017",NA
"3",13:31:40,"01",1,NA,2.707,"Dover sole",124,124,NA,NA,"eykt_1","5/10/2017",NA
"4",13:38:44,"01",1,NA,7.041,"yelloweye",145,145,"AD","Fish moving slowly into frame","eykt_1","5/10/2017",NA
"5",13:38:48,"01",1,523.997,11.345,"yelloweye",145,145,"AD",NA,"eykt_1","5/10/2017",NA
"6",13:39:46,"01",1,NA,101.631,"canary",146,146,NA,NA,"eykt_1","5/10/2017",NA
"7",13:41:43,"01",1,NA,33.854,"red tree coral",10001,10001,NA,NA,"eykt_1","5/10/2017",NA
"8",13:45:40,"01",1,NA,21.621,"rosethorn",150,150,NA,NA,"eykt_1","5/10/2017",NA
"9",13:47:06,"01",1,NA,11.1,"rosethorn",150,150,NA,NA,"eykt_1","5/10/2017",NA
"10",13:56:59,"01",1,NA,48.508,"spiny dogfish",691,691,NA,NA,"eykt_1","5/10/2017",NA
"11",13:59:26,"01",1,NA,146.838,"yelloweye",145,145,"AD","Fish milling/hovering","eykt_1","5/10/2017",NA
"12",13:59:39,"01",1,560.139,11.72,"yelloweye",145,145,"AD",NA,"eykt_1","5/10/2017",NA
"13",13:59:44,"01",1,NA,34.271,"rosethorn",150,150,NA,NA,"eykt_1","5/10/2017",NA
"14",14:00:44,"01",1,NA,5.943,"yelloweye",145,145,"AD","Fish seeking cover","eykt_1","5/10/2017",NA
"15",14:01:30,"01",1,NA,36.96,"rosethorn",150,150,NA,NA,"eykt_1","5/10/2017",NA
"16",14:01:47,"01",1,NA,20.07,"rosethorn",150,150,NA,NA,"eykt_1","5/10/2017",NA
"17",14:02:46,"01",1,NA,17.745,"rosethorn",150,150,NA,NA,"eykt_1","5/10/2017",NA
"18",14:05:09,"01",1,NA,25.671,"dusky",172,172,NA,NA,"eykt_1","5/10/2017",NA
"19",14:05:16,"01",1,NA,14.593,"dusky",172,172,NA,NA,"eykt_1","5/10/2017",NA
"20",14:09:47,"01",1,NA,27.599,"rosethorn",150,150,NA,NA,"eykt_1","5/10/2017",NA
"21",13:44:39,"01",1,NA,9.206,"rosethorn",150,150,NA,NA,"eykt_1","5/10/2017",NA
"22",13:38:53,"01",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_1","5/10/2017",NA
"23",14:03:37,"01",1,NA,NA,"tiger",148,148,NA,NA,"eykt_1","5/10/2017",NA
"24",14:05:57,"01",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_1","5/10/2017",NA
"25",16:22:39,"10",1,NA,67.999,"yelloweye",145,145,"SU","Fish milling/hovering","eykt_10","5/11/2017",NA
"26",16:22:43,"10",1,216.869,57.759,"yelloweye",145,145,"SU",NA,"eykt_10","5/11/2017",NA
"27",16:22:43,"10",1,NA,45.518,"silvergray",157,157,NA,NA,"eykt_10","5/11/2017",NA
"28",16:23:44,"10",1,NA,103.784,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_10","5/11/2017",NA
"29",16:26:02,"10",1,NA,13.116,"lingcod",130,130,NA,NA,"eykt_10","5/11/2017",NA
"30",16:26:18,"10",1,NA,19.826,"tiger",148,148,NA,NA,"eykt_10","5/11/2017",NA
"31",16:28:33,"10",1,NA,22.621,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_10","5/11/2017",NA
"32",16:32:37,"10",1,NA,38.679,"rosethorn",150,150,NA,NA,"eykt_10","5/11/2017",NA
"33",16:35:17,"10",1,NA,37.266,"yelloweye",145,145,"SU","Fish milling/hovering","eykt_10","5/11/2017",NA
"34",16:37:12,"10",1,NA,74.555,"silvergray",157,157,NA,NA,"eykt_10","5/11/2017",NA
"35",16:37:12,"10",1,NA,64.9,"rosethorn",150,150,NA,NA,"eykt_10","5/11/2017",NA
"36",16:38:43,"10",1,NA,71.012,"rosethorn",150,150,NA,NA,"eykt_10","5/11/2017",NA
"37",16:38:52,"10",1,NA,62.271,"lingcod",130,130,NA,NA,"eykt_10","5/11/2017",NA
"38",16:38:54,"10",1,640.7,82.165,"lingcod",130,130,NA,NA,"eykt_10","5/11/2017",NA
"39",16:39:14,"10",1,NA,19.442,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_10","5/11/2017",NA
"40",16:39:14,"10",1,143.687,23.212,"yelloweye",145,145,"JV",NA,"eykt_10","5/11/2017",NA
"41",16:39:17,"10",1,NA,40.998,"silvergray",157,157,NA,NA,"eykt_10","5/11/2017",NA
"42",16:39:35,"10",1,NA,67.221,"silvergray",157,157,NA,NA,"eykt_10","5/11/2017",NA
"43",16:40:39,"10",1,NA,18.526,"yelloweye",145,145,"AD","Fish moving slowly into frame","eykt_10","5/11/2017",NA
"44",16:47:16,"10",1,NA,45.179,"rosethorn",150,150,NA,NA,"eykt_10","5/11/2017",NA
"45",16:50:18,"10",1,NA,46.636,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_10","5/11/2017",NA
"46",16:50:20,"10",1,NA,61.885,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_10","5/11/2017",NA
"47",16:50:21,"10",1,241.76,61.411,"yelloweye",145,145,"JV",NA,"eykt_10","5/11/2017",NA
"48",16:50:27,"10",1,245.521,20.663,"yelloweye",145,145,"JV",NA,"eykt_10","5/11/2017",NA
"49",16:51:41,"10",1,NA,48.228,"silvergray",157,157,NA,NA,"eykt_10","5/11/2017",NA
"50",16:52:04,"10",1,NA,79.232,"rosethorn",150,150,NA,NA,"eykt_10","5/11/2017",NA
"51",16:52:31,"10",1,NA,39.244,"rosethorn",150,150,NA,NA,"eykt_10","5/11/2017",NA
"52",16:53:01,"10",1,NA,79.64,"tiger",148,148,NA,NA,"eykt_10","5/11/2017",NA
