"","Date","Time","Temperature","Pressure","Sea pressure","Depth","dive_number","Dive_Status","Transect.Number","Length..mm.","Precision..mm.","Dive.Type","Genus","Species","Code","Stage","Activity","Comment.1"
"1","6/3/2022",17H 17M 15S,6.6313003,87.2094518,77.0769518,76.4484169,"10","DIVE",11,NA,16.098,"Line","quillback",147,147,"AD","Passing",NA
"2","6/3/2022",17H 17M 48S,6.6315822,87.5173222,77.3848222,76.7537767,"10","DIVE",11,NA,42.048,"Line","quillback",147,147,"AD","Passing",NA
"3","6/3/2022",17H 18M 52S,6.6267565,87.8212693,77.6887693,77.0552452,"10","DIVE",11,NA,34.257,"Line","quillback",147,147,"AD","Passing",NA
"4","6/3/2022",17H 19M 3S,6.626115,87.9821011,77.8496011,77.2147655,"10","DIVE",11,NA,37.53,"Line","rosethorn",150,150,"AD","Passing",NA
"5","6/3/2022",17H 19M 10S,6.6255221,87.583104,77.450604,76.819022,"10","DIVE",11,NA,5.587,"Line","tiger",148,148,"AD","Passing",NA
"6","6/3/2022",17H 19M 19S,6.6281755,87.837305,77.704805,77.0711501,"10","DIVE",11,NA,20.672,"Line","quillback",147,147,"AD","Passing",NA
"7","6/3/2022",17H 21M 51S,6.6320876,89.5645825,79.4320825,78.7843423,"10","DIVE",11,NA,9.08,"Line","rosethorn",150,150,"AD","Passing",NA
"8","6/3/2022",17H 21M 54S,6.6320584,89.542235,79.409735,78.7621771,"10","DIVE",11,NA,8.077,"Line","quillback",147,147,"AD","Passing",NA
"9","6/3/2022",17H 21M 58S,6.6318981,89.496843,79.364343,78.7171552,"10","DIVE",11,NA,36.984,"Line","rosethorn",150,150,"AD","Passing",NA
"10","6/3/2022",17H 22M 2S,6.6323792,89.5663321,79.4338321,78.7860776,"10","DIVE",11,NA,33.458,"Line","quillback",147,147,"AD","Passing",NA
"11","6/3/2022",17H 22M 21S,6.6324812,89.5514816,79.4189816,78.7713483,"10","DIVE",11,NA,42.664,"Line","quillback",147,147,"AD","Passing",NA
"12","6/3/2022",17H 22M 51S,6.6298473,89.1154942,78.9829942,78.3389162,"10","DIVE",11,NA,28.86,"Line","rosethorn",150,150,"AD","Passing",NA
"13","6/3/2022",17H 23M 22S,6.6316502,88.7789778,78.6464778,78.005144,"10","DIVE",11,NA,21.158,"Line","rosethorn",150,150,"AD","Passing",NA
"14","6/3/2022",17H 24M 46S,6.6294002,89.0776676,78.9451676,78.3013981,"10","DIVE",11,NA,39.037,"Line","rosethorn",150,150,"AD","Passing",NA
"15","6/3/2022",17H 25M 56S,6.6288607,88.4362979,78.3037979,77.6652585,"10","DIVE",11,NA,28.668,"Line","quillback",147,147,"AD","Passing",NA
"16","6/3/2022",17H 25M 59S,6.629993,88.3729737,78.2404737,77.6024506,"10","DIVE",11,NA,11.779,"Line","rosethorn",150,150,"AD","Passing",NA
"17","6/3/2022",17H 26M 29S,6.628919,88.5099894,78.3774894,77.7383491,"10","DIVE",11,NA,18.147,"Line","rosethorn",150,150,"AD","Passing",NA
"18","6/3/2022",17H 26M 31S,6.6294633,88.4928975,78.3603975,77.7213965,"10","DIVE",11,NA,10.309,"Line","yelloweye",145,145,"JV","Fish milling/hovering","can't get measurement"
"19","6/3/2022",17H 27M 8S,6.6283407,88.613876,78.481376,77.8413885,"10","DIVE",11,NA,29.569,"Line","rosethorn",150,150,"AD","Passing",NA
"20","6/3/2022",17H 27M 31S,6.6291572,89.4062711,79.2737711,78.6273219,"10","DIVE",11,475.105,14.156,"Line","yelloweye",145,145,"AD","Fish milling/hovering",NA
"21","6/3/2022",17H 28M 5S,6.6273008,88.5289768,78.3964768,77.7571816,"10","DIVE",11,NA,84.508,"Line","tiger",148,148,"AD","Passing",NA
"22","6/3/2022",17H 29M 32S,6.6315384,87.6708048,77.5383048,76.9060077,"10","DIVE",11,NA,24.91,"Line","tiger",148,148,"AD","Passing",NA
"23","6/3/2022",17H 30M 10S,6.6325007,86.6138537,76.4813537,75.8576757,"10","DIVE",11,NA,24.172,"Line","rosethorn",150,150,"AD","Passing",NA
"24","6/3/2022",17H 30M 40S,6.6349354,86.9885329,76.8560329,76.2292995,"10","DIVE",11,NA,26.279,"Line","rosethorn",150,150,"AD","Passing",NA
"25","6/3/2022",17H 34M 42S,6.6363884,89.6744885,79.5419885,78.8933521,"10","DIVE",11,1158.85,125.58,"Line","yelloweye",145,145,"AD","Fish moving slowly into frame",NA
"26","6/3/2022",17H 35M 26S,6.6408593,89.5491716,79.4166716,78.7690571,"10","DIVE",11,NA,33.986,"Line","rosethorn",150,150,"AD","Passing",NA
"27","6/3/2022",17H 37M 34S,6.6497039,90.288404,80.155904,79.5022613,"10","DIVE",11,NA,12.794,"Line","lingcod",130,130,"AD","Passing",NA
"28","6/3/2022",17H 38M 40S,6.6424339,93.5224994,83.3899994,82.7099839,"10","DIVE",11,NA,18.229,"Line","rosethorn",150,150,"AD","Passing",NA
"29","6/3/2022",17H 39M 40S,6.6422784,94.2636444,84.1311444,83.4450851,"10","DIVE",11,NA,25.378,"Line","rosethorn",150,150,"AD","Passing",NA
"30","6/3/2022",17H 41M 15S,6.6255853,94.6590166,84.5265166,83.8372332,"10","DIVE",11,NA,18.476,"Line","rosethorn",150,150,"AD","Passing",NA
"31","6/3/2022",17H 42M 12S,6.6422395,95.4704173,85.3379173,84.6420172,"10","DIVE",11,NA,56.414,"Line","quillback",147,147,"AD","Passing",NA
"32","6/3/2022",17H 42M 49S,6.6285546,95.1283648,84.9958648,84.302754,"10","DIVE",11,NA,22.79,"Line","quillback",147,147,"AD","Passing",NA
"33","6/3/2022",17H 42M 50S,6.627986,94.9825754,84.8500754,84.1581535,"10","DIVE",11,NA,22.447,"Line","dusky",172,172,"AD","Passing",NA
"34","6/3/2022",17H 43M 11S,6.6322625,93.170485,83.037985,82.36084,"10","DIVE",11,NA,58.362,"Line","rosethorn",150,150,"AD","Passing",NA
"35","6/3/2022",17H 43M 11S,6.6322625,93.170485,83.037985,82.36084,"10","DIVE",11,NA,34.737,"Line","rosethorn",150,150,"AD","Passing",NA
"36","6/3/2022",17H 46M 13S,6.620915,95.7214842,85.5889842,84.8910367,"10","DIVE",11,NA,33.099,"Line","rosethorn",150,150,"AD","Passing",NA
"37","6/3/2022",17H 46M 37S,6.6232429,95.7296102,85.5971102,84.8990965,"10","DIVE",11,NA,48.731,"Line","rosethorn",150,150,"AD","Passing",NA
"38","6/3/2022",17H 47M 15S,6.6230971,94.5992522,84.4667522,83.7779561,"10","DIVE",11,388.345,71.438,"Line","yelloweye",145,145,"AD","Fish moving slowly out of frame",NA
"39","6/3/2022",17H 47M 15S,6.6230971,94.5992522,84.4667522,83.7779561,"10","DIVE",11,NA,18.173,"Line","kelp greenling",194,194,"AD","Passing",NA
"40","6/3/2022",17H 47M 15S,6.6230971,94.5992522,84.4667522,83.7779561,"10","DIVE",11,NA,18.288,"Line","quillback",147,147,"AD","Passing",NA
"41","6/3/2022",17H 47M 17S,6.6242197,94.5233162,84.3908162,83.7026394,"10","DIVE",11,NA,46.741,"Line","rosethorn",150,150,"AD","Passing",NA
"42","6/3/2022",17H 47M 29S,6.6208227,94.8948706,84.7623706,84.0711638,"10","DIVE",11,NA,20.28,"Line","rosethorn",150,150,"AD","Passing",NA
"43","6/3/2022",17H 48M 32S,6.6324181,92.7983745,82.6658745,81.991764,"10","DIVE",11,NA,8.923,"Line","rosethorn",150,150,"AD","Passing",NA
"44","6/3/2022",17H 49M 27S,6.6285983,94.0352761,83.9027761,83.218579,"10","DIVE",11,NA,112.022,"Line","quillback",147,147,"AD","Passing",NA
"45","6/3/2022",17H 50M 23S,6.6279811,93.0301029,82.8976029,82.2216026,"10","DIVE",11,NA,28.646,"Line","quillback",147,147,"AD","Passing",NA
"46","6/3/2022",17H 50M 37S,6.6329235,92.7470973,82.6145973,81.9409049,"10","DIVE",11,NA,40.321,"Line","rosethorn",150,150,"AD","Passing",NA
